Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.16 [1.13-1.20],2.555e-14,***,Glycoprotein Acetyls
Creatinine,1.11 [1.07-1.15],8.039e-05,***,Creatinine
XS-VLDL-PL%,1.11 [1.07-1.15],3.252e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-TG%,1.11 [1.07-1.15],0.006,**,Triglycerides to Total-Lipids in Small HDL percentage
IDL-PL%,1.10 [1.06-1.13],0.001,**,Phospholipids to Total-Lipids in IDL percentage
M-HDL-PL%,1.10 [1.06-1.13],0.007,**,Phospholipids to Total-Lipids in Medium HDL percentage
L-LDL-TG%,1.09 [1.05-1.12],0.049,*,Triglycerides to Total-Lipids in Large LDL percentage
XL-HDL-CE%,0.92 [0.90-0.95],0.019,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-C%,0.92 [0.89-0.95],0.005,**,Cholesterol to Total-Lipids in IDL percentage
S-HDL-CE%,0.92 [0.89-0.95],0.026,*,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-HDL-CE%,0.92 [0.89-0.95],0.008,**,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-HDL-P,0.91 [0.88-0.94],0.009,**,Concentration of Small HDL Particles
M-HDL-C%,0.91 [0.88-0.94],0.002,**,Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-C,0.91 [0.88-0.94],5.586e-04,***,Cholesterol in Small HDL
IDL-CE%,0.91 [0.88-0.93],1.061e-05,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-CE,0.90 [0.87-0.93],1.431e-05,***,Cholesteryl Esters in Small HDL
