Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.27 [1.10-1.47],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.12 [0.96-1.32],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.09 [0.93-1.29],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,1.06 [0.91-1.25],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-FC%,1.01 [0.86-1.20],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-C%,0.73 [0.64-0.83],0.614,,Cholesterol to Total-Lipids in Small LDL percentage
Clinical LDL-C,0.71 [0.61-0.82],0.697,,Clinical LDL Cholesterol
S-HDL-C,0.68 [0.58-0.80],0.594,,Cholesterol in Small HDL
S-HDL-CE,0.68 [0.58-0.80],0.455,,Cholesteryl Esters in Small HDL
S-HDL-P,0.67 [0.57-0.79],0.289,,Concentration of Small HDL Particles
