Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,2.06 [2.00-2.14],0.000e+00,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.98 [1.91-2.06],1.524e-270,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.98 [1.91-2.05],9.685e-281,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-VLDL-TG%,1.92 [1.82-2.01],1.670e-139,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
IDL-TG%,1.91 [1.85-1.97],0.000e+00,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.77 [1.72-1.82],2.897e-300,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.71 [1.66-1.76],5.388e-269,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.62 [1.57-1.67],5.118e-189,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.56 [1.52-1.61],7.782e-199,***,Phospholipids to Total-Lipids in Large HDL percentage
IDL-PL%,1.53 [1.48-1.58],3.147e-145,***,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-PL%,1.50 [1.44-1.56],3.248e-93,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-PL%,1.48 [1.44-1.53],6.720e-122,***,Phospholipids to Total-Lipids in Small LDL percentage
S-LDL-TG%,1.44 [1.40-1.49],3.800e-115,***,Triglycerides to Total-Lipids in Small LDL percentage
L-VLDL-TG%,1.44 [1.38-1.49],4.552e-73,***,Triglycerides to Total-Lipids in Large VLDL percentage
Omega-3%,1.33 [1.29-1.37],9.156e-63,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,1.32 [1.27-1.37],1.485e-49,***,Phospholipids to Total-Lipids in Medium LDL percentage
DHA%,1.27 [1.23-1.31],4.516e-47,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
XL-HDL-FC%,1.25 [1.21-1.29],1.939e-32,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-PL%,1.20 [1.17-1.24],2.666e-25,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.20 [1.16-1.24],1.578e-21,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Sc-ala,1.18 [1.15-1.22],4.443e-20,***,Spectrometer-corrected alanine
XL-HDL-TG%,1.16 [1.12-1.19],2.601e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-FC%,1.15 [1.11-1.19],3.235e-12,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Creatinine,1.13 [1.10-1.17],3.003e-09,***,Creatinine
S-HDL-TG%,1.12 [1.09-1.17],1.454e-05,***,Triglycerides to Total-Lipids in Small HDL percentage
Ala,1.12 [1.09-1.16],1.802e-07,***,Alanine
Glu-lactate,1.12 [1.09-1.15],2.633e-08,***,Glucose-lactate
Glu,1.11 [1.08-1.15],8.782e-07,***,Glucose
L-HDL-TG%,1.10 [1.07-1.14],2.432e-04,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-PL%,1.10 [1.07-1.14],0.001,**,Phospholipids to Total-Lipids in Small HDL percentage
S-VLDL-TG,0.91 [0.88-0.94],0.020,*,Triglycerides in Small VLDL
L-LDL-PL%,0.91 [0.88-0.94],7.317e-04,***,Phospholipids to Total-Lipids in Large LDL percentage
M-HDL-TG,0.91 [0.88-0.94],0.002,**,Triglycerides in Medium HDL
XL-HDL-PL%,0.90 [0.88-0.93],3.726e-08,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Acetate,0.90 [0.87-0.93],3.657e-05,***,Acetate
HDL-TG,0.90 [0.87-0.93],1.482e-04,***,Triglycerides in HDL
PUFA/MUFA,0.89 [0.87-0.92],1.379e-06,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-C%,0.89 [0.86-0.92],1.777e-08,***,Cholesterol to Total-Lipids in Small HDL percentage
XL-HDL-CE%,0.88 [0.86-0.90],5.039e-15,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Omega-6%,0.88 [0.85-0.90],3.199e-13,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL,0.87 [0.84-0.90],5.752e-09,***,Phospholipids in Medium HDL
S-LDL-FC%,0.87 [0.85-0.90],3.960e-16,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-TG,0.87 [0.84-0.90],4.355e-11,***,Triglycerides in Medium LDL
XL-VLDL-TG,0.87 [0.84-0.90],2.710e-11,***,Triglycerides in Very Large VLDL
M-HDL-CE,0.87 [0.84-0.90],5.664e-09,***,Cholesteryl Esters in Medium HDL
SFA%,0.87 [0.84-0.89],2.575e-15,***,Saturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-L,0.86 [0.83-0.89],4.209e-13,***,Total-Lipids in Medium HDL
S-LDL-TG,0.85 [0.82-0.88],1.779e-16,***,Triglycerides in Small LDL
XXL-VLDL-PL,0.85 [0.82-0.88],5.338e-16,***,Phospholipids in Chylomicrons and Extremely Large VLDL
IDL-TG,0.85 [0.82-0.88],1.134e-15,***,Triglycerides in IDL
LDL-TG,0.85 [0.82-0.88],8.214e-17,***,Triglycerides in LDL
XXL-VLDL-TG,0.85 [0.82-0.88],2.132e-17,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,0.85 [0.82-0.88],3.390e-17,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
M-HDL-C,0.85 [0.82-0.88],7.258e-14,***,Cholesterol in Medium HDL
L-LDL-TG,0.84 [0.81-0.87],1.649e-18,***,Triglycerides in Large LDL
LDL-size,0.84 [0.81-0.86],3.760e-25,***,Average Diameter for LDL Particles
L-VLDL-FC%,0.83 [0.80-0.86],9.073e-19,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-PL,0.83 [0.81-0.86],7.880e-23,***,Phospholipids in Small HDL
Total-TG,0.83 [0.80-0.86],7.057e-23,***,Total-Triglycerides
XXL-VLDL-CE%,0.83 [0.80-0.86],1.400e-18,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-L,0.83 [0.80-0.86],1.120e-22,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
VLDL-TG,0.83 [0.80-0.86],8.769e-24,***,Triglycerides in VLDL
L-HDL-CE%,0.82 [0.80-0.85],5.382e-44,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-FC%,0.82 [0.80-0.85],7.904e-35,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-TG,0.82 [0.79-0.85],2.155e-19,***,Triglycerides in Large HDL
XXL-VLDL-FC,0.82 [0.79-0.85],2.774e-25,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
L-LDL-CE%,0.82 [0.79-0.84],8.669e-34,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-VLDL-TG,0.82 [0.79-0.84],4.913e-27,***,Triglycerides in Large VLDL
S-HDL-L,0.82 [0.79-0.84],7.496e-30,***,Total-Lipids in Small HDL
M-HDL-P,0.81 [0.78-0.85],2.487e-21,***,Concentration of Medium HDL Particles
S-HDL-CE,0.81 [0.78-0.83],9.266e-32,***,Cholesteryl Esters in Small HDL
XL-VLDL-P,0.80 [0.77-0.82],3.862e-33,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,0.79 [0.76-0.82],4.282e-37,***,Total-Lipids in Very Large VLDL
MUFA,0.79 [0.76-0.81],6.955e-44,***,Monounsaturated Fatty Acids
S-HDL-C,0.78 [0.76-0.81],1.210e-42,***,Cholesterol in Small HDL
XL-HDL-TG,0.78 [0.75-0.80],8.199e-41,***,Triglycerides in Very Large HDL
HDL-PL,0.77 [0.75-0.80],2.318e-36,***,Phospholipids in HDL
XXL-VLDL-C,0.77 [0.75-0.80],1.543e-43,***,Cholesterol in Chylomicrons and Extremely Large VLDL
M-VLDL-TG,0.77 [0.74-0.80],3.595e-46,***,Triglycerides in Medium VLDL
L-HDL-C%,0.76 [0.75-0.78],1.603e-90,***,Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-PL,0.76 [0.74-0.79],1.313e-46,***,Phospholipids in Large VLDL
L-VLDL-P,0.76 [0.74-0.79],6.537e-47,***,Concentration of Large VLDL Particles
M-HDL-FC,0.76 [0.73-0.79],9.286e-38,***,Free Cholesterol in Medium HDL
S-HDL-P,0.76 [0.74-0.79],4.701e-53,***,Concentration of Small HDL Particles
IDL-FC%,0.76 [0.74-0.78],3.645e-80,***,Free Cholesterol to Total-Lipids in IDL percentage
HDL-size,0.76 [0.72-0.79],8.740e-29,***,Average Diameter for HDL Particles
L-VLDL-L,0.76 [0.73-0.78],4.197e-52,***,Total-Lipids in Large VLDL
L-HDL-PL,0.76 [0.72-0.79],3.034e-28,***,Phospholipids in Large HDL
ApoA1,0.75 [0.72-0.78],6.754e-49,***,Apolipoprotein A1
XL-VLDL-PL,0.75 [0.72-0.77],1.872e-55,***,Phospholipids in Very Large VLDL
S-HDL-FC,0.74 [0.72-0.77],5.477e-65,***,Free Cholesterol in Small HDL
HDL-L,0.74 [0.71-0.76],9.909e-53,***,Total-Lipids in HDL
XXL-VLDL-CE,0.74 [0.71-0.76],8.169e-60,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Omega-6/Omega-3,0.73 [0.71-0.76],1.111e-72,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
HDL-CE,0.73 [0.70-0.76],5.821e-51,***,Cholesteryl Esters in HDL
L-VLDL-FC,0.72 [0.70-0.75],1.304e-65,***,Free Cholesterol in Large VLDL
HDL-P,0.72 [0.69-0.75],2.776e-65,***,Concentration of HDL Particles
XL-VLDL-FC,0.71 [0.69-0.74],6.600e-73,***,Free Cholesterol in Very Large VLDL
L-HDL-L,0.70 [0.67-0.73],1.626e-47,***,Total-Lipids in Large HDL
HDL-C,0.70 [0.67-0.73],9.901e-64,***,HDL Cholesterol
XS-VLDL-FC%,0.70 [0.68-0.72],3.185e-169,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-C%,0.69 [0.66-0.71],2.117e-97,***,Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-P,0.69 [0.66-0.71],5.177e-90,***,Concentration of Small VLDL Particles
SFA,0.68 [0.66-0.70],3.543e-121,***,Saturated Fatty Acids
M-LDL-CE%,0.68 [0.66-0.70],1.859e-117,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.68 [0.66-0.69],1.513e-239,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-HDL-FC%,0.67 [0.65-0.70],2.273e-96,***,Free Cholesterol to Total-Lipids in Small HDL percentage
XL-VLDL-CE%,0.67 [0.65-0.70],2.345e-97,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
VLDL-L,0.67 [0.65-0.69],1.985e-120,***,Total-Lipids in VLDL
Total-FA,0.67 [0.65-0.69],5.024e-136,***,Total-Fatty Acids
L-HDL-FC%,0.67 [0.65-0.68],2.876e-255,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-CE,0.67 [0.64-0.70],2.710e-52,***,Cholesteryl Esters in Large HDL
L-VLDL-CE%,0.66 [0.64-0.69],2.020e-119,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-HDL-C,0.65 [0.62-0.69],3.231e-59,***,Cholesterol in Large HDL
L-VLDL-C,0.65 [0.63-0.68],1.886e-113,***,Cholesterol in Large VLDL
M-HDL-FC%,0.65 [0.63-0.67],9.308e-163,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-L,0.65 [0.63-0.67],1.791e-124,***,Total-Lipids in Small VLDL
Total-P,0.64 [0.62-0.67],2.967e-119,***,Total-Concentration of Lipoprotein Particles
XL-VLDL-PL%,0.64 [0.63-0.66],1.846e-201,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.64 [0.61-0.66],4.570e-112,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,0.64 [0.62-0.66],1.172e-199,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-VLDL-C,0.63 [0.61-0.65],3.045e-130,***,Cholesterol in Very Large VLDL
M-VLDL-C%,0.63 [0.61-0.64],2.268e-270,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-P,0.63 [0.59-0.66],8.021e-61,***,Concentration of Large HDL Particles
S-LDL-CE%,0.62 [0.60-0.64],3.988e-198,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-LDL-FC%,0.62 [0.61-0.64],1.716e-248,***,Free Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.62 [0.60-0.64],3.161e-214,***,Linoleic Acid to Total-Fatty Acids percentage
HDL-FC,0.62 [0.59-0.64],5.115e-101,***,Free Cholesterol in HDL
L-LDL-C%,0.61 [0.60-0.63],3.865e-273,***,Cholesterol to Total-Lipids in Large LDL percentage
VLDL-PL,0.61 [0.59-0.63],6.098e-165,***,Phospholipids in VLDL
Phosphoglyc,0.61 [0.59-0.63],1.329e-189,***,Phosphoglycerides
M-LDL-C%,0.60 [0.58-0.61],0.000e+00,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-FC,0.60 [0.57-0.63],4.773e-75,***,Free Cholesterol in Large HDL
XL-HDL-PL,0.60 [0.57-0.63],1.011e-78,***,Phospholipids in Very Large HDL
S-VLDL-C%,0.59 [0.58-0.61],2.476e-265,***,Cholesterol to Total-Lipids in Small VLDL percentage
XL-VLDL-FC%,0.59 [0.57-0.62],3.792e-146,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE,0.59 [0.57-0.61],1.088e-166,***,Cholesteryl Esters in Large VLDL
IDL-C%,0.59 [0.57-0.60],0.000e+00,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-FC%,0.59 [0.57-0.60],2.570e-301,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
PC,0.59 [0.57-0.60],4.802e-212,***,Phosphatidylcholines
PUFA,0.58 [0.57-0.60],1.613e-228,***,Polyunsaturated Fatty Acids
S-LDL-C%,0.58 [0.56-0.60],0.000e+00,***,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-L,0.58 [0.56-0.60],5.056e-214,***,Total-Lipids in Medium VLDL
ApoB/ApoA1,0.58 [0.56-0.60],3.674e-209,***,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-CE%,0.57 [0.56-0.59],0.000e+00,***,Cholesteryl Esters to Total-Lipids in IDL percentage
VLDL-P,0.57 [0.55-0.59],1.244e-188,***,Concentration of VLDL Particles
Cholines,0.57 [0.55-0.59],9.141e-243,***,Total-Cholines
XL-VLDL-CE,0.57 [0.55-0.59],3.353e-188,***,Cholesteryl Esters in Very Large VLDL
S-VLDL-FC%,0.56 [0.55-0.58],0.000e+00,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
VLDL-FC,0.56 [0.54-0.58],9.051e-217,***,Free Cholesterol in VLDL
M-VLDL-PL%,0.56 [0.54-0.57],0.000e+00,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,0.55 [0.53-0.56],0.000e+00,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-PL,0.55 [0.53-0.57],2.838e-223,***,Phospholipids in Small VLDL
XS-VLDL-PL,0.55 [0.53-0.57],8.294e-210,***,Phospholipids in Very Small VLDL
Total-L,0.54 [0.53-0.56],0.000e+00,***,Total-Lipids in Lipoprotein Particles
XS-VLDL-CE%,0.54 [0.53-0.56],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-VLDL-PL%,0.54 [0.52-0.56],3.038e-304,***,Phospholipids to Total-Lipids in Small VLDL percentage
Total-PL,0.54 [0.52-0.56],0.000e+00,***,Total-Phospholipids in Lipoprotein Particles
Omega-6,0.53 [0.52-0.55],0.000e+00,***,Omega-6 Fatty Acids
S-VLDL-CE,0.53 [0.51-0.55],1.462e-227,***,Cholesteryl Esters in Small VLDL
XL-HDL-L,0.53 [0.50-0.56],3.027e-118,***,Total-Lipids in Very Large HDL
M-LDL-L,0.53 [0.51-0.55],1.417e-298,***,Total-Lipids in Medium LDL
M-LDL-CE,0.52 [0.51-0.54],5.222e-293,***,Cholesteryl Esters in Medium LDL
S-LDL-PL,0.52 [0.50-0.54],3.593e-277,***,Phospholipids in Small LDL
M-LDL-PL,0.52 [0.50-0.54],7.208e-287,***,Phospholipids in Medium LDL
LDL-L,0.52 [0.50-0.53],0.000e+00,***,Total-Lipids in LDL
