Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-TG%,2.12 [1.95-2.32],3.440e-58,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,2.10 [1.92-2.28],1.938e-59,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,2.07 [1.92-2.24],9.006e-72,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,2.01 [1.79-2.26],9.004e-26,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
IDL-TG%,1.97 [1.84-2.11],1.409e-76,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.84 [1.72-1.97],4.532e-65,***,Triglycerides to Total-Lipids in Large LDL percentage
S-LDL-PL%,1.78 [1.65-1.91],5.417e-51,***,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-TG%,1.77 [1.65-1.89],1.193e-57,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.72 [1.60-1.85],3.032e-43,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.64 [1.52-1.76],2.466e-35,***,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL%,1.61 [1.51-1.71],2.484e-42,***,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-PL%,1.53 [1.41-1.66],1.160e-18,***,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-TG%,1.52 [1.39-1.66],3.141e-15,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-LDL-TG%,1.42 [1.33-1.53],1.642e-17,***,Triglycerides to Total-Lipids in Small LDL percentage
XXL-VLDL-PL%,1.41 [1.30-1.54],1.069e-09,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-FC%,1.34 [1.24-1.45],2.424e-08,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-PL%,1.29 [1.20-1.39],3.801e-07,***,Phospholipids to Total-Lipids in Medium HDL percentage
Albumin,0.83 [0.78-0.89],0.047,*,Albumin
LDL-size,0.82 [0.76-0.88],0.004,**,Average Diameter for LDL Particles
L-HDL-CE%,0.82 [0.77-0.87],1.273e-06,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XL-HDL-CE%,0.81 [0.76-0.86],2.208e-06,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-VLDL-FC%,0.80 [0.74-0.87],0.015,*,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-TG,0.80 [0.74-0.87],0.004,**,Triglycerides in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,0.79 [0.73-0.86],0.002,**,Triglycerides in Small VLDL
M-HDL-TG,0.79 [0.73-0.86],0.003,**,Triglycerides in Medium HDL
XL-VLDL-TG,0.79 [0.73-0.85],6.981e-04,***,Triglycerides in Very Large VLDL
HDL-TG,0.78 [0.72-0.85],5.757e-04,***,Triglycerides in HDL
XXL-VLDL-P,0.78 [0.72-0.84],1.865e-04,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-PL,0.78 [0.72-0.84],1.259e-04,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,0.77 [0.71-0.83],1.367e-05,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
IDL-FC%,0.76 [0.72-0.81],8.160e-12,***,Free Cholesterol to Total-Lipids in IDL percentage
Omega-3,0.76 [0.70-0.83],9.183e-06,***,Omega-3 Fatty Acids
L-HDL-C%,0.76 [0.72-0.80],1.326e-16,***,Cholesterol to Total-Lipids in Large HDL percentage
HDL-size,0.76 [0.68-0.84],0.024,*,Average Diameter for HDL Particles
DHA,0.75 [0.69-0.82],5.405e-06,***,Docosahexaenoic Acid
M-HDL-CE,0.75 [0.69-0.81],4.675e-06,***,Cholesteryl Esters in Medium HDL
M-HDL-PL,0.74 [0.69-0.81],4.245e-07,***,Phospholipids in Medium HDL
XXL-VLDL-FC,0.74 [0.68-0.80],5.576e-08,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-LDL-TG,0.74 [0.68-0.80],3.165e-08,***,Triglycerides in Medium LDL
S-LDL-TG,0.74 [0.68-0.80],2.163e-08,***,Triglycerides in Small LDL
VLDL-TG,0.73 [0.68-0.79],5.892e-10,***,Triglycerides in VLDL
M-HDL-L,0.73 [0.67-0.79],5.005e-09,***,Total-Lipids in Medium HDL
Total-TG,0.73 [0.67-0.78],1.183e-10,***,Total-Triglycerides
L-VLDL-TG,0.72 [0.67-0.78],7.712e-10,***,Triglycerides in Large VLDL
IDL-TG,0.72 [0.67-0.79],3.843e-09,***,Triglycerides in IDL
M-HDL-C,0.72 [0.66-0.79],2.608e-08,***,Cholesterol in Medium HDL
L-LDL-CE%,0.72 [0.67-0.77],5.920e-17,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-HDL-TG,0.72 [0.66-0.79],1.150e-07,***,Triglycerides in Large HDL
LDL-TG,0.71 [0.66-0.77],1.307e-10,***,Triglycerides in LDL
XS-VLDL-FC%,0.70 [0.67-0.75],2.088e-29,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-TG,0.70 [0.65-0.77],2.311e-11,***,Triglycerides in Large LDL
XL-VLDL-P,0.70 [0.65-0.76],3.038e-11,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,0.70 [0.64-0.76],9.501e-13,***,Total-Lipids in Very Large VLDL
L-HDL-PL,0.70 [0.63-0.78],8.067e-06,***,Phospholipids in Large HDL
M-VLDL-CE%,0.69 [0.66-0.72],2.740e-49,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XXL-VLDL-C,0.69 [0.63-0.75],2.398e-13,***,Cholesterol in Chylomicrons and Extremely Large VLDL
S-HDL-PL,0.68 [0.63-0.73],5.089e-18,***,Phospholipids in Small HDL
M-HDL-P,0.68 [0.62-0.74],5.346e-12,***,Concentration of Medium HDL Particles
XL-HDL-TG,0.67 [0.62-0.73],1.565e-14,***,Triglycerides in Very Large HDL
MUFA,0.67 [0.62-0.72],7.267e-21,***,Monounsaturated Fatty Acids
L-HDL-FC%,0.67 [0.64-0.70],4.038e-53,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-C%,0.67 [0.62-0.72],2.694e-18,***,Cholesterol to Total-Lipids in Large VLDL percentage
XL-VLDL-CE%,0.66 [0.61-0.72],3.220e-16,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-PL,0.66 [0.61-0.72],1.718e-16,***,Phospholipids in Large VLDL
S-HDL-CE,0.66 [0.61-0.72],9.718e-21,***,Cholesteryl Esters in Small HDL
L-VLDL-P,0.66 [0.61-0.72],1.491e-16,***,Concentration of Large VLDL Particles
S-HDL-L,0.66 [0.61-0.71],2.594e-22,***,Total-Lipids in Small HDL
L-VLDL-L,0.66 [0.61-0.71],9.423e-19,***,Total-Lipids in Large VLDL
HDL-PL,0.65 [0.60-0.71],3.872e-16,***,Phospholipids in HDL
XL-VLDL-PL,0.65 [0.60-0.71],1.805e-17,***,Phospholipids in Very Large VLDL
M-VLDL-TG,0.65 [0.60-0.71],2.599e-19,***,Triglycerides in Medium VLDL
L-VLDL-CE%,0.65 [0.60-0.70],5.102e-22,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XXL-VLDL-CE,0.65 [0.60-0.71],1.024e-17,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-HDL-L,0.64 [0.58-0.72],2.633e-10,***,Total-Lipids in Large HDL
XL-VLDL-PL%,0.64 [0.60-0.68],3.882e-45,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
LA%,0.64 [0.60-0.68],3.583e-35,***,Linoleic Acid to Total-Fatty Acids percentage
S-HDL-C,0.63 [0.59-0.68],1.421e-26,***,Cholesterol in Small HDL
L-LDL-FC%,0.63 [0.60-0.67],6.124e-44,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-C%,0.63 [0.58-0.69],9.399e-19,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,0.63 [0.59-0.67],1.249e-39,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-C%,0.63 [0.59-0.66],4.882e-56,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-HDL-FC,0.63 [0.57-0.69],8.958e-18,***,Free Cholesterol in Medium HDL
L-HDL-CE,0.63 [0.56-0.70],8.332e-10,***,Cholesteryl Esters in Large HDL
XL-HDL-PL,0.62 [0.55-0.70],1.216e-09,***,Phospholipids in Very Large HDL
L-VLDL-FC,0.62 [0.57-0.67],7.457e-23,***,Free Cholesterol in Large VLDL
HDL-L,0.62 [0.57-0.67],8.787e-22,***,Total-Lipids in HDL
ApoA1,0.62 [0.57-0.67],5.271e-23,***,Apolipoprotein A1
XL-VLDL-FC,0.62 [0.57-0.67],5.824e-23,***,Free Cholesterol in Very Large VLDL
HDL-CE,0.62 [0.56-0.68],1.571e-18,***,Cholesteryl Esters in HDL
L-HDL-C,0.61 [0.54-0.68],1.576e-11,***,Cholesterol in Large HDL
S-HDL-P,0.60 [0.56-0.65],4.083e-31,***,Concentration of Small HDL Particles
S-HDL-FC%,0.60 [0.55-0.65],1.531e-27,***,Free Cholesterol to Total-Lipids in Small HDL percentage
XL-VLDL-FC%,0.59 [0.54-0.65],3.425e-25,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-FC%,0.59 [0.55-0.63],1.590e-53,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-C,0.59 [0.53-0.65],6.390e-23,***,HDL Cholesterol
M-LDL-CE%,0.58 [0.54-0.63],9.687e-45,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-HDL-FC,0.58 [0.54-0.63],2.249e-36,***,Free Cholesterol in Small HDL
S-VLDL-C%,0.58 [0.55-0.62],1.133e-55,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-C%,0.58 [0.55-0.61],4.262e-71,***,Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-FC%,0.58 [0.54-0.61],1.685e-65,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-C%,0.58 [0.54-0.61],9.466e-78,***,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.57 [0.54-0.61],1.464e-82,***,Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-L,0.57 [0.53-0.62],2.232e-41,***,Total-Lipids in VLDL
HDL-P,0.57 [0.52-0.62],9.246e-32,***,Concentration of HDL Particles
SFA,0.56 [0.52-0.61],1.599e-47,***,Saturated Fatty Acids
L-HDL-P,0.56 [0.49-0.63],1.665e-13,***,Concentration of Large HDL Particles
IDL-CE%,0.56 [0.52-0.59],9.003e-82,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-VLDL-P,0.55 [0.51-0.60],1.657e-34,***,Concentration of Small VLDL Particles
XS-VLDL-C%,0.55 [0.52-0.59],5.447e-79,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.55 [0.52-0.58],2.448e-83,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-PL%,0.55 [0.52-0.58],8.442e-84,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-HDL-FC,0.55 [0.48-0.62],2.959e-15,***,Free Cholesterol in Large HDL
S-VLDL-FC%,0.55 [0.51-0.58],7.341e-70,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-VLDL-C,0.55 [0.50-0.59],2.370e-37,***,Cholesterol in Large VLDL
Total-FA,0.54 [0.51-0.58],4.771e-57,***,Total-Fatty Acids
XL-HDL-FC,0.54 [0.48-0.60],3.123e-25,***,Free Cholesterol in Very Large HDL
XL-HDL-L,0.54 [0.47-0.60],1.049e-18,***,Total-Lipids in Very Large HDL
S-LDL-C%,0.53 [0.50-0.56],5.469e-96,***,Cholesterol to Total-Lipids in Small LDL percentage
XL-VLDL-C,0.53 [0.48-0.58],3.838e-40,***,Cholesterol in Very Large VLDL
S-VLDL-L,0.52 [0.48-0.57],5.661e-46,***,Total-Lipids in Small VLDL
ApoB/ApoA1,0.52 [0.48-0.57],7.435e-50,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-LDL-CE%,0.52 [0.49-0.56],6.037e-77,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-VLDL-PL%,0.52 [0.48-0.55],6.933e-68,***,Phospholipids to Total-Lipids in Small VLDL percentage
VLDL-PL,0.51 [0.46-0.55],2.599e-53,***,Phospholipids in VLDL
Total-P,0.50 [0.46-0.55],5.529e-51,***,Total-Concentration of Lipoprotein Particles
