Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.10 [1.00-1.22],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.09 [0.98-1.21],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Leu,1.03 [0.93-1.15],1.000,,Leucine
Total-BCAA,1.02 [0.92-1.14],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.01 [0.91-1.13],1.000,,Valine
LDL-C,0.94 [0.85-1.04],1.000,,LDL Cholesterol
Non-HDL-C,0.92 [0.83-1.02],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.92 [0.83-1.02],1.000,,Total-Cholesterol
Remnant-C,0.92 [0.83-1.01],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-FC%,0.91 [0.83-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
