Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.54 [1.37-1.74],3.825e-07,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.53 [1.36-1.73],9.146e-07,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.50 [1.33-1.70],2.020e-05,***,Triglycerides to Total-Lipids in IDL percentage
S-LDL-TG%,1.38 [1.21-1.56],0.145,,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,1.38 [1.20-1.57],0.669,,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE%,0.74 [0.67-0.83],0.021,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XS-VLDL-C%,0.74 [0.66-0.83],0.037,*,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.74 [0.66-0.82],0.022,*,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-LDL-C%,0.71 [0.64-0.80],0.001,**,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-CE%,0.71 [0.63-0.80],0.003,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
IDL-C%,0.71 [0.64-0.79],3.109e-05,***,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.71 [0.63-0.79],1.603e-04,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-C%,0.70 [0.63-0.78],1.281e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.69 [0.62-0.77],1.061e-05,***,Cholesterol to Total-Lipids in Large LDL percentage
