Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.22 [1.15-1.29],3.231e-06,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.22 [1.15-1.29],7.626e-06,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-PL%,1.20 [1.13-1.28],0.002,**,Phospholipids to Total-Lipids in Small LDL percentage
IDL-TG%,1.20 [1.13-1.27],4.197e-04,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.20 [1.13-1.27],0.002,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.85 [0.80-0.90],0.022,*,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-PL,0.85 [0.80-0.90],0.048,*,Phospholipids in Small HDL
S-VLDL-FC%,0.85 [0.80-0.90],0.005,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
Albumin,0.85 [0.80-0.90],0.005,**,Albumin
IDL-C%,0.84 [0.80-0.89],8.289e-05,***,Cholesterol to Total-Lipids in IDL percentage
S-VLDL-PL%,0.84 [0.79-0.90],0.010,*,Phospholipids to Total-Lipids in Small VLDL percentage
ApoB/ApoA1,0.84 [0.79-0.89],0.011,*,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-CE%,0.84 [0.79-0.89],6.820e-05,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-L,0.84 [0.79-0.89],0.024,*,Total-Lipids in Very Small VLDL
XL-VLDL-C,0.84 [0.78-0.89],0.028,*,Cholesterol in Very Large VLDL
Total-FA,0.84 [0.79-0.89],8.961e-04,***,Total-Fatty Acids
VLDL-L,0.84 [0.79-0.89],0.005,**,Total-Lipids in VLDL
M-LDL-CE%,0.84 [0.79-0.89],0.002,**,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-VLDL-P,0.83 [0.78-0.89],0.008,**,Concentration of Small VLDL Particles
L-VLDL-C,0.83 [0.78-0.89],0.008,**,Cholesterol in Large VLDL
VLDL-PL,0.83 [0.78-0.88],0.001,**,Phospholipids in VLDL
S-LDL-CE%,0.83 [0.78-0.88],9.121e-05,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XS-VLDL-P,0.83 [0.77-0.88],0.004,**,Concentration of Very Small VLDL Particles
XS-VLDL-FC,0.82 [0.77-0.88],0.003,**,Free Cholesterol in Very Small VLDL
S-HDL-L,0.82 [0.77-0.88],2.234e-04,***,Total-Lipids in Small HDL
Val,0.82 [0.77-0.88],0.003,**,Valine
S-HDL-FC,0.82 [0.77-0.87],1.087e-04,***,Free Cholesterol in Small HDL
S-VLDL-L,0.82 [0.77-0.87],1.965e-04,***,Total-Lipids in Small VLDL
