Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.20 [1.16-1.25],7.891e-17,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-TG%,1.17 [1.13-1.22],3.656e-14,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.17 [1.13-1.22],3.474e-12,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL%,1.17 [1.13-1.21],4.058e-12,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.16 [1.12-1.21],4.931e-09,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-LDL-TG%,1.16 [1.12-1.20],1.594e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,1.15 [1.11-1.20],7.520e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-LDL-TG%,1.15 [1.11-1.19],1.201e-09,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-VLDL-TG%,1.14 [1.09-1.19],0.004,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-PL%,1.13 [1.09-1.17],7.538e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
GlycA,1.13 [1.09-1.17],2.182e-05,***,Glycoprotein Acetyls
IDL-PL%,1.13 [1.09-1.17],1.319e-05,***,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL%,1.13 [1.09-1.17],2.967e-06,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.12 [1.08-1.16],1.068e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-HDL-FC%,1.12 [1.08-1.16],0.005,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,1.11 [1.07-1.16],0.026,*,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-FC%,0.92 [0.89-0.95],0.014,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-CE%,0.91 [0.88-0.94],0.002,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-FC%,0.91 [0.88-0.94],1.358e-04,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-CE%,0.91 [0.88-0.94],0.013,*,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-C,0.91 [0.87-0.94],0.023,*,Cholesterol in Medium LDL
LDL-P,0.91 [0.87-0.94],0.031,*,Concentration of LDL Particles
M-HDL-C%,0.90 [0.87-0.94],0.008,**,Cholesterol to Total-Lipids in Medium HDL percentage
DHA%,0.90 [0.87-0.94],0.004,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-P,0.90 [0.87-0.93],0.008,**,Concentration of Large LDL Particles
ApoB,0.90 [0.87-0.93],0.002,**,Apolipoprotein B
L-HDL-C%,0.90 [0.87-0.93],2.292e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
Albumin,0.90 [0.87-0.93],7.491e-04,***,Albumin
Omega-3,0.90 [0.86-0.93],0.013,*,Omega-3 Fatty Acids
XL-VLDL-CE%,0.90 [0.86-0.93],0.021,*,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
Total-L,0.90 [0.87-0.93],1.519e-04,***,Total-Lipids in Lipoprotein Particles
PUFA%,0.90 [0.87-0.93],5.174e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-CE%,0.90 [0.86-0.93],0.003,**,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-LDL-FC,0.89 [0.86-0.93],5.761e-04,***,Free Cholesterol in Small LDL
Omega-6,0.89 [0.86-0.93],2.029e-04,***,Omega-6 Fatty Acids
LA,0.89 [0.86-0.93],1.329e-04,***,Linoleic Acid
M-VLDL-CE%,0.89 [0.87-0.92],3.147e-07,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-HDL-P,0.89 [0.86-0.93],0.032,*,Concentration of Medium HDL Particles
XL-VLDL-FC%,0.89 [0.86-0.93],0.017,*,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
LDL-CE,0.89 [0.86-0.92],7.198e-05,***,Cholesteryl Esters in LDL
M-HDL-CE,0.89 [0.86-0.93],0.011,*,Cholesteryl Esters in Medium HDL
XL-VLDL-C%,0.89 [0.86-0.93],0.006,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
LDL-L,0.89 [0.86-0.92],1.996e-05,***,Total-Lipids in LDL
LA%,0.89 [0.86-0.92],1.709e-05,***,Linoleic Acid to Total-Fatty Acids percentage
Phosphoglyc,0.89 [0.86-0.92],1.275e-04,***,Phosphoglycerides
M-HDL-C,0.89 [0.85-0.93],0.004,**,Cholesterol in Medium HDL
LDL-PL,0.89 [0.86-0.92],3.631e-05,***,Phospholipids in LDL
HDL-PL,0.89 [0.85-0.92],0.003,**,Phospholipids in HDL
S-VLDL-C%,0.89 [0.86-0.92],2.824e-06,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-FC,0.89 [0.85-0.92],3.189e-05,***,Free Cholesterol in Medium LDL
M-VLDL-C,0.89 [0.85-0.92],5.500e-05,***,Cholesterol in Medium VLDL
LDL-C,0.89 [0.85-0.92],3.163e-06,***,LDL Cholesterol
PUFA,0.88 [0.85-0.92],5.591e-06,***,Polyunsaturated Fatty Acids
HDL-P,0.88 [0.85-0.92],3.970e-04,***,Concentration of HDL Particles
Remnant-C,0.88 [0.85-0.91],1.307e-06,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.88 [0.85-0.91],4.375e-07,***,Total-Cholesterol Minus HDL-C
L-LDL-CE,0.88 [0.85-0.91],1.815e-06,***,Cholesteryl Esters in Large LDL
M-VLDL-C%,0.88 [0.85-0.91],2.320e-08,***,Cholesterol to Total-Lipids in Medium VLDL percentage
ApoA1,0.88 [0.85-0.92],2.124e-04,***,Apolipoprotein A1
M-HDL-FC,0.88 [0.84-0.92],0.001,**,Free Cholesterol in Medium HDL
L-LDL-L,0.88 [0.85-0.91],3.355e-07,***,Total-Lipids in Large LDL
SM,0.88 [0.85-0.91],1.143e-05,***,Sphingomyelins
Total-PL,0.88 [0.85-0.91],6.881e-07,***,Total-Phospholipids in Lipoprotein Particles
Cholines,0.88 [0.85-0.91],1.232e-06,***,Total-Cholines
M-LDL-C%,0.88 [0.85-0.91],1.681e-09,***,Cholesterol to Total-Lipids in Medium LDL percentage
PC,0.88 [0.84-0.91],1.466e-06,***,Phosphatidylcholines
M-VLDL-PL%,0.88 [0.85-0.91],1.035e-08,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-LDL-C,0.88 [0.85-0.91],8.952e-08,***,Cholesterol in Large LDL
Total-P,0.88 [0.84-0.91],1.057e-05,***,Total-Concentration of Lipoprotein Particles
Clinical LDL-C,0.88 [0.85-0.91],1.789e-08,***,Clinical LDL Cholesterol
L-LDL-FC%,0.87 [0.85-0.91],3.088e-09,***,Free Cholesterol to Total-Lipids in Large LDL percentage
IDL-P,0.87 [0.84-0.91],1.361e-06,***,Concentration of IDL Particles
L-LDL-PL,0.87 [0.84-0.91],1.379e-07,***,Phospholipids in Large LDL
M-VLDL-FC%,0.87 [0.84-0.90],3.036e-09,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-C%,0.87 [0.84-0.90],1.461e-09,***,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-CE,0.87 [0.84-0.91],3.846e-07,***,Cholesteryl Esters in Medium VLDL
XS-VLDL-C,0.87 [0.84-0.91],1.854e-06,***,Cholesterol in Very Small VLDL
L-LDL-C%,0.87 [0.84-0.90],1.884e-10,***,Cholesterol to Total-Lipids in Large LDL percentage
HDL-L,0.87 [0.84-0.91],1.966e-05,***,Total-Lipids in HDL
LDL-FC,0.87 [0.84-0.90],2.413e-08,***,Free Cholesterol in LDL
Total-FC,0.87 [0.84-0.90],9.529e-09,***,Total-Free Cholesterol
DHA,0.87 [0.84-0.91],1.460e-06,***,Docosahexaenoic Acid
XL-HDL-FC,0.87 [0.83-0.91],0.002,**,Free Cholesterol in Very Large HDL
HDL-size,0.87 [0.83-0.91],0.002,**,Average Diameter for HDL Particles
S-VLDL-FC%,0.87 [0.84-0.90],2.603e-10,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
IDL-CE%,0.86 [0.84-0.89],1.150e-12,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-VLDL-PL%,0.86 [0.83-0.90],6.791e-10,***,Phospholipids to Total-Lipids in Small VLDL percentage
Total-C,0.86 [0.83-0.89],3.301e-11,***,Total-Cholesterol
IDL-C%,0.86 [0.84-0.89],4.663e-14,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC,0.86 [0.83-0.89],7.438e-10,***,Free Cholesterol in Large LDL
IDL-PL,0.86 [0.83-0.90],4.758e-09,***,Phospholipids in IDL
XS-VLDL-CE,0.86 [0.83-0.90],2.257e-08,***,Cholesteryl Esters in Very Small VLDL
XL-HDL-PL,0.86 [0.82-0.91],0.003,**,Phospholipids in Very Large HDL
Total-CE,0.86 [0.83-0.89],1.040e-11,***,Total-Esterified Cholesterol
XS-VLDL-C%,0.86 [0.83-0.89],4.322e-14,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-PL,0.86 [0.82-0.90],1.722e-04,***,Phospholipids in Large HDL
IDL-L,0.86 [0.83-0.89],1.451e-11,***,Total-Lipids in IDL
Unsaturation,0.86 [0.83-0.89],1.112e-11,***,Degree of Unsaturation
XS-VLDL-CE%,0.86 [0.83-0.88],6.096e-15,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA/MUFA,0.85 [0.82-0.89],4.057e-12,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
HDL-CE,0.85 [0.81-0.89],1.108e-07,***,Cholesteryl Esters in HDL
IDL-FC,0.85 [0.82-0.88],6.822e-12,***,Free Cholesterol in IDL
HDL-C,0.85 [0.81-0.89],3.393e-08,***,HDL Cholesterol
XL-HDL-L,0.85 [0.80-0.89],7.347e-05,***,Total-Lipids in Very Large HDL
IDL-C,0.85 [0.82-0.88],1.435e-13,***,Cholesterol in IDL
M-HDL-FC%,0.85 [0.82-0.88],7.493e-14,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
IDL-CE,0.85 [0.82-0.88],1.789e-13,***,Cholesteryl Esters in IDL
L-HDL-L,0.84 [0.80-0.89],2.331e-06,***,Total-Lipids in Large HDL
HDL-FC,0.84 [0.81-0.88],1.282e-07,***,Free Cholesterol in HDL
XL-HDL-P,0.83 [0.79-0.88],5.048e-06,***,Concentration of Very Large HDL Particles
XL-HDL-C,0.83 [0.79-0.88],9.235e-07,***,Cholesterol in Very Large HDL
L-HDL-C,0.83 [0.79-0.87],2.162e-07,***,Cholesterol in Large HDL
L-HDL-CE,0.83 [0.79-0.87],3.195e-07,***,Cholesteryl Esters in Large HDL
L-HDL-FC,0.83 [0.79-0.88],1.249e-06,***,Free Cholesterol in Large HDL
L-HDL-P,0.83 [0.78-0.87],1.207e-06,***,Concentration of Large HDL Particles
XL-HDL-CE,0.82 [0.78-0.87],3.101e-07,***,Cholesteryl Esters in Very Large HDL
