Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.09 [0.96-1.24],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,1.07 [0.94-1.21],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,1.06 [0.94-1.21],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.02 [0.90-1.15],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,1.01 [0.89-1.13],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-TG%,0.98 [0.85-1.12],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.92 [0.82-1.04],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-PL%,0.91 [0.80-1.04],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-C%,0.88 [0.77-0.99],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-CE%,0.87 [0.77-0.98],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
