Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.45 [1.21-1.74],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-VLDL-TG%,1.28 [1.00-1.62],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-PL%,1.24 [1.02-1.50],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-PL%,1.19 [0.96-1.47],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,1.05 [0.79-1.39],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
Total-C,0.60 [0.50-0.73],0.022,*,Total-Cholesterol
Total-CE,0.60 [0.50-0.73],0.025,*,Total-Esterified Cholesterol
Total-FC,0.59 [0.48-0.72],0.040,*,Total-Free Cholesterol
LA,0.59 [0.48-0.71],0.018,*,Linoleic Acid
IDL-C,0.58 [0.47-0.71],0.049,*,Cholesterol in IDL
IDL-CE,0.57 [0.47-0.71],0.043,*,Cholesteryl Esters in IDL
