Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.23 [1.02-1.47],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.18 [0.96-1.45],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.07 [0.87-1.33],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-PL%,1.06 [0.87-1.30],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-LDL-PL%,1.02 [0.83-1.24],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,0.90 [0.74-1.09],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.89 [0.75-1.07],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.89 [0.76-1.05],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.88 [0.73-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.88 [0.73-1.04],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
