Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.27 [1.23-1.31],4.029e-50,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.25 [1.22-1.29],1.246e-44,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.25 [1.21-1.29],7.708e-39,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.24 [1.20-1.28],1.417e-39,***,Triglycerides to Total-Lipids in IDL percentage
S-LDL-PL%,1.20 [1.16-1.24],3.358e-23,***,Phospholipids to Total-Lipids in Small LDL percentage
IDL-PL%,1.20 [1.16-1.24],4.115e-24,***,Phospholipids to Total-Lipids in IDL percentage
GlycA,1.19 [1.15-1.23],4.024e-20,***,Glycoprotein Acetyls
S-VLDL-TG%,1.18 [1.14-1.22],6.222e-17,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,1.18 [1.14-1.22],2.646e-19,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,1.17 [1.14-1.21],7.188e-17,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,1.16 [1.12-1.20],4.964e-15,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.15 [1.12-1.19],4.037e-11,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.15 [1.12-1.19],6.228e-14,***,Triglycerides to Total-Lipids in Small LDL percentage
S-HDL-PL%,1.14 [1.11-1.18],8.401e-10,***,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-PL%,1.14 [1.11-1.17],1.104e-12,***,Phospholipids to Total-Lipids in Large HDL percentage
Omega-6/Omega-3,1.13 [1.10-1.17],1.590e-09,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-HDL-CE%,0.92 [0.89-0.94],5.768e-05,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XL-VLDL-L,0.91 [0.88-0.94],0.031,*,Total-Lipids in Very Large VLDL
XL-VLDL-CE%,0.91 [0.88-0.94],0.039,*,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-HDL-PL,0.91 [0.88-0.94],0.045,*,Phospholipids in Medium HDL
L-HDL-C%,0.91 [0.89-0.94],3.828e-06,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-PL,0.91 [0.88-0.94],0.005,**,Phospholipids in Very Large VLDL
