Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,1.14 [1.09-1.19],0.021,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
GlycA,1.11 [1.07-1.15],0.022,*,Glycoprotein Acetyls
XS-VLDL-TG%,1.10 [1.06-1.15],0.049,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-HDL-PL%,1.06 [1.02-1.10],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-HDL-TG%,1.05 [1.01-1.10],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
PUFA%,0.91 [0.88-0.94],0.044,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,0.90 [0.87-0.93],5.452e-04,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE%,0.89 [0.85-0.93],0.005,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.89 [0.85-0.92],0.004,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
LA%,0.87 [0.84-0.90],2.174e-08,***,Linoleic Acid to Total-Fatty Acids percentage
