Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,1.09 [0.92-1.29],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.08 [0.91-1.29],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,1.03 [0.88-1.21],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.02 [0.87-1.20],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.01 [0.86-1.19],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,1.00 [0.85-1.17],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-TG%,1.00 [0.84-1.18],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-PL%,0.99 [0.83-1.18],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-HDL-TG%,0.96 [0.80-1.15],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-FC%,0.94 [0.79-1.13],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
