Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL%,1.16 [1.13-1.18],6.005e-42,***,Phospholipids to Total-Lipids in IDL percentage
L-LDL-TG%,1.15 [1.12-1.17],3.830e-39,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.14 [1.12-1.16],3.054e-33,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.14 [1.12-1.16],4.434e-36,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.14 [1.12-1.16],2.244e-35,***,Triglycerides to Total-Lipids in IDL percentage
S-LDL-PL%,1.12 [1.10-1.15],1.832e-23,***,Phospholipids to Total-Lipids in Small LDL percentage
GlycA,1.12 [1.10-1.14],5.644e-22,***,Glycoprotein Acetyls
S-VLDL-TG%,1.10 [1.08-1.13],2.502e-14,***,Triglycerides to Total-Lipids in Small VLDL percentage
Omega-6/Omega-3,1.10 [1.08-1.12],1.148e-16,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XS-VLDL-TG%,1.10 [1.08-1.12],1.909e-15,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
Gly,1.10 [1.07-1.13],1.872e-05,***,Glycine
M-VLDL-TG%,1.08 [1.06-1.10],1.392e-07,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Glu-lactate,1.08 [1.06-1.10],3.739e-10,***,Glucose-lactate
S-LDL-TG%,1.08 [1.06-1.10],5.884e-08,***,Triglycerides to Total-Lipids in Small LDL percentage
XXL-VLDL-PL%,1.07 [1.05-1.10],7.825e-04,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu,1.07 [1.05-1.10],1.728e-07,***,Glucose
S-HDL-PL%,1.07 [1.05-1.10],5.395e-06,***,Phospholipids to Total-Lipids in Small HDL percentage
M-HDL-PL%,1.07 [1.05-1.09],2.021e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.07 [1.04-1.09],3.090e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,1.06 [1.04-1.08],1.951e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-PL%,1.06 [1.04-1.08],0.009,**,Phospholipids to Total-Lipids in Very Large HDL percentage
XS-VLDL-FC%,0.95 [0.93-0.96],5.985e-04,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-L,0.95 [0.93-0.97],0.029,*,Total-Lipids in Chylomicrons and Extremely Large VLDL
LA%,0.95 [0.93-0.96],0.007,**,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-TG,0.95 [0.93-0.96],0.015,*,Triglycerides in Large LDL
His,0.94 [0.93-0.96],0.006,**,Histidine
XXL-VLDL-FC,0.94 [0.93-0.96],0.010,*,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-HDL-C%,0.94 [0.93-0.96],0.002,**,Cholesterol to Total-Lipids in Small HDL percentage
XL-VLDL-PL%,0.94 [0.92-0.96],0.019,*,Phospholipids to Total-Lipids in Very Large VLDL percentage
LDL-TG,0.94 [0.92-0.96],0.002,**,Triglycerides in LDL
S-HDL-FC%,0.94 [0.92-0.96],0.023,*,Free Cholesterol to Total-Lipids in Small HDL percentage
DHA%,0.94 [0.92-0.96],2.655e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-TG,0.94 [0.92-0.96],8.178e-04,***,Triglycerides in Medium LDL
S-VLDL-TG,0.94 [0.92-0.96],0.002,**,Triglycerides in Small VLDL
M-HDL-PL,0.94 [0.92-0.96],0.008,**,Phospholipids in Medium HDL
S-LDL-TG,0.94 [0.92-0.96],3.636e-04,***,Triglycerides in Small LDL
S-VLDL-CE%,0.94 [0.92-0.96],3.483e-05,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-HDL-C%,0.94 [0.92-0.96],1.808e-05,***,Cholesterol to Total-Lipids in Very Large HDL percentage
M-VLDL-CE%,0.94 [0.92-0.95],5.360e-08,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-HDL-CE,0.94 [0.92-0.96],0.004,**,Cholesteryl Esters in Medium HDL
MUFA,0.94 [0.92-0.95],1.181e-05,***,Monounsaturated Fatty Acids
XXL-VLDL-C,0.94 [0.92-0.96],7.182e-05,***,Cholesterol in Chylomicrons and Extremely Large VLDL
HDL-PL,0.93 [0.91-0.96],0.001,**,Phospholipids in HDL
M-HDL-L,0.93 [0.91-0.95],1.088e-04,***,Total-Lipids in Medium HDL
XL-VLDL-TG,0.93 [0.91-0.95],1.018e-05,***,Triglycerides in Very Large VLDL
M-HDL-C,0.93 [0.91-0.95],3.422e-04,***,Cholesterol in Medium HDL
M-VLDL-C%,0.93 [0.91-0.95],5.927e-09,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XXL-VLDL-CE,0.93 [0.91-0.95],1.738e-06,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
M-HDL-P,0.93 [0.91-0.95],2.144e-04,***,Concentration of Medium HDL Particles
VLDL-size,0.93 [0.91-0.95],1.176e-06,***,Average Diameter for VLDL Particles
Total-TG,0.92 [0.91-0.94],1.271e-08,***,Total-Triglycerides
XL-HDL-CE%,0.92 [0.91-0.94],1.108e-13,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-VLDL-FC%,0.92 [0.91-0.94],2.069e-11,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
HDL-L,0.92 [0.90-0.94],1.335e-06,***,Total-Lipids in HDL
HDL-CE,0.92 [0.90-0.94],8.204e-06,***,Cholesteryl Esters in HDL
M-HDL-FC,0.92 [0.90-0.94],2.451e-06,***,Free Cholesterol in Medium HDL
VLDL-TG,0.92 [0.90-0.94],7.959e-10,***,Triglycerides in VLDL
Unsaturation,0.92 [0.90-0.94],9.305e-11,***,Degree of Unsaturation
L-LDL-FC%,0.92 [0.90-0.94],7.822e-13,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-P,0.92 [0.90-0.94],5.586e-10,***,Concentration of Very Large VLDL Particles
S-VLDL-C%,0.92 [0.90-0.94],7.956e-13,***,Cholesterol to Total-Lipids in Small VLDL percentage
HDL-C,0.92 [0.90-0.94],5.823e-07,***,HDL Cholesterol
XL-VLDL-L,0.92 [0.90-0.94],7.853e-11,***,Total-Lipids in Very Large VLDL
Leu,0.91 [0.89-0.93],1.623e-11,***,Leucine
XL-VLDL-PL,0.91 [0.89-0.93],4.956e-12,***,Phospholipids in Very Large VLDL
HDL-FC,0.91 [0.89-0.94],1.662e-07,***,Free Cholesterol in HDL
L-VLDL-TG,0.91 [0.89-0.93],3.098e-13,***,Triglycerides in Large VLDL
Total-BCAA,0.91 [0.89-0.93],4.282e-12,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XS-VLDL-PL,0.91 [0.89-0.93],1.391e-12,***,Phospholipids in Very Small VLDL
ApoA1,0.91 [0.89-0.93],3.356e-11,***,Apolipoprotein A1
M-VLDL-PL%,0.91 [0.89-0.93],1.038e-17,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-VLDL-PL,0.91 [0.89-0.93],4.524e-14,***,Phospholipids in Large VLDL
XL-VLDL-FC,0.91 [0.89-0.93],1.572e-14,***,Free Cholesterol in Very Large VLDL
L-VLDL-P,0.91 [0.89-0.93],1.385e-14,***,Concentration of Large VLDL Particles
XS-VLDL-C%,0.90 [0.89-0.92],1.169e-22,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-3%,0.90 [0.88-0.92],2.581e-18,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-VLDL-L,0.90 [0.88-0.92],1.560e-17,***,Total-Lipids in Large VLDL
ApoB/ApoA1,0.90 [0.88-0.92],5.840e-19,***,Apolipoprotein B to Apolipoprotein A1 ratio
SFA,0.90 [0.88-0.92],3.196e-22,***,Saturated Fatty Acids
M-LDL-CE%,0.90 [0.88-0.92],8.838e-20,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XS-VLDL-CE%,0.90 [0.88-0.92],6.612e-25,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Val,0.90 [0.88-0.92],7.558e-17,***,Valine
S-VLDL-FC%,0.90 [0.88-0.91],3.899e-23,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-TG,0.90 [0.88-0.92],2.199e-19,***,Triglycerides in Medium VLDL
L-VLDL-FC,0.90 [0.88-0.92],9.644e-19,***,Free Cholesterol in Large VLDL
S-VLDL-P,0.90 [0.88-0.91],2.029e-19,***,Concentration of Small VLDL Particles
S-VLDL-PL%,0.90 [0.88-0.91],8.926e-22,***,Phospholipids to Total-Lipids in Small VLDL percentage
XS-VLDL-L,0.90 [0.88-0.91],1.592e-19,***,Total-Lipids in Very Small VLDL
S-HDL-PL,0.89 [0.87-0.91],1.844e-22,***,Phospholipids in Small HDL
M-HDL-FC%,0.89 [0.87-0.91],3.363e-23,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-P,0.89 [0.87-0.91],4.477e-21,***,Concentration of Very Small VLDL Particles
XS-VLDL-FC,0.89 [0.87-0.91],3.851e-21,***,Free Cholesterol in Very Small VLDL
VLDL-L,0.89 [0.87-0.91],3.309e-24,***,Total-Lipids in VLDL
Total-FA,0.89 [0.87-0.90],1.662e-28,***,Total-Fatty Acids
XL-VLDL-C,0.89 [0.87-0.91],1.853e-23,***,Cholesterol in Very Large VLDL
S-VLDL-L,0.89 [0.87-0.90],2.945e-25,***,Total-Lipids in Small VLDL
L-LDL-CE%,0.88 [0.87-0.90],2.288e-30,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-VLDL-C,0.88 [0.87-0.90],1.127e-24,***,Cholesterol in Large VLDL
HDL-P,0.88 [0.86-0.90],7.991e-23,***,Concentration of HDL Particles
VLDL-PL,0.88 [0.86-0.90],1.557e-27,***,Phospholipids in VLDL
Albumin,0.88 [0.86-0.90],1.498e-32,***,Albumin
VLDL-P,0.88 [0.86-0.90],9.668e-29,***,Concentration of VLDL Particles
S-HDL-L,0.88 [0.86-0.90],8.744e-31,***,Total-Lipids in Small HDL
S-LDL-CE%,0.88 [0.86-0.89],1.572e-33,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-LDL-C%,0.88 [0.86-0.89],8.746e-43,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-CE,0.87 [0.86-0.89],2.353e-29,***,Cholesteryl Esters in Large VLDL
XS-VLDL-C,0.87 [0.85-0.89],1.026e-30,***,Cholesterol in Very Small VLDL
S-HDL-FC,0.87 [0.85-0.89],2.630e-33,***,Free Cholesterol in Small HDL
IDL-C%,0.87 [0.86-0.89],9.659e-48,***,Cholesterol to Total-Lipids in IDL percentage
XL-VLDL-CE,0.87 [0.85-0.89],2.571e-31,***,Cholesteryl Esters in Very Large VLDL
S-VLDL-CE,0.87 [0.85-0.89],4.859e-32,***,Cholesteryl Esters in Small VLDL
VLDL-FC,0.87 [0.85-0.89],2.048e-34,***,Free Cholesterol in VLDL
SM,0.87 [0.85-0.89],1.744e-33,***,Sphingomyelins
Phosphoglyc,0.87 [0.85-0.89],1.988e-36,***,Phosphoglycerides
DHA,0.87 [0.85-0.89],4.140e-33,***,Docosahexaenoic Acid
XS-VLDL-CE,0.87 [0.85-0.89],8.472e-34,***,Cholesteryl Esters in Very Small VLDL
S-HDL-CE,0.87 [0.85-0.88],1.953e-37,***,Cholesteryl Esters in Small HDL
S-HDL-C,0.86 [0.85-0.88],1.226e-39,***,Cholesterol in Small HDL
