Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Glu-lactate,1.59 [1.51-1.67],3.900e-76,***,Glucose-lactate
Glu,1.54 [1.46-1.62],2.220e-52,***,Glucose
M-VLDL-TG%,1.48 [1.39-1.57],1.113e-30,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-VLDL-TG%,1.48 [1.36-1.60],8.586e-16,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-VLDL-TG%,1.47 [1.38-1.56],2.777e-29,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-TG%,1.47 [1.39-1.54],1.654e-43,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.46 [1.39-1.55],7.664e-36,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.43 [1.36-1.51],2.536e-39,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.41 [1.34-1.48],2.439e-35,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.39 [1.32-1.47],1.039e-26,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.34 [1.28-1.41],1.144e-26,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.32 [1.25-1.39],3.610e-20,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.29 [1.22-1.36],4.547e-15,***,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-PL%,1.28 [1.21-1.35],1.105e-13,***,Phospholipids to Total-Lipids in IDL percentage
Sc-ala,1.26 [1.19-1.33],3.105e-11,***,Spectrometer-corrected alanine
L-VLDL-TG%,1.24 [1.16-1.32],2.873e-05,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-TG%,1.22 [1.15-1.30],2.579e-05,***,Triglycerides to Total-Lipids in Small HDL percentage
S-LDL-PL%,1.21 [1.15-1.29],6.090e-06,***,Phospholipids to Total-Lipids in Small LDL percentage
Ala,1.20 [1.13-1.26],2.087e-05,***,Alanine
XL-HDL-FC%,1.19 [1.12-1.26],0.002,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,1.19 [1.12-1.26],7.556e-04,***,Triglycerides to Phosphoglycerides ratio
