Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.29 [1.27-1.31],9.762e-212,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.28 [1.26-1.30],1.164e-219,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.24 [1.23-1.26],8.011e-177,***,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-TG%,1.23 [1.21-1.26],5.388e-121,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.23 [1.21-1.25],7.954e-154,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.22 [1.20-1.24],5.675e-128,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.22 [1.19-1.24],4.035e-106,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,1.21 [1.18-1.23],1.666e-64,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG%,1.20 [1.18-1.22],2.207e-86,***,Triglycerides to Total-Lipids in Small HDL percentage
MUFA%,1.19 [1.17-1.21],3.325e-95,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.19 [1.17-1.21],1.614e-95,***,Glycoprotein Acetyls
S-LDL-TG%,1.19 [1.17-1.21],2.834e-101,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG,1.18 [1.17-1.20],3.109e-102,***,Triglycerides in Very Small VLDL
XL-HDL-TG%,1.18 [1.16-1.20],1.027e-86,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG,1.18 [1.16-1.20],4.699e-87,***,Triglycerides in Small HDL
S-VLDL-TG,1.17 [1.16-1.19],5.735e-86,***,Triglycerides in Small VLDL
L-LDL-TG,1.17 [1.16-1.19],5.570e-94,***,Triglycerides in Large LDL
M-LDL-TG,1.17 [1.16-1.19],2.505e-98,***,Triglycerides in Medium LDL
LDL-TG,1.17 [1.15-1.19],7.283e-94,***,Triglycerides in LDL
IDL-TG,1.17 [1.15-1.19],5.254e-85,***,Triglycerides in IDL
TG/PG,1.16 [1.14-1.18],2.046e-66,***,Triglycerides to Phosphoglycerides ratio
L-HDL-PL%,1.16 [1.14-1.18],2.897e-79,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.15 [1.13-1.17],1.131e-52,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-HDL-TG%,1.15 [1.13-1.17],2.977e-59,***,Triglycerides to Total-Lipids in Large HDL percentage
XXL-VLDL-PL%,1.15 [1.13-1.17],1.384e-39,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-TG,1.15 [1.13-1.16],3.200e-72,***,Triglycerides in Small LDL
Total-TG,1.14 [1.12-1.16],5.825e-52,***,Total-Triglycerides
L-VLDL-PL%,1.14 [1.11-1.16],1.615e-24,***,Phospholipids to Total-Lipids in Large VLDL percentage
IDL-PL%,1.13 [1.12-1.15],1.944e-49,***,Phospholipids to Total-Lipids in IDL percentage
MUFA,1.13 [1.11-1.15],3.051e-51,***,Monounsaturated Fatty Acids
L-VLDL-PL,1.13 [1.11-1.15],1.445e-45,***,Phospholipids in Large VLDL
XL-VLDL-TG,1.13 [1.11-1.15],1.202e-49,***,Triglycerides in Very Large VLDL
VLDL-TG,1.13 [1.11-1.15],1.500e-44,***,Triglycerides in VLDL
M-VLDL-TG,1.13 [1.11-1.15],4.961e-46,***,Triglycerides in Medium VLDL
Omega-3,1.13 [1.11-1.15],2.006e-45,***,Omega-3 Fatty Acids
XL-VLDL-P,1.13 [1.11-1.14],8.268e-46,***,Concentration of Very Large VLDL Particles
L-VLDL-P,1.13 [1.11-1.14],1.646e-44,***,Concentration of Large VLDL Particles
M-HDL-PL%,1.12 [1.11-1.14],3.765e-42,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-TG,1.12 [1.11-1.14],2.405e-43,***,Triglycerides in Large VLDL
S-VLDL-P,1.12 [1.10-1.14],2.183e-40,***,Concentration of Small VLDL Particles
L-VLDL-FC,1.12 [1.10-1.14],4.813e-39,***,Free Cholesterol in Large VLDL
HDL-TG,1.12 [1.10-1.14],3.623e-41,***,Triglycerides in HDL
XL-VLDL-L,1.12 [1.10-1.14],9.276e-39,***,Total-Lipids in Very Large VLDL
L-VLDL-L,1.12 [1.10-1.14],4.050e-37,***,Total-Lipids in Large VLDL
XL-VLDL-PL,1.11 [1.09-1.13],2.885e-33,***,Phospholipids in Very Large VLDL
M-HDL-TG,1.11 [1.09-1.13],3.582e-32,***,Triglycerides in Medium HDL
VLDL-size,1.11 [1.09-1.12],2.714e-25,***,Average Diameter for VLDL Particles
XL-VLDL-FC,1.10 [1.09-1.12],3.565e-29,***,Free Cholesterol in Very Large VLDL
Omega-3%,1.10 [1.09-1.12],9.852e-29,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-VLDL-L,1.10 [1.08-1.12],8.466e-27,***,Total-Lipids in Small VLDL
XXL-VLDL-P,1.10 [1.08-1.11],1.735e-29,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-HDL-TG,1.10 [1.08-1.11],7.361e-28,***,Triglycerides in Very Large HDL
L-VLDL-C,1.10 [1.08-1.12],1.700e-23,***,Cholesterol in Large VLDL
XXL-VLDL-PL,1.10 [1.08-1.11],4.077e-28,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,1.09 [1.08-1.11],2.932e-24,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,1.09 [1.07-1.11],1.017e-21,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,1.09 [1.07-1.10],6.088e-21,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-C,1.09 [1.07-1.10],6.414e-18,***,Cholesterol in Very Large VLDL
XXL-VLDL-CE,1.09 [1.07-1.10],1.529e-19,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Total-FA,1.08 [1.07-1.10],2.359e-19,***,Total-Fatty Acids
VLDL-L,1.08 [1.07-1.10],1.188e-16,***,Total-Lipids in VLDL
