Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.35 [1.30-1.41],3.310e-39,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.35 [1.29-1.41],2.464e-37,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.34 [1.28-1.39],7.073e-36,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.32 [1.26-1.38],1.192e-26,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL%,1.31 [1.25-1.37],1.079e-25,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.29 [1.23-1.36],6.114e-19,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.29 [1.23-1.35],4.720e-18,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-PL%,1.27 [1.21-1.32],3.840e-22,***,Phospholipids to Total-Lipids in Large HDL percentage
MUFA%,1.24 [1.18-1.29],1.892e-13,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.23 [1.18-1.29],1.125e-15,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-TG%,1.23 [1.16-1.30],5.583e-06,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
IDL-PL%,1.22 [1.17-1.28],5.828e-13,***,Phospholipids to Total-Lipids in IDL percentage
S-HDL-PL%,1.18 [1.13-1.24],5.566e-07,***,Phospholipids to Total-Lipids in Small HDL percentage
M-HDL-PL%,1.18 [1.13-1.24],4.204e-08,***,Phospholipids to Total-Lipids in Medium HDL percentage
XXL-VLDL-PL%,1.16 [1.10-1.23],0.022,*,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-PL%,1.14 [1.09-1.20],0.010,*,Phospholipids to Total-Lipids in Small LDL percentage
M-HDL-C%,0.88 [0.84-0.92],0.003,**,Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-L,0.88 [0.84-0.92],0.039,*,Total-Lipids in Small VLDL
M-LDL-CE%,0.88 [0.84-0.92],0.008,**,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XL-HDL-CE%,0.87 [0.84-0.91],6.924e-06,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-VLDL-C%,0.87 [0.83-0.92],0.012,*,Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-FC%,0.87 [0.84-0.91],5.619e-06,***,Free Cholesterol to Total-Lipids in Small LDL percentage
VLDL-PL,0.87 [0.83-0.91],0.005,**,Phospholipids in VLDL
L-HDL-FC%,0.87 [0.84-0.91],3.631e-07,***,Free Cholesterol to Total-Lipids in Large HDL percentage
Phosphoglyc,0.87 [0.83-0.91],0.002,**,Phosphoglycerides
S-LDL-CE%,0.87 [0.83-0.91],5.783e-04,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-CE%,0.87 [0.83-0.91],5.249e-05,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-LDL-FC%,0.87 [0.83-0.90],3.204e-06,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-VLDL-PL%,0.86 [0.83-0.91],5.376e-04,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
Omega-6%,0.86 [0.83-0.90],3.065e-06,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-HDL-FC%,0.86 [0.82-0.91],0.004,**,Free Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-CE%,0.86 [0.83-0.90],5.034e-09,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Total-P,0.86 [0.82-0.91],0.002,**,Total-Concentration of Lipoprotein Particles
L-LDL-CE%,0.86 [0.82-0.90],3.746e-06,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XS-VLDL-L,0.86 [0.82-0.90],3.224e-04,***,Total-Lipids in Very Small VLDL
PUFA%,0.86 [0.82-0.89],6.437e-08,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-CE%,0.86 [0.82-0.90],5.519e-05,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
VLDL-P,0.85 [0.81-0.90],5.671e-05,***,Concentration of VLDL Particles
XL-VLDL-CE,0.85 [0.81-0.89],3.527e-05,***,Cholesteryl Esters in Very Large VLDL
XL-HDL-FC,0.85 [0.80-0.90],0.044,*,Free Cholesterol in Very Large HDL
L-VLDL-CE,0.85 [0.81-0.89],2.526e-05,***,Cholesteryl Esters in Large VLDL
PC,0.85 [0.81-0.89],6.684e-06,***,Phosphatidylcholines
L-HDL-C%,0.85 [0.81-0.88],8.025e-12,***,Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-C%,0.84 [0.81-0.88],4.208e-09,***,Cholesterol to Total-Lipids in Small HDL percentage
IDL-FC%,0.84 [0.81-0.88],6.223e-11,***,Free Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-P,0.84 [0.80-0.89],5.963e-06,***,Concentration of Very Small VLDL Particles
Cholines,0.84 [0.80-0.88],2.614e-07,***,Total-Cholines
VLDL-FC,0.84 [0.80-0.88],3.180e-07,***,Free Cholesterol in VLDL
M-HDL-FC%,0.84 [0.80-0.88],2.165e-08,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Unsaturation,0.84 [0.80-0.88],1.048e-08,***,Degree of Unsaturation
XL-VLDL-CE%,0.84 [0.80-0.88],2.708e-06,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XS-VLDL-FC%,0.84 [0.81-0.87],1.060e-14,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-CE%,0.84 [0.80-0.87],2.495e-10,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-VLDL-FC%,0.84 [0.79-0.88],1.234e-05,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-P,0.83 [0.78-0.89],0.043,*,Concentration of Very Large HDL Particles
