Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG,1.08 [0.97-1.20],1.000,,Triglycerides in Very Small VLDL
TG/PG,1.08 [0.96-1.21],1.000,,Triglycerides to Phosphoglycerides ratio
M-LDL-PL%,1.03 [0.92-1.16],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-CE,1.01 [0.90-1.13],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,1.00 [0.90-1.12],1.000,,Cholesterol in Chylomicrons and Extremely Large VLDL
VLDL-C,0.97 [0.87-1.09],1.000,,VLDL Cholesterol
M-LDL-FC%,0.93 [0.83-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.92 [0.83-1.03],1.000,,Cholesteryl Esters in LDL
Total-C,0.90 [0.81-1.00],1.000,,Total-Cholesterol
HDL-CE,0.87 [0.76-1.00],1.000,,Cholesteryl Esters in HDL
