Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.04 [0.97-1.12],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Val,1.02 [0.95-1.11],1.000,,Valine
Total-BCAA,1.02 [0.95-1.10],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,1.02 [0.95-1.10],1.000,,Leucine
Ile,1.02 [0.94-1.09],1.000,,Isoleucine
Glu,1.00 [0.93-1.07],1.000,,Glucose
Lactate,1.00 [0.92-1.08],1.000,,Lactate
Total-FC,0.99 [0.92-1.07],1.000,,Total-Free Cholesterol
Citrate,0.98 [0.90-1.06],1.000,,Citrate
M-LDL-FC%,0.94 [0.88-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
