Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Glu-lactate,1.17 [1.13-1.20],4.513e-17,***,Glucose-lactate
Glu,1.15 [1.12-1.19],2.065e-12,***,Glucose
XS-VLDL-TG%,1.15 [1.11-1.19],1.586e-10,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.14 [1.10-1.19],2.143e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.14 [1.10-1.18],1.020e-07,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-TG%,1.13 [1.10-1.17],2.782e-09,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.12 [1.09-1.16],1.629e-07,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.12 [1.08-1.16],8.395e-07,***,Triglycerides to Total-Lipids in Medium LDL percentage
Sc-ala,1.12 [1.08-1.15],2.340e-05,***,Spectrometer-corrected alanine
L-VLDL-TG%,1.11 [1.07-1.15],0.016,*,Triglycerides to Total-Lipids in Large VLDL percentage
L-HDL-PL%,1.10 [1.06-1.13],0.002,**,Phospholipids to Total-Lipids in Large HDL percentage
Ala,1.09 [1.06-1.13],0.030,*,Alanine
Total-FA,0.92 [0.89-0.95],0.030,*,Total-Fatty Acids
L-HDL-FC%,0.92 [0.89-0.94],1.539e-04,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.91 [0.89-0.94],1.292e-04,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
VLDL-L,0.91 [0.88-0.94],0.013,*,Total-Lipids in VLDL
S-VLDL-P,0.91 [0.88-0.94],0.018,*,Concentration of Small VLDL Particles
L-VLDL-C%,0.91 [0.88-0.94],0.013,*,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,0.91 [0.88-0.94],0.010,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-C,0.91 [0.88-0.94],0.015,*,Cholesterol in Large VLDL
L-LDL-FC%,0.91 [0.88-0.93],1.440e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-C,0.91 [0.87-0.94],0.008,**,Cholesterol in Very Large VLDL
Phosphoglyc,0.90 [0.87-0.93],2.653e-04,***,Phosphoglycerides
S-LDL-CE%,0.90 [0.87-0.93],8.313e-05,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-VLDL-L,0.90 [0.87-0.93],3.292e-04,***,Total-Lipids in Small VLDL
M-VLDL-CE%,0.90 [0.87-0.92],4.402e-09,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-CE%,0.90 [0.87-0.92],5.583e-07,***,Cholesteryl Esters to Total-Lipids in IDL percentage
VLDL-PL,0.89 [0.86-0.93],3.702e-05,***,Phospholipids in VLDL
L-LDL-C%,0.89 [0.87-0.92],1.754e-07,***,Cholesterol to Total-Lipids in Large LDL percentage
PC,0.89 [0.86-0.92],3.542e-05,***,Phosphatidylcholines
IDL-C%,0.89 [0.87-0.92],5.410e-09,***,Cholesterol to Total-Lipids in IDL percentage
XL-VLDL-PL%,0.89 [0.86-0.92],5.415e-06,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE,0.89 [0.86-0.92],1.897e-05,***,Cholesteryl Esters in Large VLDL
