Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-TG%,1.29 [1.08-1.54],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.28 [1.08-1.52],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.21 [1.04-1.41],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-CE%,1.08 [0.92-1.26],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-PL%,1.04 [0.88-1.23],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-PL%,0.96 [0.81-1.12],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.84 [0.73-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.82 [0.71-0.94],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.82 [0.73-0.92],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.81 [0.71-0.92],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
