Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,1.08 [1.04-1.12],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,1.07 [1.03-1.11],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,1.02 [0.98-1.05],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,1.01 [0.97-1.05],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Leu,1.01 [0.97-1.04],1.000,,Leucine
HDL-C,0.98 [0.94-1.02],1.000,,HDL Cholesterol
LDL-C,0.97 [0.94-1.01],1.000,,LDL Cholesterol
Omega-3%,0.91 [0.88-0.95],0.723,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.90 [0.87-0.94],0.013,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,0.90 [0.87-0.94],0.058,,Docosahexaenoic Acid
