Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.22 [1.17-1.28],3.823e-16,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.20 [1.15-1.25],7.432e-12,***,Phospholipids to Total-Lipids in IDL percentage
M-LDL-TG%,1.18 [1.14-1.23],1.850e-11,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,1.18 [1.14-1.23],2.499e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.18 [1.14-1.23],9.160e-11,***,Triglycerides to Total-Lipids in IDL percentage
Gly,1.18 [1.11-1.25],0.007,**,Glycine
S-HDL-TG%,1.16 [1.11-1.21],1.525e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
Creatinine,1.15 [1.11-1.20],1.193e-05,***,Creatinine
M-HDL-PL%,1.13 [1.09-1.18],0.002,**,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.13 [1.08-1.17],0.004,**,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,1.12 [1.08-1.17],0.015,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-C,0.89 [0.86-0.93],0.044,*,Cholesterol in Small LDL
Total-L,0.89 [0.86-0.93],0.007,**,Total-Lipids in Lipoprotein Particles
Non-HDL-C,0.89 [0.85-0.93],0.003,**,Total-Cholesterol Minus HDL-C
L-LDL-FC%,0.89 [0.86-0.92],9.739e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-PL,0.89 [0.85-0.93],0.012,*,Phospholipids in Medium LDL
S-VLDL-FC%,0.89 [0.85-0.92],0.002,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-L,0.89 [0.85-0.92],0.005,**,Total-Lipids in Medium LDL
M-HDL-C%,0.89 [0.85-0.92],0.003,**,Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-CE,0.89 [0.85-0.92],0.004,**,Cholesteryl Esters in Medium LDL
LDL-L,0.88 [0.85-0.92],7.909e-04,***,Total-Lipids in LDL
S-VLDL-PL%,0.88 [0.85-0.92],0.002,**,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-FC,0.88 [0.85-0.92],0.003,**,Free Cholesterol in Small LDL
XL-HDL-CE%,0.88 [0.85-0.92],4.560e-06,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-L,0.88 [0.85-0.92],0.001,**,Total-Lipids in IDL
LDL-CE,0.88 [0.85-0.92],4.807e-04,***,Cholesteryl Esters in LDL
Total-FC,0.88 [0.85-0.92],5.629e-04,***,Total-Free Cholesterol
L-LDL-L,0.88 [0.84-0.92],2.303e-04,***,Total-Lipids in Large LDL
XS-VLDL-C%,0.88 [0.85-0.91],1.001e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
LDL-PL,0.88 [0.84-0.92],4.597e-04,***,Phospholipids in LDL
M-LDL-C,0.88 [0.84-0.92],4.098e-04,***,Cholesterol in Medium LDL
L-LDL-CE,0.88 [0.84-0.92],2.516e-04,***,Cholesteryl Esters in Large LDL
LDL-C,0.88 [0.84-0.91],8.598e-05,***,LDL Cholesterol
IDL-FC,0.88 [0.84-0.92],6.801e-04,***,Free Cholesterol in IDL
XS-VLDL-CE%,0.88 [0.84-0.91],1.686e-06,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.87 [0.84-0.91],1.901e-04,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Phosphoglyc,0.87 [0.84-0.91],2.306e-04,***,Phosphoglycerides
L-LDL-C,0.87 [0.84-0.91],5.084e-05,***,Cholesterol in Large LDL
Clinical LDL-C,0.87 [0.84-0.91],9.577e-06,***,Clinical LDL Cholesterol
Total-PL,0.87 [0.84-0.91],5.534e-05,***,Total-Phospholipids in Lipoprotein Particles
L-LDL-PL,0.87 [0.83-0.91],1.605e-05,***,Phospholipids in Large LDL
M-LDL-FC,0.87 [0.83-0.91],1.661e-05,***,Free Cholesterol in Medium LDL
Cholines,0.87 [0.83-0.91],2.400e-05,***,Total-Cholines
LDL-FC,0.87 [0.83-0.90],6.617e-06,***,Free Cholesterol in LDL
PC,0.87 [0.83-0.91],3.515e-05,***,Phosphatidylcholines
IDL-C,0.87 [0.83-0.90],6.268e-06,***,Cholesterol in IDL
Total-C,0.87 [0.83-0.90],7.604e-07,***,Total-Cholesterol
HDL-PL,0.87 [0.83-0.91],0.001,**,Phospholipids in HDL
SM,0.87 [0.83-0.90],5.204e-05,***,Sphingomyelins
L-LDL-C%,0.87 [0.83-0.90],2.117e-08,***,Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-FC,0.86 [0.83-0.90],4.281e-06,***,Free Cholesterol in Large LDL
IDL-CE,0.86 [0.83-0.90],2.361e-06,***,Cholesteryl Esters in IDL
M-HDL-PL,0.86 [0.82-0.90],9.470e-05,***,Phospholipids in Medium HDL
HDL-FC,0.86 [0.82-0.91],0.011,*,Free Cholesterol in HDL
Total-CE,0.86 [0.83-0.90],7.296e-08,***,Total-Esterified Cholesterol
HDL-L,0.86 [0.82-0.90],1.125e-04,***,Total-Lipids in HDL
S-HDL-FC,0.85 [0.82-0.89],2.790e-07,***,Free Cholesterol in Small HDL
M-HDL-L,0.85 [0.81-0.89],3.777e-06,***,Total-Lipids in Medium HDL
IDL-C%,0.85 [0.82-0.88],3.894e-14,***,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.84 [0.81-0.87],3.466e-14,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.84 [0.81-0.88],6.972e-13,***,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-PL,0.84 [0.81-0.88],1.115e-09,***,Phospholipids in Small HDL
ApoA1,0.84 [0.80-0.88],2.417e-07,***,Apolipoprotein A1
M-HDL-FC,0.84 [0.80-0.88],3.780e-06,***,Free Cholesterol in Medium HDL
M-HDL-P,0.84 [0.80-0.88],9.497e-07,***,Concentration of Medium HDL Particles
IDL-CE%,0.84 [0.81-0.87],2.176e-15,***,Cholesteryl Esters to Total-Lipids in IDL percentage
HDL-C,0.84 [0.79-0.88],1.335e-06,***,HDL Cholesterol
S-HDL-L,0.83 [0.80-0.87],1.682e-11,***,Total-Lipids in Small HDL
M-HDL-C,0.83 [0.79-0.87],2.215e-08,***,Cholesterol in Medium HDL
