Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.29 [1.26-1.33],8.510e-79,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.29 [1.26-1.32],1.698e-84,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.27 [1.24-1.31],4.786e-68,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.25 [1.22-1.29],3.611e-69,***,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-TG%,1.24 [1.21-1.28],1.983e-46,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.23 [1.20-1.26],1.284e-55,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-VLDL-TG%,1.22 [1.19-1.25],2.008e-38,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-PL%,1.20 [1.17-1.23],4.476e-39,***,Phospholipids to Total-Lipids in IDL percentage
M-HDL-PL%,1.19 [1.16-1.22],1.595e-36,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.19 [1.16-1.22],1.605e-27,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-PL%,1.19 [1.16-1.22],3.340e-39,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-TG%,1.18 [1.15-1.23],2.966e-17,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC%,1.18 [1.15-1.21],1.697e-25,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
MUFA%,1.17 [1.14-1.20],7.129e-26,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.16 [1.13-1.19],1.902e-25,***,Triglycerides to Total-Lipids in Small LDL percentage
TG/PG,1.16 [1.13-1.19],1.858e-20,***,Triglycerides to Phosphoglycerides ratio
S-LDL-PL%,1.15 [1.12-1.18],3.591e-19,***,Phospholipids to Total-Lipids in Small LDL percentage
L-HDL-TG%,1.15 [1.12-1.18],3.452e-20,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.14 [1.11-1.17],1.058e-14,***,Triglycerides to Total-Lipids in Medium HDL percentage
XXL-VLDL-PL%,1.13 [1.10-1.17],2.410e-09,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-TG%,1.13 [1.10-1.16],1.341e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
GlycA,1.12 [1.09-1.15],8.270e-12,***,Glycoprotein Acetyls
L-VLDL-PL%,1.12 [1.08-1.16],9.845e-05,***,Phospholipids to Total-Lipids in Large VLDL percentage
Creatinine,1.09 [1.06-1.12],1.649e-04,***,Creatinine
Sc-ala,1.08 [1.06-1.11],4.001e-04,***,Spectrometer-corrected alanine
S-HDL-TG,1.08 [1.05-1.11],0.001,**,Triglycerides in Small HDL
