Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-PL%,1.15 [1.10-1.20],1.589e-04,***,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-TG%,1.15 [1.10-1.19],3.659e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.14 [1.09-1.19],1.585e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.13 [1.08-1.17],0.006,**,Triglycerides to Total-Lipids in IDL percentage
IDL-PL%,1.12 [1.08-1.17],0.019,*,Phospholipids to Total-Lipids in IDL percentage
IDL-C%,0.89 [0.85-0.92],1.154e-04,***,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.89 [0.85-0.92],1.246e-04,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-L,0.89 [0.85-0.93],0.043,*,Total-Lipids in Large VLDL
Omega-3,0.88 [0.84-0.93],0.040,*,Omega-3 Fatty Acids
DHA,0.88 [0.84-0.92],0.035,*,Docosahexaenoic Acid
Total-FA,0.88 [0.84-0.92],5.723e-04,***,Total-Fatty Acids
M-VLDL-TG,0.88 [0.84-0.92],0.007,**,Triglycerides in Medium VLDL
L-VLDL-FC,0.88 [0.84-0.92],0.016,*,Free Cholesterol in Large VLDL
XS-VLDL-L,0.88 [0.84-0.92],0.003,**,Total-Lipids in Very Small VLDL
S-HDL-L,0.87 [0.84-0.91],6.253e-04,***,Total-Lipids in Small HDL
ApoB/ApoA1,0.87 [0.84-0.91],5.487e-04,***,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-CE%,0.87 [0.84-0.91],1.727e-06,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-P,0.87 [0.83-0.91],0.001,**,Concentration of Very Small VLDL Particles
Phosphoglyc,0.87 [0.83-0.91],1.315e-04,***,Phosphoglycerides
VLDL-L,0.87 [0.83-0.91],1.271e-04,***,Total-Lipids in VLDL
XS-VLDL-FC,0.87 [0.83-0.91],0.001,**,Free Cholesterol in Very Small VLDL
L-LDL-CE%,0.87 [0.83-0.90],2.443e-06,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XL-VLDL-C,0.87 [0.83-0.91],4.052e-04,***,Cholesterol in Very Large VLDL
Total-P,0.87 [0.83-0.91],6.895e-04,***,Total-Concentration of Lipoprotein Particles
S-LDL-CE%,0.87 [0.83-0.90],4.766e-06,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-FC,0.86 [0.83-0.90],4.907e-05,***,Free Cholesterol in Small HDL
SM,0.86 [0.83-0.90],9.469e-05,***,Sphingomyelins
PC,0.86 [0.83-0.90],3.594e-05,***,Phosphatidylcholines
S-VLDL-P,0.86 [0.82-0.90],1.106e-04,***,Concentration of Small VLDL Particles
L-VLDL-C,0.86 [0.82-0.90],8.665e-05,***,Cholesterol in Large VLDL
VLDL-PL,0.86 [0.82-0.90],1.412e-05,***,Phospholipids in VLDL
XS-VLDL-C,0.86 [0.82-0.90],3.817e-05,***,Cholesterol in Very Small VLDL
Cholines,0.86 [0.82-0.90],4.117e-06,***,Total-Cholines
S-HDL-CE,0.86 [0.82-0.90],5.813e-06,***,Cholesteryl Esters in Small HDL
XS-VLDL-CE,0.86 [0.82-0.90],2.041e-05,***,Cholesteryl Esters in Very Small VLDL
L-LDL-C%,0.86 [0.82-0.89],2.065e-09,***,Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-C,0.86 [0.82-0.90],1.711e-06,***,Cholesterol in Small HDL
VLDL-P,0.85 [0.82-0.89],3.607e-06,***,Concentration of VLDL Particles
S-VLDL-L,0.85 [0.81-0.89],1.531e-06,***,Total-Lipids in Small VLDL
S-LDL-C%,0.85 [0.82-0.89],2.093e-10,***,Cholesterol to Total-Lipids in Small LDL percentage
Total-PL,0.85 [0.81-0.89],2.681e-08,***,Total-Phospholipids in Lipoprotein Particles
S-HDL-P,0.85 [0.81-0.89],3.017e-07,***,Concentration of Small HDL Particles
VLDL-FC,0.85 [0.81-0.89],2.359e-07,***,Free Cholesterol in VLDL
L-VLDL-CE,0.85 [0.81-0.89],1.255e-06,***,Cholesteryl Esters in Large VLDL
XL-VLDL-CE,0.84 [0.81-0.88],2.935e-07,***,Cholesteryl Esters in Very Large VLDL
Total-L,0.84 [0.81-0.88],1.206e-11,***,Total-Lipids in Lipoprotein Particles
IDL-FC,0.84 [0.80-0.88],2.641e-09,***,Free Cholesterol in IDL
VLDL-C,0.84 [0.80-0.88],8.342e-10,***,VLDL Cholesterol
LA,0.84 [0.80-0.87],2.552e-11,***,Linoleic Acid
M-VLDL-L,0.84 [0.80-0.87],4.600e-10,***,Total-Lipids in Medium VLDL
Omega-6,0.84 [0.80-0.87],5.120e-11,***,Omega-6 Fatty Acids
IDL-PL,0.84 [0.80-0.87],1.651e-09,***,Phospholipids in IDL
IDL-L,0.84 [0.80-0.87],4.207e-11,***,Total-Lipids in IDL
S-VLDL-CE,0.84 [0.80-0.88],1.233e-08,***,Cholesteryl Esters in Small VLDL
M-LDL-P,0.83 [0.80-0.87],7.892e-10,***,Concentration of Medium LDL Particles
VLDL-CE,0.83 [0.80-0.87],2.106e-10,***,Cholesteryl Esters in VLDL
IDL-C,0.83 [0.80-0.87],1.636e-11,***,Cholesterol in IDL
S-LDL-PL,0.83 [0.80-0.87],9.943e-11,***,Phospholipids in Small LDL
IDL-P,0.83 [0.80-0.87],7.290e-10,***,Concentration of IDL Particles
S-VLDL-PL,0.83 [0.79-0.87],7.303e-10,***,Phospholipids in Small VLDL
S-LDL-P,0.83 [0.79-0.87],2.413e-10,***,Concentration of Small LDL Particles
Remnant-C,0.83 [0.80-0.87],6.205e-13,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
PUFA,0.83 [0.80-0.87],5.735e-12,***,Polyunsaturated Fatty Acids
S-VLDL-C,0.83 [0.79-0.87],5.216e-10,***,Cholesterol in Small VLDL
IDL-CE,0.83 [0.79-0.87],7.430e-12,***,Cholesteryl Esters in IDL
Total-C,0.83 [0.80-0.86],4.310e-14,***,Total-Cholesterol
Total-CE,0.83 [0.79-0.86],6.394e-14,***,Total-Esterified Cholesterol
M-VLDL-P,0.83 [0.79-0.87],1.379e-10,***,Concentration of Medium VLDL Particles
M-VLDL-PL,0.83 [0.79-0.87],3.536e-11,***,Phospholipids in Medium VLDL
M-VLDL-CE,0.83 [0.79-0.86],2.015e-11,***,Cholesteryl Esters in Medium VLDL
Total-FC,0.83 [0.79-0.86],1.443e-13,***,Total-Free Cholesterol
ApoB,0.83 [0.79-0.86],5.951e-13,***,Apolipoprotein B
S-LDL-FC,0.83 [0.79-0.86],3.042e-12,***,Free Cholesterol in Small LDL
Non-HDL-C,0.82 [0.79-0.86],2.951e-15,***,Total-Cholesterol Minus HDL-C
Clinical LDL-C,0.82 [0.79-0.86],1.042e-15,***,Clinical LDL Cholesterol
S-VLDL-FC,0.82 [0.79-0.86],1.302e-11,***,Free Cholesterol in Small VLDL
M-VLDL-FC,0.82 [0.79-0.86],8.701e-12,***,Free Cholesterol in Medium VLDL
S-LDL-L,0.82 [0.79-0.86],4.240e-13,***,Total-Lipids in Small LDL
M-VLDL-C,0.82 [0.79-0.86],1.280e-12,***,Cholesterol in Medium VLDL
LDL-L,0.82 [0.79-0.86],1.440e-15,***,Total-Lipids in LDL
LDL-P,0.82 [0.78-0.86],2.003e-12,***,Concentration of LDL Particles
L-LDL-L,0.82 [0.79-0.85],3.029e-15,***,Total-Lipids in Large LDL
M-LDL-CE,0.82 [0.78-0.86],8.325e-14,***,Cholesteryl Esters in Medium LDL
LDL-C,0.82 [0.79-0.85],5.576e-16,***,LDL Cholesterol
S-LDL-CE,0.82 [0.78-0.86],1.478e-13,***,Cholesteryl Esters in Small LDL
L-LDL-P,0.82 [0.78-0.86],1.126e-12,***,Concentration of Large LDL Particles
LDL-FC,0.82 [0.78-0.85],1.273e-14,***,Free Cholesterol in LDL
LDL-CE,0.82 [0.78-0.85],8.570e-16,***,Cholesteryl Esters in LDL
M-LDL-L,0.82 [0.78-0.85],8.607e-15,***,Total-Lipids in Medium LDL
L-LDL-C,0.82 [0.78-0.85],1.377e-15,***,Cholesterol in Large LDL
L-LDL-FC,0.82 [0.78-0.85],3.935e-14,***,Free Cholesterol in Large LDL
S-LDL-C,0.82 [0.78-0.85],3.186e-14,***,Cholesterol in Small LDL
M-LDL-C,0.82 [0.78-0.85],6.673e-15,***,Cholesterol in Medium LDL
LDL-PL,0.82 [0.78-0.85],3.879e-15,***,Phospholipids in LDL
L-LDL-PL,0.82 [0.78-0.85],1.036e-14,***,Phospholipids in Large LDL
L-LDL-CE,0.82 [0.78-0.85],1.531e-15,***,Cholesteryl Esters in Large LDL
M-LDL-FC,0.81 [0.78-0.85],5.034e-15,***,Free Cholesterol in Medium LDL
M-LDL-PL,0.81 [0.78-0.85],4.540e-15,***,Phospholipids in Medium LDL
