Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-PL%,1.13 [1.10-1.17],4.121e-12,***,Phospholipids to Total-Lipids in Small LDL percentage
IDL-PL%,1.12 [1.09-1.15],2.476e-10,***,Phospholipids to Total-Lipids in IDL percentage
M-LDL-TG%,1.12 [1.09-1.15],4.688e-10,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,1.12 [1.09-1.15],4.920e-10,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.11 [1.08-1.14],3.142e-08,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.11 [1.07-1.14],8.609e-07,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.09 [1.06-1.12],0.010,*,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,1.08 [1.05-1.11],0.015,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-C%,0.93 [0.90-0.95],0.016,*,Cholesterol to Total-Lipids in Small VLDL percentage
XL-VLDL-TG,0.92 [0.90-0.95],0.045,*,Triglycerides in Very Large VLDL
XL-VLDL-PL%,0.92 [0.90-0.95],0.041,*,Phospholipids to Total-Lipids in Very Large VLDL percentage
VLDL-size,0.92 [0.90-0.95],0.037,*,Average Diameter for VLDL Particles
XS-VLDL-C%,0.92 [0.90-0.94],1.276e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-TG,0.92 [0.89-0.95],0.005,**,Total-Triglycerides
XS-VLDL-CE%,0.92 [0.90-0.94],4.276e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-PL%,0.92 [0.89-0.94],6.909e-05,***,Phospholipids to Total-Lipids in Medium VLDL percentage
HDL-P,0.92 [0.89-0.95],0.027,*,Concentration of HDL Particles
XXL-VLDL-CE,0.92 [0.89-0.94],0.004,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
VLDL-TG,0.92 [0.89-0.94],0.001,**,Triglycerides in VLDL
S-VLDL-FC%,0.92 [0.89-0.94],4.705e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.91 [0.89-0.94],2.307e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-HDL-PL,0.91 [0.89-0.94],4.586e-04,***,Phospholipids in Small HDL
XS-VLDL-PL,0.91 [0.89-0.94],8.493e-04,***,Phospholipids in Very Small VLDL
L-LDL-CE%,0.91 [0.89-0.94],1.099e-05,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XL-VLDL-P,0.91 [0.88-0.94],2.743e-04,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,0.91 [0.88-0.94],1.310e-04,***,Total-Lipids in Very Large VLDL
L-VLDL-TG,0.91 [0.88-0.94],7.080e-05,***,Triglycerides in Large VLDL
SFA,0.91 [0.88-0.93],6.183e-07,***,Saturated Fatty Acids
XL-VLDL-PL,0.91 [0.88-0.93],3.392e-05,***,Phospholipids in Very Large VLDL
L-VLDL-P,0.90 [0.88-0.93],3.876e-06,***,Concentration of Large VLDL Particles
S-HDL-L,0.90 [0.88-0.93],7.609e-07,***,Total-Lipids in Small HDL
XL-VLDL-FC,0.90 [0.88-0.93],3.605e-06,***,Free Cholesterol in Very Large VLDL
L-VLDL-PL,0.90 [0.87-0.93],4.412e-06,***,Phospholipids in Large VLDL
Total-FA,0.90 [0.88-0.93],2.333e-08,***,Total-Fatty Acids
XS-VLDL-L,0.90 [0.87-0.93],1.837e-06,***,Total-Lipids in Very Small VLDL
Total-P,0.90 [0.87-0.93],4.684e-06,***,Total-Concentration of Lipoprotein Particles
IDL-C%,0.90 [0.88-0.92],1.230e-11,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-TG,0.90 [0.87-0.93],2.955e-07,***,Triglycerides in Medium VLDL
S-HDL-FC,0.90 [0.87-0.92],1.549e-07,***,Free Cholesterol in Small HDL
L-VLDL-L,0.90 [0.87-0.92],3.451e-07,***,Total-Lipids in Large VLDL
XS-VLDL-FC,0.90 [0.87-0.93],8.050e-07,***,Free Cholesterol in Very Small VLDL
Phosphoglyc,0.90 [0.87-0.92],4.392e-08,***,Phosphoglycerides
S-HDL-CE,0.90 [0.87-0.92],4.234e-08,***,Cholesteryl Esters in Small HDL
XS-VLDL-P,0.90 [0.87-0.92],2.644e-07,***,Concentration of Very Small VLDL Particles
ApoB/ApoA1,0.90 [0.87-0.92],2.147e-08,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-VLDL-P,0.89 [0.87-0.92],9.472e-08,***,Concentration of Small VLDL Particles
L-LDL-C%,0.89 [0.87-0.92],7.740e-12,***,Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-C,0.89 [0.87-0.92],7.049e-09,***,Cholesterol in Small HDL
L-VLDL-FC,0.89 [0.87-0.92],5.669e-08,***,Free Cholesterol in Large VLDL
PC,0.89 [0.87-0.92],5.883e-09,***,Phosphatidylcholines
M-LDL-CE%,0.89 [0.87-0.92],5.171e-10,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-C%,0.89 [0.87-0.91],3.137e-14,***,Cholesterol to Total-Lipids in Medium LDL percentage
Cholines,0.89 [0.86-0.91],4.493e-10,***,Total-Cholines
SM,0.89 [0.86-0.92],2.326e-09,***,Sphingomyelins
VLDL-L,0.89 [0.86-0.91],2.777e-10,***,Total-Lipids in VLDL
S-VLDL-L,0.89 [0.86-0.91],4.473e-10,***,Total-Lipids in Small VLDL
IDL-CE%,0.89 [0.86-0.91],3.250e-15,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-C,0.89 [0.86-0.91],9.863e-10,***,Cholesterol in Very Small VLDL
S-HDL-P,0.89 [0.86-0.91],1.494e-10,***,Concentration of Small HDL Particles
XL-VLDL-C,0.88 [0.86-0.91],2.077e-10,***,Cholesterol in Very Large VLDL
VLDL-PL,0.88 [0.86-0.91],1.776e-11,***,Phospholipids in VLDL
XS-VLDL-CE,0.88 [0.86-0.91],2.007e-10,***,Cholesteryl Esters in Very Small VLDL
L-VLDL-C,0.88 [0.86-0.91],1.334e-10,***,Cholesterol in Large VLDL
VLDL-P,0.88 [0.85-0.91],1.500e-11,***,Concentration of VLDL Particles
Total-PL,0.88 [0.86-0.91],1.579e-13,***,Total-Phospholipids in Lipoprotein Particles
S-LDL-CE%,0.88 [0.85-0.90],2.299e-14,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
PUFA,0.88 [0.85-0.90],3.633e-14,***,Polyunsaturated Fatty Acids
Omega-6,0.88 [0.85-0.90],3.129e-15,***,Omega-6 Fatty Acids
S-VLDL-CE,0.87 [0.85-0.90],1.616e-12,***,Cholesteryl Esters in Small VLDL
L-VLDL-CE,0.87 [0.85-0.90],1.986e-12,***,Cholesteryl Esters in Large VLDL
VLDL-FC,0.87 [0.85-0.90],5.834e-14,***,Free Cholesterol in VLDL
S-LDL-C%,0.87 [0.85-0.89],1.339e-19,***,Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-PL,0.87 [0.85-0.90],1.822e-15,***,Phospholipids in Small LDL
S-VLDL-PL,0.87 [0.85-0.90],2.261e-14,***,Phospholipids in Small VLDL
S-VLDL-C,0.87 [0.84-0.90],2.365e-14,***,Cholesterol in Small VLDL
IDL-PL,0.87 [0.84-0.90],5.796e-15,***,Phospholipids in IDL
LA,0.87 [0.85-0.89],1.144e-17,***,Linoleic Acid
Total-L,0.87 [0.85-0.89],6.640e-19,***,Total-Lipids in Lipoprotein Particles
XL-VLDL-CE,0.87 [0.84-0.90],6.737e-14,***,Cholesteryl Esters in Very Large VLDL
IDL-FC,0.87 [0.84-0.89],1.183e-15,***,Free Cholesterol in IDL
L-LDL-P,0.87 [0.84-0.89],1.607e-15,***,Concentration of Large LDL Particles
M-VLDL-L,0.87 [0.84-0.89],8.126e-17,***,Total-Lipids in Medium VLDL
VLDL-C,0.87 [0.84-0.89],6.608e-17,***,VLDL Cholesterol
M-VLDL-CE,0.87 [0.84-0.89],3.109e-16,***,Cholesteryl Esters in Medium VLDL
S-LDL-FC,0.87 [0.84-0.89],3.280e-17,***,Free Cholesterol in Small LDL
IDL-L,0.87 [0.84-0.89],1.269e-18,***,Total-Lipids in IDL
VLDL-CE,0.86 [0.84-0.89],2.645e-17,***,Cholesteryl Esters in VLDL
S-VLDL-FC,0.86 [0.84-0.89],2.051e-16,***,Free Cholesterol in Small VLDL
Total-CE,0.86 [0.84-0.89],9.929e-21,***,Total-Esterified Cholesterol
Total-C,0.86 [0.84-0.89],3.746e-21,***,Total-Cholesterol
IDL-C,0.86 [0.84-0.89],1.096e-19,***,Cholesterol in IDL
LDL-P,0.86 [0.84-0.89],5.249e-18,***,Concentration of LDL Particles
ApoB,0.86 [0.84-0.89],7.025e-20,***,Apolipoprotein B
M-VLDL-PL,0.86 [0.84-0.89],3.062e-18,***,Phospholipids in Medium VLDL
Total-FC,0.86 [0.84-0.88],7.658e-21,***,Total-Free Cholesterol
S-LDL-P,0.86 [0.84-0.89],2.637e-18,***,Concentration of Small LDL Particles
M-VLDL-C,0.86 [0.84-0.89],1.063e-18,***,Cholesterol in Medium VLDL
M-VLDL-P,0.86 [0.83-0.89],8.154e-18,***,Concentration of Medium VLDL Particles
S-LDL-L,0.86 [0.84-0.88],5.909e-20,***,Total-Lipids in Small LDL
Remnant-C,0.86 [0.84-0.88],6.797e-22,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-L,0.86 [0.84-0.88],6.345e-22,***,Total-Lipids in Large LDL
M-VLDL-FC,0.86 [0.83-0.88],2.000e-18,***,Free Cholesterol in Medium VLDL
IDL-P,0.86 [0.83-0.88],3.468e-18,***,Concentration of IDL Particles
IDL-CE,0.86 [0.83-0.88],2.353e-20,***,Cholesteryl Esters in IDL
LDL-L,0.86 [0.84-0.88],6.655e-23,***,Total-Lipids in LDL
LDL-FC,0.86 [0.83-0.88],4.989e-21,***,Free Cholesterol in LDL
Clinical LDL-C,0.86 [0.83-0.88],5.731e-24,***,Clinical LDL Cholesterol
L-LDL-C,0.86 [0.83-0.88],4.638e-22,***,Cholesterol in Large LDL
L-LDL-CE,0.86 [0.83-0.88],1.053e-21,***,Cholesteryl Esters in Large LDL
Non-HDL-C,0.86 [0.83-0.88],6.867e-24,***,Total-Cholesterol Minus HDL-C
M-LDL-P,0.86 [0.83-0.88],1.559e-19,***,Concentration of Medium LDL Particles
L-LDL-FC,0.86 [0.83-0.88],1.369e-20,***,Free Cholesterol in Large LDL
LDL-C,0.86 [0.83-0.88],2.076e-23,***,LDL Cholesterol
LDL-CE,0.86 [0.83-0.88],3.309e-23,***,Cholesteryl Esters in LDL
