Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-PL%,1.21 [1.16-1.26],6.582e-14,***,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-TG%,1.21 [1.16-1.26],1.290e-16,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.20 [1.15-1.24],1.715e-14,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-PL%,1.19 [1.15-1.24],8.451e-13,***,Phospholipids to Total-Lipids in IDL percentage
IDL-TG%,1.19 [1.14-1.23],1.482e-12,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.19 [1.14-1.23],4.495e-11,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-TG%,1.12 [1.08-1.17],0.012,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
LA%,0.90 [0.86-0.93],0.026,*,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-FC%,0.90 [0.87-0.93],0.007,**,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,0.89 [0.86-0.92],5.858e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.89 [0.85-0.92],0.004,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
XXL-VLDL-CE,0.89 [0.85-0.93],0.011,*,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-P,0.89 [0.85-0.93],0.012,*,Concentration of Very Large VLDL Particles
XS-VLDL-CE%,0.89 [0.85-0.92],2.484e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
ApoB/ApoA1,0.89 [0.85-0.92],0.003,**,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-TG,0.89 [0.85-0.92],0.004,**,Triglycerides in VLDL
SFA,0.88 [0.85-0.92],2.531e-04,***,Saturated Fatty Acids
S-VLDL-FC%,0.88 [0.85-0.92],9.828e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XL-VLDL-L,0.88 [0.84-0.92],0.002,**,Total-Lipids in Very Large VLDL
S-VLDL-PL%,0.88 [0.85-0.92],2.529e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
XL-VLDL-PL,0.88 [0.84-0.92],0.001,**,Phospholipids in Very Large VLDL
S-HDL-PL,0.88 [0.84-0.92],5.556e-04,***,Phospholipids in Small HDL
XS-VLDL-C,0.87 [0.84-0.91],3.851e-04,***,Cholesterol in Very Small VLDL
L-VLDL-PL,0.87 [0.84-0.91],2.728e-04,***,Phospholipids in Large VLDL
S-VLDL-P,0.87 [0.84-0.91],2.203e-04,***,Concentration of Small VLDL Particles
VLDL-size,0.87 [0.84-0.91],1.310e-04,***,Average Diameter for VLDL Particles
XL-VLDL-FC,0.87 [0.84-0.91],1.652e-04,***,Free Cholesterol in Very Large VLDL
Total-FA,0.87 [0.84-0.91],2.304e-06,***,Total-Fatty Acids
L-VLDL-P,0.87 [0.83-0.91],7.197e-05,***,Concentration of Large VLDL Particles
L-VLDL-TG,0.87 [0.83-0.91],2.892e-05,***,Triglycerides in Large VLDL
XS-VLDL-CE,0.87 [0.83-0.91],6.492e-05,***,Cholesteryl Esters in Very Small VLDL
Albumin,0.87 [0.83-0.90],2.661e-07,***,Albumin
HDL-P,0.87 [0.83-0.91],1.728e-04,***,Concentration of HDL Particles
S-HDL-L,0.86 [0.83-0.90],1.077e-06,***,Total-Lipids in Small HDL
S-HDL-FC,0.86 [0.83-0.90],1.415e-06,***,Free Cholesterol in Small HDL
S-VLDL-L,0.86 [0.82-0.90],1.517e-06,***,Total-Lipids in Small VLDL
Phosphoglyc,0.86 [0.82-0.90],3.248e-07,***,Phosphoglycerides
L-VLDL-FC,0.86 [0.82-0.90],4.013e-06,***,Free Cholesterol in Large VLDL
L-VLDL-L,0.86 [0.82-0.90],1.554e-06,***,Total-Lipids in Large VLDL
M-VLDL-TG,0.86 [0.82-0.89],4.880e-07,***,Triglycerides in Medium VLDL
VLDL-L,0.86 [0.82-0.89],4.540e-08,***,Total-Lipids in VLDL
VLDL-P,0.86 [0.82-0.89],3.834e-07,***,Concentration of VLDL Particles
S-VLDL-CE,0.86 [0.82-0.89],9.096e-07,***,Cholesteryl Esters in Small VLDL
PC,0.85 [0.82-0.89],6.490e-08,***,Phosphatidylcholines
VLDL-PL,0.85 [0.82-0.89],5.038e-08,***,Phospholipids in VLDL
L-LDL-CE%,0.85 [0.82-0.89],2.511e-10,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
SM,0.85 [0.82-0.89],1.053e-07,***,Sphingomyelins
XL-VLDL-C,0.85 [0.81-0.89],3.512e-08,***,Cholesterol in Very Large VLDL
Cholines,0.85 [0.81-0.88],1.619e-09,***,Total-Cholines
S-HDL-CE,0.85 [0.81-0.88],1.939e-09,***,Cholesteryl Esters in Small HDL
S-HDL-C,0.85 [0.81-0.88],1.052e-09,***,Cholesterol in Small HDL
Total-P,0.84 [0.81-0.88],6.324e-08,***,Total-Concentration of Lipoprotein Particles
L-VLDL-C,0.84 [0.81-0.88],1.502e-08,***,Cholesterol in Large VLDL
S-VLDL-C,0.84 [0.81-0.88],6.305e-09,***,Cholesterol in Small VLDL
IDL-C%,0.84 [0.82-0.87],4.036e-16,***,Cholesterol to Total-Lipids in IDL percentage
IDL-PL,0.84 [0.81-0.88],2.081e-09,***,Phospholipids in IDL
M-LDL-CE%,0.84 [0.81-0.88],3.053e-11,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-LDL-PL,0.84 [0.81-0.88],5.919e-11,***,Phospholipids in Small LDL
VLDL-FC,0.84 [0.80-0.88],1.970e-10,***,Free Cholesterol in VLDL
