Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,1.76 [1.47-2.12],4.095e-04,***,Phospholipids to Total-Lipids in Very Large HDL percentage
S-HDL-PL%,1.76 [1.53-2.03],1.753e-09,***,Phospholipids to Total-Lipids in Small HDL percentage
HDL-size,1.71 [1.47-1.99],1.646e-06,***,Average Diameter for HDL Particles
Tyr,1.70 [1.50-1.91],1.944e-12,***,Tyrosine
XL-HDL-PL,1.66 [1.42-1.93],3.527e-05,***,Phospholipids in Very Large HDL
M-LDL-TG%,1.61 [1.42-1.82],1.972e-08,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-HDL-L,1.58 [1.35-1.85],0.005,**,Total-Lipids in Very Large HDL
L-HDL-TG,1.55 [1.36-1.76],4.450e-06,***,Triglycerides in Large HDL
L-LDL-TG%,1.53 [1.35-1.74],6.410e-06,***,Triglycerides to Total-Lipids in Large LDL percentage
XL-HDL-FC,1.53 [1.31-1.79],0.029,*,Free Cholesterol in Very Large HDL
IDL-PL%,1.50 [1.31-1.72],0.002,**,Phospholipids to Total-Lipids in IDL percentage
IDL-C%,0.71 [0.64-0.80],4.415e-04,***,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.70 [0.63-0.79],3.784e-04,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-CE%,0.69 [0.61-0.78],0.001,**,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-LDL-C%,0.69 [0.62-0.77],2.228e-05,***,Cholesterol to Total-Lipids in Large LDL percentage
Gln,0.68 [0.60-0.78],0.005,**,Glutamine
M-LDL-C,0.68 [0.59-0.78],0.018,*,Cholesterol in Medium LDL
M-LDL-C%,0.68 [0.61-0.76],6.562e-07,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.68 [0.60-0.76],9.824e-06,***,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-PL,0.67 [0.58-0.78],0.022,*,Phospholipids in Medium LDL
XL-HDL-CE%,0.66 [0.60-0.74],5.292e-08,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-LDL-FC,0.66 [0.57-0.76],0.005,**,Free Cholesterol in Medium LDL
S-HDL-C,0.65 [0.57-0.75],0.002,**,Cholesterol in Small HDL
S-HDL-P,0.65 [0.56-0.76],0.004,**,Concentration of Small HDL Particles
S-LDL-FC,0.65 [0.56-0.75],0.002,**,Free Cholesterol in Small LDL
S-HDL-C%,0.63 [0.55-0.71],6.862e-08,***,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-CE%,0.61 [0.54-0.69],2.164e-10,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-CE,0.61 [0.53-0.70],3.977e-06,***,Cholesteryl Esters in Small HDL
XL-HDL-C%,0.55 [0.48-0.64],8.759e-11,***,Cholesterol to Total-Lipids in Very Large HDL percentage
