Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.19 [1.16-1.21],7.357e-42,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
GlycA,1.18 [1.15-1.21],4.322e-37,***,Glycoprotein Acetyls
L-LDL-TG%,1.17 [1.15-1.20],3.577e-39,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.16 [1.13-1.18],2.023e-33,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.15 [1.12-1.17],5.952e-28,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.13 [1.11-1.16],1.615e-19,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-PL%,1.13 [1.10-1.16],1.060e-18,***,Phospholipids to Total-Lipids in Small LDL percentage
IDL-PL%,1.13 [1.10-1.16],2.655e-20,***,Phospholipids to Total-Lipids in IDL percentage
Omega-6/Omega-3,1.13 [1.10-1.15],5.924e-19,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-PL%,1.11 [1.08-1.14],3.647e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-VLDL-TG%,1.10 [1.07-1.12],7.613e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,1.09 [1.07-1.12],8.948e-09,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.09 [1.07-1.12],2.446e-09,***,Triglycerides to Total-Lipids in Small LDL percentage
S-HDL-PL%,1.09 [1.06-1.11],7.362e-06,***,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.08 [1.06-1.11],9.906e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-PL%,1.07 [1.04-1.09],0.002,**,Phospholipids to Total-Lipids in Large HDL percentage
M-VLDL-CE%,0.95 [0.93-0.96],0.012,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
VLDL-L,0.94 [0.91-0.96],0.019,*,Total-Lipids in VLDL
M-VLDL-C%,0.94 [0.92-0.96],3.912e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
Total-FA,0.94 [0.92-0.96],0.003,**,Total-Fatty Acids
Acetate,0.93 [0.91-0.96],0.003,**,Acetate
VLDL-PL,0.93 [0.91-0.96],0.004,**,Phospholipids in VLDL
M-HDL-L,0.93 [0.91-0.96],0.026,*,Total-Lipids in Medium HDL
L-VLDL-C,0.93 [0.91-0.96],0.007,**,Cholesterol in Large VLDL
