Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-PL%,1.20 [1.01-1.42],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-FC%,1.15 [1.01-1.32],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-PL%,1.13 [1.00-1.28],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-CE%,1.05 [0.92-1.19],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-LDL-PL%,1.00 [0.88-1.13],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Omega-3%,0.93 [0.82-1.05],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.92 [0.82-1.04],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
LA%,0.92 [0.82-1.04],1.000,,Linoleic Acid to Total-Fatty Acids percentage
M-LDL-FC%,0.90 [0.81-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,0.88 [0.78-0.99],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
