Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.21 [1.17-1.26],3.326e-20,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-PL%,1.20 [1.16-1.24],1.233e-18,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-TG%,1.20 [1.15-1.25],3.747e-14,***,Triglycerides to Total-Lipids in Small HDL percentage
TG/PG,1.19 [1.15-1.23],1.822e-14,***,Triglycerides to Phosphoglycerides ratio
M-HDL-TG%,1.18 [1.13-1.22],2.525e-11,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-HDL-TG%,1.17 [1.13-1.22],3.674e-13,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.17 [1.13-1.21],2.930e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.17 [1.13-1.22],3.336e-10,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-FC%,1.17 [1.12-1.21],5.279e-10,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,1.16 [1.12-1.20],3.981e-11,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-TG%,1.16 [1.12-1.20],5.316e-12,***,Triglycerides to Total-Lipids in IDL percentage
XL-VLDL-TG%,1.16 [1.11-1.21],1.360e-04,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG%,1.16 [1.12-1.20],4.320e-10,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.16 [1.11-1.20],2.790e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-LDL-TG%,1.15 [1.11-1.19],7.459e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.14 [1.10-1.18],1.083e-08,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.13 [1.09-1.17],8.621e-07,***,Triglycerides to Total-Lipids in Small LDL percentage
VLDL-size,1.13 [1.09-1.17],1.019e-04,***,Average Diameter for VLDL Particles
IDL-PL%,1.12 [1.08-1.16],2.103e-04,***,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-TG%,1.11 [1.08-1.16],0.001,**,Triglycerides to Total-Lipids in Very Large HDL percentage
GlycA,1.11 [1.07-1.15],0.020,*,Glycoprotein Acetyls
L-HDL-FC%,0.92 [0.90-0.95],0.014,*,Free Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-FC%,0.91 [0.88-0.94],0.001,**,Free Cholesterol to Total-Lipids in Small LDL percentage
LDL-CE,0.91 [0.88-0.94],0.026,*,Cholesteryl Esters in LDL
S-LDL-FC,0.91 [0.88-0.94],0.043,*,Free Cholesterol in Small LDL
LDL-L,0.91 [0.88-0.94],0.011,*,Total-Lipids in LDL
Non-HDL-C,0.91 [0.88-0.94],0.004,**,Total-Cholesterol Minus HDL-C
Total-L,0.91 [0.88-0.94],0.003,**,Total-Lipids in Lipoprotein Particles
LDL-PL,0.91 [0.87-0.94],0.012,*,Phospholipids in LDL
M-VLDL-CE%,0.91 [0.88-0.93],1.020e-05,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-HDL-CE%,0.90 [0.88-0.93],2.841e-05,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
LDL-C,0.90 [0.87-0.93],0.002,**,LDL Cholesterol
M-LDL-FC,0.90 [0.87-0.93],0.003,**,Free Cholesterol in Medium LDL
L-HDL-CE%,0.90 [0.87-0.93],8.142e-07,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-C%,0.90 [0.87-0.93],2.606e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-P,0.90 [0.87-0.93],0.005,**,Concentration of IDL Particles
PUFA%,0.90 [0.87-0.93],4.410e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LDL-size,0.90 [0.87-0.93],3.390e-04,***,Average Diameter for LDL Particles
M-VLDL-CE,0.90 [0.86-0.93],0.002,**,Cholesteryl Esters in Medium VLDL
L-LDL-FC%,0.90 [0.87-0.93],1.509e-05,***,Free Cholesterol to Total-Lipids in Large LDL percentage
Clinical LDL-C,0.89 [0.86-0.93],4.308e-05,***,Clinical LDL Cholesterol
S-VLDL-C%,0.89 [0.86-0.93],2.462e-05,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-FC%,0.89 [0.87-0.92],4.706e-06,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.89 [0.86-0.92],5.332e-06,***,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-C%,0.89 [0.87-0.92],2.721e-08,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-PL%,0.89 [0.86-0.92],3.924e-06,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-LDL-L,0.89 [0.86-0.92],2.127e-05,***,Total-Lipids in Large LDL
