Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.12 [1.09-1.15],8.967e-12,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.12 [1.09-1.15],7.083e-12,***,Phospholipids to Total-Lipids in IDL percentage
L-LDL-TG%,1.10 [1.08-1.13],1.296e-08,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.10 [1.07-1.13],5.719e-08,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-PL%,1.10 [1.07-1.13],3.303e-06,***,Phospholipids to Total-Lipids in Small LDL percentage
IDL-TG%,1.09 [1.06-1.12],3.573e-05,***,Triglycerides to Total-Lipids in IDL percentage
M-HDL-PL%,1.09 [1.06-1.12],3.478e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-PL%,1.08 [1.05-1.11],0.011,*,Phospholipids to Total-Lipids in Very Large HDL percentage
Unsaturation,0.93 [0.91-0.96],0.046,*,Degree of Unsaturation
Total-FA,0.93 [0.90-0.95],0.002,**,Total-Fatty Acids
XL-HDL-C%,0.93 [0.90-0.95],0.002,**,Cholesterol to Total-Lipids in Very Large HDL percentage
S-VLDL-CE,0.93 [0.90-0.95],0.029,*,Cholesteryl Esters in Small VLDL
VLDL-C,0.93 [0.90-0.95],0.005,**,VLDL Cholesterol
M-HDL-L,0.93 [0.90-0.95],0.035,*,Total-Lipids in Medium HDL
VLDL-CE,0.92 [0.90-0.95],0.002,**,Cholesteryl Esters in VLDL
S-VLDL-C,0.92 [0.90-0.95],0.001,**,Cholesterol in Small VLDL
M-HDL-P,0.92 [0.89-0.95],0.022,*,Concentration of Medium HDL Particles
M-HDL-FC%,0.92 [0.89-0.94],3.890e-04,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-CE,0.92 [0.89-0.95],0.009,**,Cholesteryl Esters in Medium HDL
M-HDL-FC,0.92 [0.89-0.95],0.024,*,Free Cholesterol in Medium HDL
M-HDL-C,0.92 [0.89-0.95],0.007,**,Cholesterol in Medium HDL
M-LDL-C%,0.92 [0.90-0.94],1.313e-06,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-P,0.92 [0.89-0.94],9.236e-05,***,Concentration of Small LDL Particles
S-VLDL-PL,0.92 [0.89-0.94],1.572e-04,***,Phospholipids in Small VLDL
XL-HDL-CE%,0.92 [0.90-0.94],4.182e-08,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-VLDL-L,0.92 [0.89-0.94],3.469e-05,***,Total-Lipids in Medium VLDL
IDL-C%,0.91 [0.89-0.94],3.135e-08,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-PL,0.91 [0.89-0.94],1.150e-05,***,Phospholipids in Medium VLDL
IDL-PL,0.91 [0.89-0.94],1.802e-05,***,Phospholipids in IDL
M-VLDL-P,0.91 [0.89-0.94],1.569e-05,***,Concentration of Medium VLDL Particles
M-VLDL-CE,0.91 [0.89-0.94],8.728e-06,***,Cholesteryl Esters in Medium VLDL
Omega-3,0.91 [0.89-0.94],3.620e-05,***,Omega-3 Fatty Acids
SM,0.91 [0.89-0.94],2.692e-05,***,Sphingomyelins
ApoA1,0.91 [0.89-0.94],3.286e-04,***,Apolipoprotein A1
