Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.18 [1.14-1.21],3.232e-20,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-PL%,1.17 [1.13-1.20],1.103e-18,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.15 [1.12-1.19],4.189e-16,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.15 [1.11-1.19],1.102e-11,***,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.15 [1.11-1.19],6.638e-12,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-LDL-TG%,1.14 [1.11-1.18],1.224e-15,***,Triglycerides to Total-Lipids in Large LDL percentage
Omega-6/Omega-3,1.14 [1.11-1.18],6.992e-14,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-TG%,1.14 [1.11-1.18],7.867e-15,***,Triglycerides to Total-Lipids in IDL percentage
S-VLDL-TG%,1.14 [1.10-1.18],1.161e-10,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,1.14 [1.10-1.18],4.976e-06,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-TG%,1.14 [1.10-1.18],5.974e-10,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.14 [1.10-1.17],4.809e-13,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.13 [1.10-1.17],3.821e-11,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-TG%,1.13 [1.10-1.17],5.112e-11,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.13 [1.10-1.17],6.134e-10,***,Triglycerides to Phosphoglycerides ratio
S-LDL-TG%,1.12 [1.09-1.15],6.153e-09,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-HDL-FC%,1.11 [1.08-1.15],1.895e-05,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
GlycA,1.11 [1.07-1.14],1.369e-05,***,Glycoprotein Acetyls
L-HDL-PL%,1.10 [1.07-1.13],3.622e-05,***,Phospholipids to Total-Lipids in Large HDL percentage
IDL-PL%,1.09 [1.06-1.12],0.001,**,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-TG%,1.09 [1.05-1.12],0.027,*,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-FC%,0.93 [0.91-0.96],0.030,*,Free Cholesterol to Total-Lipids in Large HDL percentage
Albumin,0.92 [0.90-0.95],0.047,*,Albumin
S-HDL-CE%,0.92 [0.90-0.95],0.025,*,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-VLDL-CE%,0.92 [0.90-0.95],0.008,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-C,0.92 [0.90-0.95],0.020,*,Cholesterol in Medium LDL
Omega-6,0.92 [0.89-0.95],0.011,*,Omega-6 Fatty Acids
S-LDL-FC%,0.92 [0.89-0.94],7.233e-05,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-VLDL-C%,0.92 [0.89-0.95],0.016,*,Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-P,0.92 [0.89-0.94],0.006,**,Concentration of Large LDL Particles
S-HDL-PL,0.92 [0.89-0.94],0.005,**,Phospholipids in Small HDL
Total-L,0.92 [0.89-0.94],2.849e-04,***,Total-Lipids in Lipoprotein Particles
Remnant-C,0.91 [0.89-0.94],4.050e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-CE%,0.91 [0.89-0.94],1.356e-07,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
LDL-size,0.91 [0.89-0.94],1.015e-04,***,Average Diameter for LDL Particles
S-HDL-C%,0.91 [0.89-0.94],4.710e-05,***,Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-C,0.91 [0.88-0.94],4.186e-04,***,Cholesterol in Medium VLDL
S-HDL-L,0.91 [0.88-0.94],2.067e-04,***,Total-Lipids in Small HDL
M-LDL-FC%,0.91 [0.88-0.93],1.106e-06,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.91 [0.88-0.93],1.284e-05,***,Cholesteryl Esters in LDL
IDL-P,0.91 [0.88-0.93],1.497e-04,***,Concentration of IDL Particles
LDL-L,0.91 [0.88-0.93],5.411e-06,***,Total-Lipids in LDL
Non-HDL-C,0.91 [0.88-0.93],3.628e-06,***,Total-Cholesterol Minus HDL-C
XL-HDL-CE%,0.91 [0.88-0.93],8.690e-09,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
PUFA%,0.91 [0.88-0.93],2.951e-07,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LDL-PL,0.90 [0.88-0.93],5.893e-06,***,Phospholipids in LDL
L-VLDL-CE%,0.90 [0.88-0.93],4.929e-05,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-FC%,0.90 [0.88-0.93],1.224e-07,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-CE%,0.90 [0.88-0.93],2.530e-10,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-LDL-FC,0.90 [0.88-0.93],3.862e-06,***,Free Cholesterol in Small LDL
S-VLDL-C%,0.90 [0.88-0.93],1.627e-07,***,Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-C,0.90 [0.87-0.93],3.143e-05,***,Cholesterol in Very Small VLDL
LDL-C,0.90 [0.88-0.93],3.686e-07,***,LDL Cholesterol
M-HDL-CE%,0.90 [0.88-0.93],6.879e-08,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-VLDL-C%,0.90 [0.88-0.92],1.575e-09,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-HDL-FC,0.90 [0.87-0.93],1.796e-06,***,Free Cholesterol in Small HDL
M-LDL-C%,0.90 [0.87-0.92],1.592e-09,***,Cholesterol to Total-Lipids in Medium LDL percentage
PUFA,0.90 [0.87-0.92],2.270e-07,***,Polyunsaturated Fatty Acids
L-HDL-C%,0.90 [0.87-0.92],1.340e-11,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-PL%,0.90 [0.87-0.92],6.979e-09,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-FC,0.90 [0.87-0.92],3.115e-07,***,Free Cholesterol in Medium LDL
Clinical LDL-C,0.90 [0.87-0.92],5.696e-09,***,Clinical LDL Cholesterol
M-VLDL-CE,0.89 [0.87-0.92],3.113e-07,***,Cholesteryl Esters in Medium VLDL
L-LDL-L,0.89 [0.87-0.92],1.289e-08,***,Total-Lipids in Large LDL
L-LDL-CE,0.89 [0.87-0.92],1.718e-08,***,Cholesteryl Esters in Large LDL
M-VLDL-FC%,0.89 [0.87-0.92],3.169e-10,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-HDL-P,0.89 [0.86-0.92],4.884e-08,***,Concentration of Small HDL Particles
Total-FC,0.89 [0.87-0.92],2.976e-09,***,Total-Free Cholesterol
S-LDL-C%,0.89 [0.87-0.92],5.949e-11,***,Cholesterol to Total-Lipids in Small LDL percentage
M-HDL-PL,0.89 [0.86-0.92],6.213e-07,***,Phospholipids in Medium HDL
L-LDL-C,0.89 [0.86-0.92],1.191e-09,***,Cholesterol in Large LDL
XS-VLDL-CE,0.89 [0.86-0.92],2.114e-07,***,Cholesteryl Esters in Very Small VLDL
L-LDL-PL,0.89 [0.86-0.92],4.485e-09,***,Phospholipids in Large LDL
Total-PL,0.89 [0.86-0.92],2.291e-09,***,Total-Phospholipids in Lipoprotein Particles
Phosphoglyc,0.89 [0.86-0.92],6.845e-09,***,Phosphoglycerides
IDL-C%,0.89 [0.87-0.91],1.428e-13,***,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.89 [0.86-0.91],4.651e-13,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-VLDL-C%,0.89 [0.86-0.92],6.333e-07,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,0.89 [0.86-0.92],1.424e-07,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
