Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.12 [1.09-1.16],2.795e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.12 [1.09-1.15],2.841e-08,***,Phospholipids to Total-Lipids in IDL percentage
S-LDL-PL%,1.11 [1.07-1.14],5.872e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-TG%,1.09 [1.05-1.12],0.009,**,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,1.08 [1.05-1.12],0.012,*,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.08 [1.05-1.11],0.034,*,Triglycerides to Total-Lipids in IDL percentage
L-LDL-C%,0.92 [0.90-0.95],0.007,**,Cholesterol to Total-Lipids in Large LDL percentage
Total-FA,0.92 [0.90-0.95],0.010,*,Total-Fatty Acids
S-VLDL-PL,0.92 [0.89-0.95],0.043,*,Phospholipids in Small VLDL
M-LDL-CE%,0.92 [0.89-0.95],0.014,*,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
VLDL-C,0.92 [0.89-0.95],0.010,*,VLDL Cholesterol
VLDL-CE,0.92 [0.89-0.95],0.008,**,Cholesteryl Esters in VLDL
IDL-C%,0.92 [0.89-0.94],6.544e-05,***,Cholesterol to Total-Lipids in IDL percentage
S-HDL-PL,0.91 [0.89-0.94],0.005,**,Phospholipids in Small HDL
S-VLDL-FC,0.91 [0.89-0.94],0.005,**,Free Cholesterol in Small VLDL
M-VLDL-L,0.91 [0.89-0.94],0.002,**,Total-Lipids in Medium VLDL
L-LDL-P,0.91 [0.89-0.94],0.003,**,Concentration of Large LDL Particles
M-VLDL-CE,0.91 [0.89-0.94],0.003,**,Cholesteryl Esters in Medium VLDL
S-LDL-PL,0.91 [0.89-0.94],8.459e-04,***,Phospholipids in Small LDL
M-VLDL-PL,0.91 [0.88-0.94],8.633e-04,***,Phospholipids in Medium VLDL
M-VLDL-P,0.91 [0.88-0.94],8.325e-04,***,Concentration of Medium VLDL Particles
S-LDL-P,0.91 [0.88-0.94],4.977e-04,***,Concentration of Small LDL Particles
M-LDL-C%,0.91 [0.88-0.94],9.272e-06,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC,0.91 [0.88-0.94],6.471e-04,***,Free Cholesterol in Medium VLDL
M-VLDL-C,0.91 [0.88-0.94],4.618e-04,***,Cholesterol in Medium VLDL
IDL-PL,0.91 [0.88-0.94],4.787e-04,***,Phospholipids in IDL
LDL-P,0.91 [0.88-0.94],1.982e-04,***,Concentration of LDL Particles
LA,0.91 [0.88-0.93],2.525e-05,***,Linoleic Acid
DHA,0.91 [0.88-0.94],8.626e-04,***,Docosahexaenoic Acid
ApoB,0.91 [0.88-0.93],3.881e-05,***,Apolipoprotein B
S-HDL-L,0.91 [0.88-0.93],8.741e-05,***,Total-Lipids in Small HDL
HDL-P,0.91 [0.88-0.94],0.002,**,Concentration of HDL Particles
IDL-CE%,0.90 [0.88-0.93],4.001e-07,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-FC,0.90 [0.88-0.93],6.289e-05,***,Free Cholesterol in Small HDL
Phosphoglyc,0.90 [0.88-0.93],3.853e-05,***,Phosphoglycerides
S-LDL-FC,0.90 [0.88-0.93],1.430e-05,***,Free Cholesterol in Small LDL
S-LDL-CE%,0.90 [0.88-0.93],6.520e-06,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-LDL-L,0.90 [0.87-0.93],4.541e-06,***,Total-Lipids in Small LDL
Remnant-C,0.90 [0.88-0.93],1.959e-06,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-P,0.90 [0.87-0.93],9.098e-06,***,Concentration of Medium LDL Particles
Cholines,0.90 [0.87-0.93],1.272e-05,***,Total-Cholines
Omega-3,0.90 [0.87-0.93],5.182e-05,***,Omega-3 Fatty Acids
IDL-FC,0.90 [0.87-0.93],1.189e-05,***,Free Cholesterol in IDL
Omega-6,0.90 [0.87-0.93],1.342e-06,***,Omega-6 Fatty Acids
IDL-P,0.90 [0.87-0.93],1.763e-05,***,Concentration of IDL Particles
Total-PL,0.90 [0.87-0.93],1.575e-06,***,Total-Phospholipids in Lipoprotein Particles
Total-L,0.90 [0.87-0.93],1.442e-07,***,Total-Lipids in Lipoprotein Particles
IDL-L,0.90 [0.87-0.93],1.380e-06,***,Total-Lipids in IDL
S-HDL-CE,0.90 [0.87-0.93],3.068e-06,***,Cholesteryl Esters in Small HDL
PC,0.90 [0.87-0.93],5.282e-06,***,Phosphatidylcholines
S-LDL-CE,0.90 [0.87-0.92],6.036e-07,***,Cholesteryl Esters in Small LDL
S-HDL-C,0.90 [0.87-0.92],1.203e-06,***,Cholesterol in Small HDL
Non-HDL-C,0.90 [0.87-0.92],5.429e-08,***,Total-Cholesterol Minus HDL-C
L-LDL-L,0.90 [0.87-0.92],7.836e-08,***,Total-Lipids in Large LDL
S-LDL-C,0.90 [0.87-0.92],3.142e-07,***,Cholesterol in Small LDL
L-LDL-CE,0.90 [0.87-0.92],1.343e-07,***,Cholesteryl Esters in Large LDL
LDL-L,0.90 [0.87-0.92],3.687e-08,***,Total-Lipids in LDL
Total-P,0.90 [0.87-0.93],1.503e-05,***,Total-Concentration of Lipoprotein Particles
L-LDL-C,0.89 [0.87-0.92],6.054e-08,***,Cholesterol in Large LDL
Clinical LDL-C,0.89 [0.87-0.92],1.366e-08,***,Clinical LDL Cholesterol
S-HDL-P,0.89 [0.87-0.92],6.533e-07,***,Concentration of Small HDL Particles
Total-FC,0.89 [0.87-0.92],5.915e-08,***,Total-Free Cholesterol
LDL-CE,0.89 [0.87-0.92],2.992e-08,***,Cholesteryl Esters in LDL
LDL-C,0.89 [0.87-0.92],1.678e-08,***,LDL Cholesterol
M-LDL-PL,0.89 [0.87-0.92],1.473e-07,***,Phospholipids in Medium LDL
M-LDL-L,0.89 [0.87-0.92],5.139e-08,***,Total-Lipids in Medium LDL
LDL-FC,0.89 [0.87-0.92],6.094e-08,***,Free Cholesterol in LDL
IDL-C,0.89 [0.87-0.92],9.447e-08,***,Cholesterol in IDL
S-LDL-C%,0.89 [0.87-0.92],2.516e-09,***,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-CE,0.89 [0.87-0.92],6.186e-08,***,Cholesteryl Esters in Medium LDL
LDL-PL,0.89 [0.87-0.92],4.744e-08,***,Phospholipids in LDL
M-LDL-FC,0.89 [0.87-0.92],8.440e-08,***,Free Cholesterol in Medium LDL
Total-C,0.89 [0.87-0.92],6.788e-09,***,Total-Cholesterol
L-LDL-FC,0.89 [0.87-0.92],5.632e-08,***,Free Cholesterol in Large LDL
M-LDL-C,0.89 [0.87-0.92],1.895e-08,***,Cholesterol in Medium LDL
Total-CE,0.89 [0.87-0.92],4.780e-09,***,Total-Esterified Cholesterol
PUFA,0.89 [0.86-0.92],1.095e-08,***,Polyunsaturated Fatty Acids
L-LDL-PL,0.89 [0.86-0.92],2.038e-08,***,Phospholipids in Large LDL
IDL-CE,0.89 [0.86-0.92],2.618e-08,***,Cholesteryl Esters in IDL
