Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,1.12 [0.97-1.28],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,1.08 [0.95-1.24],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.08 [0.94-1.23],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,1.07 [0.94-1.22],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,1.02 [0.89-1.17],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-TG%,0.99 [0.86-1.13],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-CE%,0.95 [0.83-1.09],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-LDL-TG%,0.95 [0.83-1.08],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,0.91 [0.79-1.05],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,0.86 [0.75-1.00],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
