Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.19 [1.14-1.25],2.963e-08,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,1.13 [1.09-1.18],0.003,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
TG/PG,1.13 [1.08-1.18],0.015,*,Triglycerides to Phosphoglycerides ratio
M-HDL-PL%,1.11 [1.07-1.16],0.302,,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-TG%,1.11 [1.06-1.16],0.526,,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-C%,0.90 [0.87-0.94],0.023,*,Cholesterol to Total-Lipids in Large HDL percentage
Total-PL,0.89 [0.85-0.93],0.031,*,Total-Phospholipids in Lipoprotein Particles
SM,0.88 [0.84-0.92],0.029,*,Sphingomyelins
Phosphoglyc,0.88 [0.85-0.92],0.007,**,Phosphoglycerides
PC,0.88 [0.84-0.92],0.003,**,Phosphatidylcholines
Cholines,0.88 [0.84-0.92],0.001,**,Total-Cholines
M-HDL-FC%,0.86 [0.82-0.90],3.107e-06,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-PL,0.84 [0.81-0.89],6.846e-07,***,Phospholipids in Medium HDL
Total-P,0.84 [0.81-0.88],6.464e-07,***,Total-Concentration of Lipoprotein Particles
XL-HDL-L,0.84 [0.79-0.90],0.021,*,Total-Lipids in Very Large HDL
XL-HDL-C,0.84 [0.79-0.89],0.020,*,Cholesterol in Very Large HDL
XL-HDL-PL,0.84 [0.79-0.89],0.025,*,Phospholipids in Very Large HDL
HDL-P,0.84 [0.80-0.88],1.972e-07,***,Concentration of HDL Particles
M-HDL-L,0.84 [0.80-0.88],5.196e-08,***,Total-Lipids in Medium HDL
ApoA1,0.83 [0.79-0.87],4.333e-09,***,Apolipoprotein A1
HDL-PL,0.82 [0.78-0.86],4.088e-09,***,Phospholipids in HDL
M-HDL-CE,0.82 [0.78-0.86],2.099e-09,***,Cholesteryl Esters in Medium HDL
M-HDL-C,0.82 [0.78-0.86],1.768e-09,***,Cholesterol in Medium HDL
XL-HDL-CE,0.82 [0.77-0.87],6.853e-04,***,Cholesteryl Esters in Very Large HDL
M-HDL-P,0.82 [0.78-0.86],5.778e-09,***,Concentration of Medium HDL Particles
M-HDL-FC,0.82 [0.78-0.86],5.956e-09,***,Free Cholesterol in Medium HDL
HDL-L,0.81 [0.77-0.86],2.216e-10,***,Total-Lipids in HDL
HDL-size,0.81 [0.76-0.86],7.657e-07,***,Average Diameter for HDL Particles
HDL-FC,0.80 [0.75-0.84],7.785e-10,***,Free Cholesterol in HDL
HDL-C,0.79 [0.75-0.84],6.711e-12,***,HDL Cholesterol
HDL-CE,0.79 [0.75-0.84],6.394e-12,***,Cholesteryl Esters in HDL
L-HDL-PL,0.79 [0.74-0.84],3.648e-09,***,Phospholipids in Large HDL
L-HDL-L,0.78 [0.74-0.83],5.792e-10,***,Total-Lipids in Large HDL
L-HDL-FC,0.78 [0.73-0.83],1.914e-08,***,Free Cholesterol in Large HDL
L-HDL-C,0.77 [0.73-0.83],1.003e-09,***,Cholesterol in Large HDL
L-HDL-CE,0.77 [0.72-0.82],1.013e-09,***,Cholesteryl Esters in Large HDL
L-HDL-P,0.76 [0.71-0.82],2.228e-09,***,Concentration of Large HDL Particles
