Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.06 [0.97-1.15],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.03 [0.94-1.13],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG%,1.03 [0.94-1.13],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.02 [0.90-1.14],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
Gln,1.01 [0.92-1.10],1.000,,Glutamine
M-LDL-FC%,1.00 [0.92-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,0.96 [0.87-1.07],1.000,,HDL Cholesterol
ApoB,0.95 [0.87-1.04],1.000,,Apolipoprotein B
LDL-C,0.95 [0.87-1.03],1.000,,LDL Cholesterol
Clinical LDL-C,0.94 [0.86-1.03],1.000,,Clinical LDL Cholesterol
