Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetoacetate,15,1.398 [1.013-1.928],1.000,,Acetoacetate
L-HDL-P,633,1.060 [1.020-1.103],1.000,,Concentration of Large HDL Particles
M-HDL-FC%,609,1.050 [1.009-1.093],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-TG,690,1.009 [0.970-1.050],1.000,,Triglycerides in Small LDL
XXL-VLDL-FC,557,1.005 [0.961-1.051],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
Total-CE,575,0.966 [0.918-1.015],1.000,,Total-Esterified Cholesterol
S-LDL-FC%,578,0.962 [0.925-1.001],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
Pyruvate,37,0.962 [0.795-1.163],1.000,,Pyruvate
M-VLDL-PL,632,0.936 [0.897-0.977],1.000,,Phospholipids in Medium VLDL
Albumin,72,0.924 [0.772-1.106],1.000,,Albumin
