Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-size,600,1.141 [1.012-1.286],1.000,,Average Diameter for HDL Particles
XL-HDL-P,581,1.124 [0.997-1.268],1.000,,Concentration of Very Large HDL Particles
HDL-FC,599,1.117 [0.978-1.276],1.000,,Free Cholesterol in HDL
M-HDL-P,598,1.117 [0.961-1.298],1.000,,Concentration of Medium HDL Particles
Total-P,531,1.044 [0.880-1.237],1.000,,Total-Concentration of Lipoprotein Particles
XS-VLDL-PL,635,0.937 [0.837-1.049],1.000,,Phospholipids in Very Small VLDL
VLDL-FC,630,0.847 [0.734-0.977],1.000,,Free Cholesterol in VLDL
M-VLDL-FC,594,0.838 [0.722-0.971],1.000,,Free Cholesterol in Medium VLDL
GlycA,385,0.770 [0.624-0.951],1.000,,Glycoprotein Acetyls
Acetone,15,0.251 [0.083-0.758],1.000,,Acetone
