Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-VLDL-C%,527,1.223 [0.967-1.545],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
Omega-6%,366,1.161 [0.857-1.573],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-CE,620,1.124 [0.924-1.368],1.000,,Cholesteryl Esters in Very Small VLDL
HDL-FC,599,1.065 [0.868-1.306],1.000,,Free Cholesterol in HDL
S-HDL-C%,436,1.044 [0.845-1.289],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
Pyruvate,37,0.985 [0.347-2.800],1.000,,Pyruvate
XL-VLDL-L,578,0.971 [0.771-1.223],1.000,,Total-Lipids in Very Large VLDL
L-VLDL-TG,567,0.934 [0.730-1.196],1.000,,Triglycerides in Large VLDL
VLDL-size,604,0.842 [0.678-1.046],1.000,,Average Diameter for VLDL Particles
Val,50,0.752 [0.310-1.825],1.000,,Valine
