Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-CE,487,1.435 [1.329-1.549],5.128e-15,***,Cholesteryl Esters in Medium VLDL
XL-VLDL-FC%,397,1.420 [1.290-1.563],2.124e-07,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-P,505,1.400 [1.304-1.504],3.855e-15,***,Concentration of IDL Particles
M-VLDL-C,535,1.397 [1.297-1.505],3.074e-13,***,Cholesterol in Medium VLDL
L-LDL-FC,474,1.395 [1.297-1.500],6.993e-14,***,Free Cholesterol in Large LDL
Clinical LDL-C,463,1.394 [1.290-1.506],1.216e-11,***,Clinical LDL Cholesterol
M-LDL-FC,407,1.391 [1.284-1.506],1.346e-10,***,Free Cholesterol in Medium LDL
LDL-FC,411,1.387 [1.284-1.499],3.701e-11,***,Free Cholesterol in LDL
L-LDL-PL,492,1.384 [1.282-1.494],2.046e-11,***,Phospholipids in Large LDL
M-LDL-P,508,1.380 [1.274-1.495],8.310e-10,***,Concentration of Medium LDL Particles
IDL-CE,553,1.368 [1.276-1.466],2.036e-13,***,Cholesteryl Esters in IDL
S-LDL-P,566,1.367 [1.272-1.469],5.368e-12,***,Concentration of Small LDL Particles
L-LDL-C,488,1.366 [1.266-1.474],1.741e-10,***,Cholesterol in Large LDL
S-LDL-C,489,1.363 [1.261-1.474],1.503e-09,***,Cholesterol in Small LDL
LDL-PL,473,1.363 [1.261-1.473],1.269e-09,***,Phospholipids in LDL
S-LDL-FC,410,1.362 [1.268-1.463],6.691e-12,***,Free Cholesterol in Small LDL
LDL-C,476,1.362 [1.258-1.474],4.722e-09,***,LDL Cholesterol
L-LDL-P,541,1.360 [1.267-1.461],7.995e-12,***,Concentration of Large LDL Particles
M-LDL-C,525,1.359 [1.257-1.469],2.906e-09,***,Cholesterol in Medium LDL
S-LDL-CE,543,1.359 [1.259-1.466],6.062e-10,***,Cholesteryl Esters in Small LDL
IDL-C,568,1.356 [1.267-1.451],3.421e-13,***,Cholesterol in IDL
S-LDL-L,511,1.355 [1.258-1.460],3.631e-10,***,Total-Lipids in Small LDL
LDL-P,552,1.352 [1.258-1.452],4.466e-11,***,Concentration of LDL Particles
ApoB/ApoA1,542,1.348 [1.259-1.444],3.426e-12,***,Apolipoprotein B to Apolipoprotein A1 ratio
L-LDL-L,508,1.347 [1.250-1.452],1.289e-09,***,Total-Lipids in Large LDL
M-LDL-L,531,1.346 [1.247-1.453],7.460e-09,***,Total-Lipids in Medium LDL
Non-HDL-C,563,1.345 [1.251-1.446],2.320e-10,***,Total-Cholesterol Minus HDL-C
ApoB,565,1.345 [1.254-1.443],3.318e-11,***,Apolipoprotein B
L-LDL-CE,502,1.344 [1.245-1.451],8.435e-09,***,Cholesteryl Esters in Large LDL
M-LDL-CE,550,1.343 [1.243-1.452],2.592e-08,***,Cholesteryl Esters in Medium LDL
LDL-L,502,1.340 [1.241-1.447],2.006e-08,***,Total-Lipids in LDL
M-VLDL-FC%,574,1.339 [1.248-1.435],6.047e-11,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
LDL-CE,506,1.338 [1.238-1.445],3.832e-08,***,Cholesteryl Esters in LDL
M-LDL-PL,492,1.336 [1.236-1.445],7.295e-08,***,Phospholipids in Medium LDL
S-VLDL-C%,527,1.335 [1.239-1.438],7.656e-09,***,Cholesterol to Total-Lipids in Small VLDL percentage
Remnant-C,577,1.332 [1.242-1.429],3.014e-10,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XL-VLDL-PL%,398,1.332 [1.218-1.456],7.668e-05,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-VLDL-FC,594,1.331 [1.239-1.429],8.256e-10,***,Free Cholesterol in Medium VLDL
S-LDL-PL,409,1.328 [1.232-1.432],3.258e-08,***,Phospholipids in Small LDL
IDL-FC,587,1.328 [1.244-1.417],2.621e-12,***,Free Cholesterol in IDL
M-VLDL-PL%,523,1.318 [1.228-1.415],4.452e-09,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-FC,593,1.313 [1.225-1.407],3.210e-09,***,Free Cholesterol in Small VLDL
XS-VLDL-FC%,460,1.312 [1.208-1.423],1.975e-05,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-CE%,509,1.311 [1.218-1.411],1.115e-07,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
IDL-L,573,1.311 [1.229-1.399],7.206e-11,***,Total-Lipids in IDL
XL-VLDL-C%,486,1.310 [1.198-1.432],7.813e-04,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-VLDL-C%,395,1.304 [1.201-1.416],5.892e-05,***,Cholesterol to Total-Lipids in Large VLDL percentage
Total-FC,546,1.300 [1.209-1.398],2.987e-07,***,Total-Free Cholesterol
Total-C,563,1.294 [1.203-1.393],1.040e-06,***,Total-Cholesterol
L-VLDL-CE%,492,1.294 [1.197-1.400],2.925e-05,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-VLDL-CE%,485,1.288 [1.181-1.405],0.003,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
Total-CE,575,1.287 [1.196-1.385],4.267e-06,***,Total-Esterified Cholesterol
IDL-PL,591,1.283 [1.206-1.365],7.346e-10,***,Phospholipids in IDL
VLDL-CE,621,1.276 [1.194-1.364],1.782e-07,***,Cholesteryl Esters in VLDL
M-VLDL-C%,604,1.274 [1.183-1.372],3.029e-05,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-C%,403,1.266 [1.164-1.378],0.010,*,Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-PL,632,1.256 [1.168-1.350],1.901e-04,***,Phospholipids in Medium VLDL
S-VLDL-C,618,1.254 [1.174-1.340],4.228e-06,***,Cholesterol in Small VLDL
XS-VLDL-CE,620,1.252 [1.182-1.326],4.896e-09,***,Cholesteryl Esters in Very Small VLDL
M-VLDL-P,612,1.252 [1.162-1.348],8.170e-04,***,Concentration of Medium VLDL Particles
S-VLDL-PL%,600,1.251 [1.166-1.342],1.171e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,609,1.249 [1.164-1.341],1.596e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-CE%,597,1.242 [1.152-1.338],0.003,**,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-PL,664,1.239 [1.161-1.322],2.569e-05,***,Phospholipids in Small VLDL
S-VLDL-CE,626,1.226 [1.150-1.307],9.314e-05,***,Cholesteryl Esters in Small VLDL
XS-VLDL-C,604,1.223 [1.154-1.297],2.671e-06,***,Cholesterol in Very Small VLDL
VLDL-C,644,1.213 [1.132-1.300],0.010,**,VLDL Cholesterol
XS-VLDL-C%,642,1.207 [1.129-1.291],0.009,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-FC,612,1.183 [1.118-1.251],0.001,**,Free Cholesterol in Very Small VLDL
XS-VLDL-P,622,1.173 [1.110-1.240],0.003,**,Concentration of Very Small VLDL Particles
M-LDL-TG%,456,0.840 [0.787-0.897],0.036,*,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,661,0.808 [0.756-0.863],5.934e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,609,0.769 [0.714-0.827],4.830e-07,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,564,0.753 [0.699-0.812],2.162e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,444,0.712 [0.649-0.781],2.014e-07,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
