Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA,635,1.066 [1.043-1.090],0.004,**,Linoleic Acid
M-LDL-FC,407,1.061 [1.036-1.086],0.162,,Free Cholesterol in Medium LDL
M-LDL-PL,492,1.058 [1.035-1.081],0.103,,Phospholipids in Medium LDL
S-LDL-PL,409,1.055 [1.033-1.078],0.159,,Phospholipids in Small LDL
S-LDL-FC,410,1.055 [1.033-1.078],0.194,,Free Cholesterol in Small LDL
HDL-C,621,0.996 [0.980-1.012],1.000,,HDL Cholesterol
M-HDL-PL%,489,0.990 [0.970-1.010],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-FC,638,0.986 [0.975-0.997],1.000,,Free Cholesterol in Large HDL
Unsaturation,310,0.975 [0.967-0.983],0.001,**,Degree of Unsaturation
S-HDL-PL%,367,0.942 [0.920-0.964],0.144,,Phospholipids to Total-Lipids in Small HDL percentage
