Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-C%,486,1.420 [1.132-1.780],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,492,1.371 [1.125-1.671],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-C,488,1.176 [0.976-1.416],1.000,,Cholesterol in Large LDL
VLDL-FC,630,1.169 [0.981-1.393],1.000,,Free Cholesterol in VLDL
S-LDL-FC,410,1.062 [0.889-1.268],1.000,,Free Cholesterol in Small LDL
L-VLDL-TG,567,1.000 [0.821-1.218],1.000,,Triglycerides in Large VLDL
XL-HDL-PL,562,0.996 [0.856-1.159],1.000,,Phospholipids in Very Large HDL
L-HDL-PL,598,0.990 [0.846-1.158],1.000,,Phospholipids in Large HDL
Acetone,15,0.901 [0.236-3.440],1.000,,Acetone
S-HDL-CE%,367,0.869 [0.746-1.012],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
