Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-P,547,1.356 [1.133-1.621],1.000,,Concentration of HDL Particles
XL-HDL-C%,306,1.127 [0.986-1.289],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
Cholines,620,1.096 [0.937-1.282],1.000,,Total-Cholines
Total-PL,628,1.044 [0.887-1.228],1.000,,Total-Phospholipids in Lipoprotein Particles
M-VLDL-CE%,597,1.024 [0.848-1.237],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-CE,698,0.998 [0.858-1.160],1.000,,Cholesteryl Esters in Large HDL
Total-CE,575,0.987 [0.825-1.181],1.000,,Total-Esterified Cholesterol
XL-VLDL-FC,610,0.978 [0.814-1.175],1.000,,Free Cholesterol in Very Large VLDL
S-HDL-FC%,491,0.932 [0.829-1.047],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
L-LDL-PL,492,0.927 [0.771-1.116],1.000,,Phospholipids in Large LDL
