Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-PL%,398,1.056 [0.999-1.116],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE,626,1.025 [0.982-1.070],1.000,,Cholesteryl Esters in Small VLDL
M-HDL-TG,617,1.021 [0.986-1.056],1.000,,Triglycerides in Medium HDL
S-LDL-FC,410,1.019 [0.973-1.068],1.000,,Free Cholesterol in Small LDL
Omega-3,420,1.009 [0.981-1.038],1.000,,Omega-3 Fatty Acids
PC,606,0.965 [0.924-1.007],1.000,,Phosphatidylcholines
HDL-PL,590,0.934 [0.895-0.974],1.000,,Phospholipids in HDL
HDL-C,621,0.899 [0.860-0.940],0.672,,HDL Cholesterol
M-HDL-C,607,0.899 [0.859-0.940],0.866,,Cholesterol in Medium HDL
M-HDL-CE,607,0.895 [0.855-0.937],0.584,,Cholesteryl Esters in Medium HDL
