Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-CE%,545,1.153 [1.072-1.241],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-HDL-TG%,637,1.091 [1.021-1.166],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
Cholines,620,1.035 [0.958-1.120],1.000,,Total-Cholines
XXL-VLDL-TG%,153,1.014 [0.914-1.124],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-PL%,398,1.007 [0.928-1.094],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
XS-VLDL-CE,620,0.972 [0.913-1.035],1.000,,Cholesteryl Esters in Very Small VLDL
M-HDL-CE%,557,0.969 [0.906-1.037],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-HDL-FC%,491,0.951 [0.903-1.001],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
L-LDL-PL%,382,0.944 [0.877-1.016],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
IDL-C%,558,0.924 [0.867-0.986],1.000,,Cholesterol to Total-Lipids in IDL percentage
