Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_RENALTUB,449,0.392 [0.379-0.40],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
K11_OESSTODUO,43,0.269 [0.211-0.33],1.234e-14,***,"Diseases of oesophagus, stomach and duodenum",Digestive
M13_SOFTTISSUE,1904,0.238 [0.221-0.26],2.887e-161,***,Soft tissue disorders,Musculoskeletal
E4_LIPOPROTNAS,242,0.233 [0.194-0.27],9.095e-27,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
K11_FUNCDYSP,169,0.205 [0.197-0.21],1.000e-315,***,Functional dyspepsia,Digestive
JOINTPAIN,1595,0.169 [0.155-0.18],1.513e-121,***,Pain in joint,Musculoskeletal
K11_CHRONGASTR,210,0.154 [0.145-0.16],1.786e-217,***,Chronic gastritis,Digestive
K11_OTHENTERCOL,751,0.153 [0.146-0.16],1.000e-315,***,Other noninfective gastroenteritis and colitis,Digestive
O15_PRETERM,17,0.149 [0.123-0.18],3.420e-24,***,Preterm labour and delivery,Pregnancy
M13_MUSCLE,168,0.146 [0.141-0.15],1.000e-315,***,Disorders of muscles,Musculoskeletal
M13_LOWBACKPAIN,1988,0.145 [0.137-0.15],3.307e-264,***,Low back pain,Musculoskeletal
D3_AGRANULOCYTOSIS,347,0.134 [0.130-0.14],1.000e-315,***,Agranulocytosis,Blood and immune
G6_NERPLEX,2804,0.133 [0.124-0.14],4.624e-181,***,"Nerve, nerve root and plexus disorders",Nervous
G6_MIGRAINE_WITH_AURA,143,0.129 [0.118-0.14],1.958e-132,***,Migraine with aura,Nervous
M13_DORSALGIANAS,1009,0.128 [0.120-0.14],5.839e-194,***,Other/unspecified dorsalgia,Musculoskeletal
E4_HYPERLIPNAS,1251,0.126 [0.105-0.15],1.931e-24,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
L12_DERMATITISNAS,2477,0.120 [0.113-0.13],6.116e-271,***,Dermatitis,Skin
M13_DORSOPATHYOTH,5393,0.097 [0.091-0.10],4.866e-163,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
L12_OTHERCONTACT,39,0.097 [0.068-0.13],1.882e-05,***,Other contact dermatitis,Skin
CD2_BENIGN_PAROTID,171,0.097 [0.090-0.10],1.912e-138,***,Benign neoplasm: Parotid gland,Neoplasms
H7_LACRIMALSYSTEM,110,0.096 [0.068-0.12],1.892e-06,***,Disorders of lacrimal system,Eye and adnexa
K11_OTHINFLIV,466,0.094 [0.092-0.10],1.000e-315,***,Other inflammatory liver diseases,Digestive
E4_FH,518,0.093 [0.063-0.12],3.637e-04,***,Familial hypercholesterolemia,Endocrine and metabolic
L12_OTHERSKINSUBCUTIS,3364,0.091 [0.085-0.10],3.851e-161,***,Other disorders of skin and subcutaneous tissue,Skin
AB1_SEXUAL_TRANSMISSION,7171,0.091 [0.089-0.09],1.000e-315,***,Infections with a predominantly sexual mode of transmission,Infectious and parasitic
H8_BPV,30,0.089 [0.061-0.12],5.946e-05,***,Benign paroxysmal vertigo,Ear and mastoid
M13_THORACISPINEPAIN,151,0.088 [0.079-0.10],9.914e-77,***,Pain in thoracic spine,Musculoskeletal
I9_ATHSCLE,3616,0.084 [0.080-0.09],1.000e-315,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
CD2_BENIGN_EAR_RESP,224,0.082 [0.073-0.09],5.530e-60,***,Benign neoplasm of middle ear and respiratory system,Neoplasms
M13_INTERVERTEB,3685,0.078 [0.071-0.08],3.151e-123,***,Other intervertebral disc disorders,Musculoskeletal
M13_SPONDYLOSIS,854,0.075 [0.063-0.09],6.641e-30,***,Spondylosis,Musculoskeletal
E4_METABOLIA,4834,0.074 [0.057-0.09],4.191e-13,***,Metabolic disorders,Endocrine and metabolic
M13_OTHERJOINT,3314,0.072 [0.064-0.08],1.417e-63,***,Other joint disorders,Musculoskeletal
K11_CHOLANGI,1455,0.072 [0.070-0.07],1.000e-315,***,"Cholangitis (primary sclerosing, PSC)",Digestive
AB1_GASTROENTERITIS_NOS,923,0.072 [0.055-0.09],3.298e-12,***,Diarrhoea and gastroenteritis of presumed infectious origin,Infectious and parasitic
I9_OTHPER,110,0.071 [0.058-0.08],1.170e-21,***,Other peripheral vascular diseases,Circulatory
L12_URTICA_NAS,213,0.071 [0.055-0.09],5.641e-14,***,Other and unspecified urticaria,Skin
H7_EYEOTH,57,0.070 [0.056-0.08],5.125e-18,***,Other disorders of eye and adnexa,Eye and adnexa
H7_LIDLACRIMALORBIT,197,0.070 [0.048-0.09],1.159e-04,***,"Disorders of eyelid, lacrimal system and orbit",Eye and adnexa
E4_ENDOMETPOSTOP,4212,0.069 [0.067-0.07],1.000e-315,***,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Endocrine and metabolic
F5_VASCDEM,107,0.067 [0.042-0.09],0.025,*,Vascular dementia,Mental and behavioural
N14_CHRONKIDNEYDIS,1777,0.066 [0.061-0.07],1.654e-114,***,Chronic kidney disease,Genitourinary
L12_GRANULOMATOUSSKIN,404,0.064 [0.062-0.07],1.000e-315,***,Granulomatous disorders of skin and subcutaneous tissue,Skin
H7_CONJUNCTIVITISACUNONATOPIC,214,0.063 [0.051-0.07],8.767e-21,***,"Conjunctivitis (acute, non atopic)",Eye and adnexa
M13_DORSOPATHY,8797,0.062 [0.057-0.07],4.168e-130,***,Dorsopathies,Musculoskeletal
