Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
E4_LIPOPROTNAS,242,0.337 [0.294-0.38],1.699e-46,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
N14_RENALTUB,449,0.336 [0.324-0.35],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
K11_OESSTODUO,43,0.272 [0.226-0.32],3.017e-25,***,"Diseases of oesophagus, stomach and duodenum",Digestive
M13_SOFTTISSUE,1904,0.220 [0.205-0.23],7.015e-178,***,Soft tissue disorders,Musculoskeletal
E4_HYPERLIPNAS,1251,0.212 [0.187-0.24],5.862e-56,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
K11_FUNCDYSP,169,0.182 [0.174-0.19],1.000e-315,***,Functional dyspepsia,Digestive
E4_FH,518,0.165 [0.131-0.20],3.151e-16,***,Familial hypercholesterolemia,Endocrine and metabolic
G6_MIGRAINE_WITH_AURA,143,0.158 [0.148-0.17],4.538e-205,***,Migraine with aura,Nervous
JOINTPAIN,1595,0.155 [0.142-0.17],3.848e-118,***,Pain in joint,Musculoskeletal
F5_MENTORG,85,0.148 [0.101-0.20],1.408e-04,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
O15_PRETERM,17,0.147 [0.122-0.17],4.090e-24,***,Preterm labour and delivery,Pregnancy
E4_METABOLIA,4834,0.146 [0.128-0.16],7.382e-50,***,Metabolic disorders,Endocrine and metabolic
K11_CHRONGASTR,210,0.138 [0.129-0.15],9.905e-178,***,Chronic gastritis,Digestive
K11_OTHENTERCOL,751,0.132 [0.126-0.14],1.000e-315,***,Other noninfective gastroenteritis and colitis,Digestive
M13_MUSCLE,168,0.130 [0.125-0.13],1.000e-315,***,Disorders of muscles,Musculoskeletal
M13_LOWBACKPAIN,1988,0.130 [0.121-0.14],4.704e-200,***,Low back pain,Musculoskeletal
G6_NERPLEX,2804,0.123 [0.115-0.13],2.371e-189,***,"Nerve, nerve root and plexus disorders",Nervous
M13_DORSALGIANAS,1009,0.122 [0.113-0.13],3.427e-164,***,Other/unspecified dorsalgia,Musculoskeletal
F5_VASCDEM,107,0.119 [0.086-0.15],3.885e-07,***,Vascular dementia,Mental and behavioural
I9_POSTAMI,149,0.118 [0.087-0.15],3.676e-08,***,Status post-ami,Circulatory
D3_AGRANULOCYTOSIS,347,0.116 [0.113-0.12],1.000e-315,***,Agranulocytosis,Blood and immune
F5_DELIRIUM,173,0.112 [0.076-0.15],1.163e-04,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
L12_DERMATITISNAS,2477,0.111 [0.104-0.12],5.971e-217,***,Dermatitis,Skin
L12_OTHERCONTACT,39,0.099 [0.067-0.13],2.745e-04,***,Other contact dermatitis,Skin
M13_DORSOPATHYOTH,5393,0.096 [0.089-0.10],6.468e-172,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
L12_OTHERSKINSUBCUTIS,3364,0.082 [0.076-0.09],1.268e-162,***,Other disorders of skin and subcutaneous tissue,Skin
CD2_BENIGN_PAROTID,171,0.082 [0.075-0.09],1.209e-129,***,Benign neoplasm: Parotid gland,Neoplasms
K11_OTHINFLIV,466,0.081 [0.079-0.08],1.000e-315,***,Other inflammatory liver diseases,Digestive
AB1_SEXUAL_TRANSMISSION,7171,0.080 [0.078-0.08],1.000e-315,***,Infections with a predominantly sexual mode of transmission,Infectious and parasitic
I9_ATHSCLE,3616,0.078 [0.074-0.08],1.735e-275,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
