Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-CE%,485,4.239 [2.828-6.354],6.452e-07,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,3.976 [2.652-5.961],5.822e-06,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
PUFA%,371,3.776 [2.468-5.777],2.215e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-FC%,687,3.741 [2.723-5.138],9.214e-11,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-CE%,597,3.528 [2.494-4.991],2.560e-07,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,604,3.469 [2.458-4.896],3.588e-07,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-CE%,644,3.397 [2.465-4.681],1.884e-08,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,642,3.237 [2.356-4.447],1.020e-07,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-VLDL-FC%,397,3.207 [2.069-4.971],0.045,*,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-FC%,651,3.182 [2.330-4.345],8.116e-08,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
IDL-FC%,332,3.135 [2.070-4.747],0.016,*,Free Cholesterol to Total-Lipids in IDL percentage
PUFA/MUFA,484,3.108 [2.234-4.325],4.192e-06,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-VLDL-FC%,609,2.956 [2.119-4.124],4.229e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-FC%,574,2.856 [2.003-4.072],0.002,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-PL%,510,2.807 [1.990-3.960],9.775e-04,***,Phospholipids to Total-Lipids in Small LDL percentage
S-VLDL-PL%,600,2.781 [2.008-3.852],1.803e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-FC%,578,2.587 [1.929-3.469],5.384e-05,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-C%,527,2.585 [1.834-3.643],0.014,*,Cholesterol to Total-Lipids in Small VLDL percentage
M-HDL-C%,632,2.310 [1.699-3.141],0.022,*,Cholesterol to Total-Lipids in Medium HDL percentage
IDL-C%,558,2.217 [1.654-2.971],0.024,*,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-TG,678,0.484 [0.376-0.623],0.005,**,Triglycerides in Very Small VLDL
LDL-TG,630,0.478 [0.363-0.630],0.037,*,Triglycerides in LDL
M-HDL-TG%,657,0.473 [0.358-0.626],0.037,*,Triglycerides to Total-Lipids in Medium HDL percentage
L-HDL-TG%,637,0.444 [0.333-0.593],0.009,**,Triglycerides to Total-Lipids in Large HDL percentage
IDL-TG%,635,0.424 [0.317-0.568],0.002,**,Triglycerides to Total-Lipids in IDL percentage
XL-VLDL-C,639,0.422 [0.307-0.580],0.026,*,Cholesterol in Very Large VLDL
S-LDL-TG%,594,0.413 [0.307-0.555],0.001,**,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-TG,658,0.412 [0.311-0.546],1.623e-04,***,Triglycerides in Medium LDL
S-HDL-TG%,677,0.410 [0.307-0.548],3.986e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
VLDL-L,623,0.398 [0.288-0.548],0.004,**,Total-Lipids in VLDL
S-LDL-CE%,545,0.392 [0.282-0.546],0.007,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
VLDL-size,604,0.381 [0.280-0.520],2.768e-04,***,Average Diameter for VLDL Particles
XL-VLDL-FC,610,0.379 [0.274-0.525],0.001,**,Free Cholesterol in Very Large VLDL
S-HDL-TG,681,0.372 [0.278-0.499],8.487e-06,***,Triglycerides in Small HDL
L-VLDL-FC,648,0.369 [0.268-0.508],2.279e-04,***,Free Cholesterol in Large VLDL
S-VLDL-TG%,564,0.367 [0.260-0.518],0.003,**,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-PL,607,0.363 [0.262-0.504],3.585e-04,***,Phospholipids in Very Large VLDL
L-VLDL-PL,637,0.362 [0.263-0.497],8.941e-05,***,Phospholipids in Large VLDL
S-LDL-TG,690,0.355 [0.264-0.478],1.745e-06,***,Triglycerides in Small LDL
MUFA%,525,0.355 [0.263-0.479],2.519e-06,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
MUFA,654,0.345 [0.252-0.473],8.918e-06,***,Monounsaturated Fatty Acids
L-VLDL-P,622,0.344 [0.249-0.476],2.413e-05,***,Concentration of Large VLDL Particles
XL-VLDL-P,599,0.343 [0.247-0.475],3.576e-05,***,Concentration of Very Large VLDL Particles
XL-HDL-TG%,642,0.343 [0.251-0.467],3.227e-06,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE,621,0.340 [0.248-0.468],7.644e-06,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,589,0.337 [0.244-0.465],9.478e-06,***,Cholesterol in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,687,0.336 [0.251-0.451],7.992e-08,***,Triglycerides in Small VLDL
XL-VLDL-L,578,0.330 [0.236-0.460],1.561e-05,***,Total-Lipids in Very Large VLDL
L-VLDL-L,609,0.329 [0.237-0.458],9.155e-06,***,Total-Lipids in Large VLDL
XXL-VLDL-FC,557,0.327 [0.234-0.455],9.904e-06,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,556,0.327 [0.233-0.457],1.563e-05,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,514,0.324 [0.227-0.461],1.042e-04,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
TG/PG,632,0.322 [0.232-0.448],4.025e-06,***,Triglycerides to Phosphoglycerides ratio
XS-VLDL-TG%,661,0.318 [0.232-0.436],2.400e-07,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,444,0.317 [0.207-0.486],0.031,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-VLDL-TG,613,0.317 [0.230-0.438],7.501e-07,***,Triglycerides in Medium VLDL
Total-TG,641,0.315 [0.229-0.433],2.936e-07,***,Total-Triglycerides
L-VLDL-TG,567,0.311 [0.221-0.437],4.145e-06,***,Triglycerides in Large VLDL
M-VLDL-TG%,609,0.310 [0.218-0.442],2.375e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XXL-VLDL-TG,472,0.310 [0.213-0.450],1.972e-04,***,Triglycerides in Chylomicrons and Extremely Large VLDL
VLDL-TG,582,0.307 [0.221-0.426],4.217e-07,***,Triglycerides in VLDL
XL-VLDL-TG,570,0.305 [0.217-0.429],1.980e-06,***,Triglycerides in Very Large VLDL
XXL-VLDL-P,529,0.303 [0.214-0.427],2.638e-06,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XS-VLDL-PL%,375,0.261 [0.169-0.402],2.907e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
GlycA,385,0.161 [0.102-0.256],1.877e-09,***,Glycoprotein Acetyls
