Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,375,1.238 [1.056-1.451],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
LA%,226,1.082 [0.936-1.251],1.000,,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-FC%,173,1.061 [0.875-1.288],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-TG,630,1.022 [0.925-1.129],1.000,,Triglycerides in LDL
L-HDL-FC,638,1.019 [0.921-1.127],1.000,,Free Cholesterol in Large HDL
M-LDL-FC%,651,0.948 [0.844-1.064],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-FC%,578,0.879 [0.788-0.980],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
VLDL-C,644,0.863 [0.769-0.969],1.000,,VLDL Cholesterol
L-LDL-FC,474,0.861 [0.758-0.977],1.000,,Free Cholesterol in Large LDL
XS-VLDL-FC%,460,0.840 [0.731-0.964],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
