Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.123 [1.073-1.175],0.120,,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.081 [1.056-1.107],2.567e-05,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
TG/PG,632,1.037 [1.004-1.070],1.000,,Triglycerides to Phosphoglycerides ratio
XL-HDL-TG%,642,1.026 [0.989-1.064],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-TG,472,1.010 [0.974-1.047],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
Omega-3%,215,0.926 [0.904-0.948],4.944e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.914 [0.891-0.937],6.147e-07,***,Degree of Unsaturation
DHA%,240,0.904 [0.874-0.935],0.002,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,289,0.903 [0.872-0.936],0.004,**,Docosahexaenoic Acid
Omega-3,420,0.897 [0.865-0.930],8.755e-04,***,Omega-3 Fatty Acids
M-HDL-CE,607,0.880 [0.839-0.924],0.048,*,Cholesteryl Esters in Medium HDL
HDL-L,598,0.879 [0.838-0.921],0.020,*,Total-Lipids in HDL
HDL-PL,590,0.875 [0.834-0.919],0.016,*,Phospholipids in HDL
PC,606,0.875 [0.832-0.920],0.048,*,Phosphatidylcholines
M-HDL-FC,597,0.874 [0.832-0.918],0.016,*,Free Cholesterol in Medium HDL
ApoA1,587,0.870 [0.826-0.916],0.031,*,Apolipoprotein A1
M-HDL-P,598,0.867 [0.823-0.912],0.011,*,Concentration of Medium HDL Particles
Total-FA,654,0.864 [0.822-0.907],9.919e-04,***,Total-Fatty Acids
Total-PL,628,0.862 [0.819-0.907],0.003,**,Total-Phospholipids in Lipoprotein Particles
Cholines,620,0.860 [0.816-0.906],0.003,**,Total-Cholines
Phosphoglyc,609,0.857 [0.814-0.903],0.001,**,Phosphoglycerides
M-HDL-PL,545,0.853 [0.807-0.902],0.004,**,Phospholipids in Medium HDL
Omega-6,651,0.851 [0.809-0.895],1.047e-04,***,Omega-6 Fatty Acids
PUFA,699,0.848 [0.810-0.887],3.058e-07,***,Polyunsaturated Fatty Acids
M-HDL-L,576,0.847 [0.803-0.894],3.525e-04,***,Total-Lipids in Medium HDL
HDL-P,547,0.844 [0.794-0.896],0.007,**,Concentration of HDL Particles
Total-P,531,0.830 [0.779-0.884],0.002,**,Total-Concentration of Lipoprotein Particles
S-HDL-FC,483,0.817 [0.763-0.874],0.001,**,Free Cholesterol in Small HDL
