Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.291 [1.170-1.424],0.080,,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.151 [1.091-1.216],0.083,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-LDL-TG%,594,1.079 [1.008-1.155],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,661,1.070 [0.995-1.150],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-VLDL-PL%,580,1.041 [0.974-1.111],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
XL-HDL-CE,664,0.982 [0.923-1.045],1.000,,Cholesteryl Esters in Very Large HDL
Ala,85,0.900 [0.713-1.135],1.000,,Alanine
Omega-3%,215,0.878 [0.834-0.924],0.178,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.863 [0.815-0.914],0.140,,Degree of Unsaturation
DHA%,240,0.835 [0.782-0.892],0.020,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
