Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-PL%,382,1.023 [1.003-1.044],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
XL-VLDL-C%,486,1.021 [0.989-1.054],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
Glu,32,1.018 [0.888-1.166],1.000,,Glucose
XL-HDL-PL%,441,1.013 [0.996-1.029],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-C%,622,1.004 [0.980-1.028],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-CE%,259,0.998 [0.976-1.020],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-VLDL-C%,395,0.997 [0.969-1.025],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-C,410,0.986 [0.959-1.013],1.000,,Cholesterol in Small HDL
M-LDL-PL,492,0.959 [0.934-0.984],1.000,,Phospholipids in Medium LDL
S-LDL-TG,690,0.956 [0.935-0.977],1.000,,Triglycerides in Small LDL
