Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-C,621,1.052 [1.018-1.087],1.000,,HDL Cholesterol
M-HDL-TG,617,1.044 [1.012-1.076],1.000,,Triglycerides in Medium HDL
L-HDL-L,623,1.029 [0.999-1.060],1.000,,Total-Lipids in Large HDL
MUFA,654,1.016 [0.980-1.053],1.000,,Monounsaturated Fatty Acids
XS-VLDL-C%,642,1.003 [0.969-1.039],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-C%,604,0.997 [0.960-1.035],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-FC%,397,0.996 [0.948-1.047],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-P,612,0.975 [0.940-1.012],1.000,,Concentration of Medium VLDL Particles
S-LDL-L,511,0.960 [0.923-0.999],1.000,,Total-Lipids in Small LDL
IDL-FC%,332,0.959 [0.917-1.003],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
