Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-TG%,609,1.041 [0.999-1.085],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
XXL-VLDL-PL,556,1.029 [0.991-1.067],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
S-HDL-TG,681,1.018 [0.982-1.055],1.000,,Triglycerides in Small HDL
M-HDL-TG,617,1.013 [0.980-1.048],1.000,,Triglycerides in Medium HDL
XXL-VLDL-CE,621,1.007 [0.971-1.044],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
MUFA%,525,0.983 [0.946-1.020],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-L,623,0.976 [0.944-1.010],1.000,,Total-Lipids in Large HDL
M-VLDL-FC%,574,0.959 [0.920-1.001],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
LDL-C,476,0.932 [0.897-0.968],1.000,,LDL Cholesterol
L-LDL-FC,474,0.915 [0.882-0.950],0.793,,Free Cholesterol in Large LDL
