Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
J10_ACUTEUPPERINFEC,241,0.520 [0.473-0.57],1.959e-100,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
AB1_OTHER_BACTERIAL,478,0.415 [0.390-0.44],1.047e-226,***,Other bacterial diseases,Infectious and parasitic
J10_UPPERINFEC,1002,0.410 [0.388-0.43],1.000e-315,***,Acute upper respiratory infections,Respiratory
J10_INFLUPNEU,534,0.396 [0.362-0.43],1.756e-113,***,Influenza and pneumonia,Respiratory
N14_MALEGEN,1375,0.260 [0.248-0.27],1.000e-315,***,Diseases of male genital organs,Genitourinary
KRA_PSY_ANYMENTAL,2504,0.259 [0.245-0.27],5.126e-291,***,Any mental disorder,Mental and behavioural
O15_DELIV_CAESAR,82,0.240 [0.227-0.25],5.727e-273,***,Single delivery by caesarean section,Pregnancy
H8_EXTERNAL,828,0.222 [0.215-0.23],1.000e-315,***,Diseases of external ear,Ear and mastoid
O15_MATERN_CARE_OTHER,240,0.217 [0.205-0.23],1.047e-276,***,Maternal care for other known or suspected fetal problems,Pregnancy
O15_MATERN_CARE_PELVIC_ABNORM,86,0.217 [0.199-0.23],4.407e-122,***,Maternal care for known or suspected abnormality of pelvic organs,Pregnancy
M13_OSTEOCHONDRO,166,0.210 [0.174-0.25],2.025e-24,***,Osteopathies and chondropathies,Musculoskeletal
J10_UPPERDIS,4085,0.190 [0.179-0.20],1.097e-223,***,Other diseases of upper respiratory tract,Respiratory
N14_URINOTH,1485,0.187 [0.176-0.20],5.487e-275,***,Other diseases of urinary system,Genitourinary
N14_CYSTITIS,693,0.170 [0.155-0.19],3.461e-104,***,Cystitis,Genitourinary
L12_INFECT_SKIN,518,0.169 [0.148-0.19],7.719e-49,***,Infections of the skin and subcutaneous tissue,Skin
H7_VITRBODYGLOBE,276,0.161 [0.141-0.18],1.116e-49,***,Disorders of vitreous body,Eye and adnexa
M13_SYNOTEND,1267,0.155 [0.140-0.17],2.049e-86,***,Disorders of synovium and tendon,Musculoskeletal
N14_URETHRAOTH,610,0.153 [0.145-0.16],3.587e-256,***,Other disorders of urethra and urinary system,Genitourinary
N14_PROSTHYPERPLA,3795,0.148 [0.143-0.15],1.000e-315,***,Hyperplasia of prostate,Genitourinary
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,1622,0.147 [0.137-0.16],2.616e-201,***,Viral infections characterized by skin and mucous membrane lesions,Infectious and parasitic
F5_DEPRESSIO,2165,0.146 [0.137-0.16],3.019e-215,***,Depression,Mental and behavioural
