Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHDISDIG,25,0.583 [0.559-0.61],1.000e-315,***,Other diseases of the digestive system,Digestive
E4_LIPOPROTNAS,242,0.478 [0.411-0.55],1.722e-38,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
N14_CYSTITIS,693,0.462 [0.431-0.49],8.839e-191,***,Cystitis,Genitourinary
MEMLOSS,48,0.448 [0.322-0.57],7.747e-07,***,Memory loss,Mental and behavioural
E4_HYPERLIPNAS,1251,0.430 [0.396-0.47],4.540e-125,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
E4_FH,518,0.350 [0.310-0.39],5.159e-63,***,Familial hypercholesterolemia,Endocrine and metabolic
N14_URINOTH,1485,0.321 [0.297-0.34],1.207e-151,***,Other diseases of urinary system,Genitourinary
E4_METABOLIA,4834,0.312 [0.288-0.34],5.720e-133,***,Metabolic disorders,Endocrine and metabolic
I9_POSTAMI,149,0.305 [0.244-0.37],8.367e-17,***,Status post-ami,Circulatory
VD_U,43,0.263 [0.193-0.33],6.577e-08,***,Vascular dementia (undefined),Mental and behavioural
F5_MENTORG,85,0.263 [0.188-0.34],1.568e-06,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
E4_LIPOPROT,7076,0.224 [0.208-0.24],8.513e-154,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
F5_DELIRIUM,173,0.224 [0.172-0.28],9.998e-12,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
AB1_BACT_INTEST_OTH,357,0.212 [0.207-0.22],1.000e-315,***,Other bacterial intestinal infections,Infectious and parasitic
F5_VASCDEM,107,0.205 [0.150-0.26],6.393e-08,***,Vascular dementia,Mental and behavioural
KRA_PSY_ANYMENTAL,2504,0.173 [0.153-0.19],3.389e-64,***,Any mental disorder,Mental and behavioural
J10_ACUTEUPPERINFEC,241,0.149 [0.114-0.18],8.787e-12,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
I9_UAP,1483,0.132 [0.111-0.15],1.332e-30,***,Unstable angina pectoris,Circulatory
C_DIFFICILE_ENTEROCOLITIS,2693,0.130 [0.127-0.13],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
CD2_BENIGN_COLON_NOS,212,0.125 [0.083-0.17],0.002,**,"Benign neoplasm: Colon, unspecified",Neoplasms
J10_INFLUPNEU,534,0.119 [0.105-0.13],4.838e-56,***,Influenza and pneumonia,Respiratory
AD_AM,451,0.112 [0.092-0.13],3.132e-23,***,Alzheimer disease (Atypical or mixed),Nervous
K11_HAEMORR,329,0.107 [0.085-0.13],9.737e-16,***,Haemorrhoids and perianal venous thrombosis,Digestive
F5_DEMENTIA,3309,0.098 [0.088-0.11],6.912e-86,***,Dementia,Mental and behavioural
N14_MALEGEN,1375,0.096 [0.088-0.10],2.302e-131,***,Diseases of male genital organs,Genitourinary
KRA_PSY_DEMENTIA,2863,0.093 [0.083-0.10],3.217e-67,***,Any dementia,Mental and behavioural
NEURODEGOTH,4178,0.092 [0.085-0.10],8.609e-134,***,Other degenerative diseases of the nervous system,Nervous
G6_NEURODEGENERATIVE,4070,0.092 [0.084-0.10],5.701e-120,***,Unspecific neurodegenerative disorder,Nervous
N14_CHRONEPHROPATH,18,0.081 [0.071-0.09],2.990e-45,***,Chronic nephritic syndrome,Genitourinary
AUD,259,0.081 [0.071-0.09],2.048e-46,***,"Alcohol use disorder, ICD-based",Mental and behavioural
G6_ALZHEIMER,2982,0.079 [0.070-0.09],1.819e-74,***,Alzheimer disease,Nervous
H7_CHALAZION,671,0.071 [0.067-0.08],4.007e-204,***,Chalazion,Eye and adnexa
F5_ALZHDEMENT,2076,0.071 [0.062-0.08],1.478e-50,***,Dementia in Alzheimer disease,Mental and behavioural
E4_ENDOGLAND,62,0.068 [0.050-0.09],6.064e-08,***,Disorders of other endocrine glands,Endocrine and metabolic
CD2_BENIGN_COLORECANI,1443,0.068 [0.055-0.08],1.358e-20,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
M13_HALLUXVALGUS,3980,0.064 [0.059-0.07],5.839e-145,***,Hallux valgus (acquired),Musculoskeletal
J10_UPPERINFEC,1002,0.060 [0.040-0.08],8.405e-04,***,Acute upper respiratory infections,Respiratory
N14_FEMALEINFERT,80,0.059 [0.044-0.07],1.251e-09,***,Female infertility,Genitourinary
K11_INTESTOTH,398,0.055 [0.041-0.07],3.333e-09,***,Other diseases of intestines,Digestive
I9_IHD,7725,0.053 [0.043-0.06],6.318e-19,***,"Ischaemic heart disease, wide definition",Circulatory
N14_PROSTHYPERPLA,3795,0.053 [0.050-0.06],9.726e-217,***,Hyperplasia of prostate,Genitourinary
CD2_BENIGN_THYROID,151,0.051 [0.048-0.05],4.889e-300,***,Benign neoplasm of thyroid gland,Neoplasms
J10_PLEURPLAGUE,310,0.051 [0.048-0.05],1.249e-267,***,Pleural plaque,Respiratory
I9_CHD,6392,0.050 [0.040-0.06],3.147e-18,***,Major coronary heart disease event,Circulatory
I9_ANGINA,5810,0.049 [0.039-0.06],3.063e-17,***,Angina pectoris,Circulatory
K11_FISTULA,485,0.049 [0.044-0.05],2.359e-85,***,Colonic or urogenital fistula,Digestive
M13_HAMMERTOE,331,0.048 [0.035-0.06],3.996e-07,***,Other hammer toe(s) (acquired),Musculoskeletal
F5_DEPRESSIO,2165,0.048 [0.041-0.05],2.701e-37,***,Depression,Mental and behavioural
I9_CORATHER,8695,0.046 [0.038-0.05],8.779e-25,***,Coronary atherosclerosis,Circulatory
J10_SEPTDEV,498,0.044 [0.035-0.05],6.237e-16,***,Deviated nasal septum,Respiratory
CD2_BENIGN_OTHERDIGESTIVE,74,0.042 [0.031-0.05],5.561e-08,***,Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms
L12_ROSACEANAS,82,0.039 [0.031-0.05],1.008e-15,***,Other and unspecified rosacea,Skin
N14_PHIMOSIS,4306,0.038 [0.036-0.04],2.742e-258,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
I9_HEARTFAIL,682,0.037 [0.028-0.05],3.584e-11,***,"Heart failure, strict",Circulatory
N14_FIOTHNAS,100,0.036 [0.024-0.05],5.528e-04,***,"Female infertility, cervical, vaginal, other or unspecified origin",Genitourinary
K11_HERNIA,6152,0.034 [0.031-0.04],9.064e-111,***,Hernia,Digestive
K11_DISORD_TEETH,111,0.033 [0.024-0.04],8.562e-08,***,Other disorders of teeth and supporting structures,Digestive
J10_CHRONTONSADEN,5827,0.033 [0.028-0.04],1.302e-31,***,Chronic diseases of tonsils and adenoids,Respiratory
M13_HALLUXRIGIDUS,40,0.032 [0.021-0.04],0.018,*,Hallux rigidus,Musculoskeletal
CD2_FOLLICULAR_LYMPHOMA,5808,0.032 [0.031-0.03],1.000e-315,***,"Follicular lymphoma, hilmo",Neoplasms
M13_POLYARTHRITIS,1672,0.031 [0.028-0.03],1.494e-110,***,"Polyarthritis, unspecified",Musculoskeletal
CD2_INSITU_BLADDER,34,0.031 [0.025-0.04],3.731e-20,***,"Carcinoma in situ, bladder",Neoplasms
G6_MIGRAINE_WITH_AURA,143,0.030 [0.020-0.04],5.801e-04,***,Migraine with aura,Nervous
H8_EXTERNAL,828,0.030 [0.025-0.04],2.598e-23,***,Diseases of external ear,Ear and mastoid
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.029 [0.025-0.03],4.504e-32,***,Melanocytic naevi of trunk,Neoplasms
CD2_BENIGN_OVARY,144,0.029 [0.021-0.04],5.842e-07,***,Benign neoplasm of ovary,Neoplasms
K11_GULC,244,0.028 [0.022-0.03],4.700e-13,***,Gastric ulcer,Digestive
K11_CHRONPANC,105,0.027 [0.018-0.04],0.002,**,Chronic pancreatitis,Digestive
N14_OTHPENIS,232,0.026 [0.021-0.03],4.514e-17,***,Other disorders of penis,Genitourinary
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.026 [0.017-0.03],7.094e-04,***,Viral and other specified intestinal infections,Infectious and parasitic
COPD_EARLY,512,0.025 [0.022-0.03],1.144e-60,***,Early onset COPD,Respiratory
M13_SYNOTEND,1267,0.024 [0.018-0.03],1.146e-07,***,Disorders of synovium and tendon,Musculoskeletal
E4_HYPERPIT,147,0.024 [0.020-0.03],1.143e-23,***,Hyperfunction of pituitary gland,Endocrine and metabolic
