Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-LDL-C%,0.0697,0.2495,Cholesterol to Total-Lipids in Large LDL percentage
GlycA,0.1777,0.1301,Glycoprotein Acetyls
L-LDL-TG%,0.0473,0.0985,Triglycerides to Total-Lipids in Large LDL percentage
Albumin,0.1717,0.0838,Albumin
Creatinine,0.1150,0.0705,Creatinine
IDL-CE%,0.0438,0.0636,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-TG%,0.0148,0.0489,Triglycerides to Total-Lipids in IDL percentage
LA,0.0488,0.0470,Linoleic Acid
3-Hydroxybutyrate,0.0648,0.0359,3-Hydroxybutyrate
LA%,0.0352,0.0358,Linoleic Acid to Total-Fatty Acids percentage
S-LDL-CE%,0.0440,0.0268,Cholesteryl Esters to Total-Lipids in Small LDL percentage
PUFA,0.0305,0.0202,Polyunsaturated Fatty Acids
PUFA/MUFA,0.0178,0.0154,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
PUFA%,0.0192,0.0153,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.0188,0.0143,Degree of Unsaturation
Leu,0.0198,0.0095,Leucine
Total-BCAA,0.0137,0.0068,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XS-VLDL-PL%,0.0057,0.0067,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-CE%,0.0097,0.0061,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Glu,0.0078,0.0042,Glucose
Val,0.0050,0.0022,Valine
Phosphoglyc,0.0020,0.0018,Phosphoglycerides
Acetoacetate,0.0032,0.0012,Acetoacetate
Phe,0.0032,0.0011,Phenylalanine
Omega-3,0.0020,0.0011,Omega-3 Fatty Acids
Glu-lactate,0.0022,0.0009,Glucose-lactate
L-LDL-CE%,0.0020,0.0009,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-LDL-PL%,0.0013,0.0006,Phospholipids to Total-Lipids in Small LDL percentage
LDL-size,0.0008,0.0006,Average Diameter for LDL Particles
Tyr,0.0012,0.0004,Tyrosine
XS-VLDL-FC%,0.0007,0.0002,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-6,0.0003,0.0001,Omega-6 Fatty Acids
His,0.0003,6.6305e-05,Histidine
