Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-HDL-PL%,0.1290,0.0980,Phospholipids to Total-Lipids in Large HDL percentage
IDL-FC%,0.0365,0.0767,Free Cholesterol to Total-Lipids in IDL percentage
Gly,0.0517,0.0558,Glycine
Acetoacetate,0.0375,0.0387,Acetoacetate
Citrate,0.0453,0.0343,Citrate
Tyr,0.0205,0.0327,Tyrosine
M-LDL-C%,0.0232,0.0326,Cholesterol to Total-Lipids in Medium LDL percentage
Gln,0.0392,0.0303,Glutamine
XS-VLDL-CE%,0.0388,0.0298,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-VLDL-PL%,0.0343,0.0276,Phospholipids to Total-Lipids in Large VLDL percentage
Sc-ala,0.0153,0.0250,Spectrometer-corrected alanine
Ala,0.0195,0.0245,Alanine
Unsaturation,0.0303,0.0228,Degree of Unsaturation
Pyruvate,0.0118,0.0220,Pyruvate
M-LDL-CE%,0.0322,0.0208,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Creatinine,0.0247,0.0198,Creatinine
Albumin,0.0223,0.0196,Albumin
Lactate,0.0243,0.0188,Lactate
LA%,0.0262,0.0184,Linoleic Acid to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0185,0.0180,3-Hydroxybutyrate
His,0.0138,0.0172,Histidine
L-LDL-C%,0.0068,0.0169,Cholesterol to Total-Lipids in Large LDL percentage
LDL-size,0.0295,0.0159,Average Diameter for LDL Particles
IDL-PL%,0.0133,0.0149,Phospholipids to Total-Lipids in IDL percentage
Acetate,0.0102,0.0141,Acetate
IDL-C%,0.0147,0.0138,Cholesterol to Total-Lipids in IDL percentage
M-LDL-PL%,0.0105,0.0134,Phospholipids to Total-Lipids in Medium LDL percentage
MUFA%,0.0080,0.0120,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-CE%,0.0125,0.0114,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Leu,0.0092,0.0109,Leucine
IDL-CE%,0.0125,0.0098,Cholesteryl Esters to Total-Lipids in IDL percentage
S-VLDL-CE%,0.0050,0.0093,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Phe,0.0092,0.0089,Phenylalanine
S-LDL-C%,0.0085,0.0085,Cholesterol to Total-Lipids in Small LDL percentage
L-VLDL-FC%,0.0132,0.0084,Free Cholesterol to Total-Lipids in Large VLDL percentage
SFA%,0.0047,0.0079,Saturated Fatty Acids to Total-Fatty Acids percentage
IDL-TG%,0.0102,0.0076,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-PL%,0.0108,0.0073,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-CE%,0.0027,0.0059,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-CE%,0.0035,0.0057,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-LDL-PL,0.0008,0.0053,Phospholipids in Small LDL
XS-VLDL-C%,0.0068,0.0052,Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-3%,0.0060,0.0052,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-HDL-C%,0.0035,0.0052,Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-FC%,0.0055,0.0051,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-FC%,0.0048,0.0050,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-FC%,0.0010,0.0047,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-TG%,0.0047,0.0043,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL,0.0053,0.0041,Phospholipids in Very Small VLDL
M-HDL-PL,0.0070,0.0039,Phospholipids in Medium HDL
Glu-lactate,0.0047,0.0037,Glucose-lactate
Omega-3,0.0065,0.0035,Omega-3 Fatty Acids
Acetone,0.0023,0.0035,Acetone
Total-BCAA,0.0030,0.0034,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-HDL-TG,0.0038,0.0033,Triglycerides in Large HDL
M-HDL-FC%,0.0030,0.0031,Free Cholesterol to Total-Lipids in Medium HDL percentage
Ile,0.0023,0.0031,Isoleucine
M-LDL-TG%,0.0048,0.0029,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-C%,0.0013,0.0027,Cholesterol to Total-Lipids in Medium HDL percentage
PUFA%,0.0042,0.0027,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-C%,0.0017,0.0025,Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-PL%,0.0008,0.0024,Phospholipids to Total-Lipids in Medium HDL percentage
L-LDL-FC%,0.0012,0.0024,Free Cholesterol to Total-Lipids in Large LDL percentage
PUFA/MUFA,0.0017,0.0024,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-LDL-PL%,0.0007,0.0024,Phospholipids to Total-Lipids in Large LDL percentage
XL-HDL-CE%,0.0008,0.0019,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-FC%,0.0027,0.0019,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-PL%,0.0022,0.0018,Phospholipids to Total-Lipids in Very Large VLDL percentage
GlycA,0.0010,0.0018,Glycoprotein Acetyls
HDL-size,0.0010,0.0017,Average Diameter for HDL Particles
PC,0.0032,0.0017,Phosphatidylcholines
S-HDL-CE,0.0023,0.0016,Cholesteryl Esters in Small HDL
XS-VLDL-CE,0.0025,0.0015,Cholesteryl Esters in Very Small VLDL
Val,0.0005,0.0014,Valine
XXL-VLDL-TG%,0.0015,0.0013,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-FC%,0.0007,0.0011,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-FC%,0.0007,0.0010,Free Cholesterol to Total-Lipids in Small HDL percentage
Omega-6%,0.0015,0.0010,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE,0.0007,0.0008,Cholesteryl Esters in Very Large VLDL
L-VLDL-CE%,0.0007,0.0008,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Glu,0.0007,0.0007,Glucose
S-LDL-PL%,0.0002,0.0002,Phospholipids to Total-Lipids in Small LDL percentage
