Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1752,0.1628,Creatinine
L-LDL-C%,0.0758,0.1495,Cholesterol to Total-Lipids in Large LDL percentage
IDL-CE,0.0642,0.1158,Cholesteryl Esters in IDL
IDL-CE%,0.0452,0.0868,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-TG%,0.0513,0.0679,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-CE%,0.0362,0.0614,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Albumin,0.0798,0.0550,Albumin
3-Hydroxybutyrate,0.0795,0.0470,3-Hydroxybutyrate
GlycA,0.0798,0.0404,Glycoprotein Acetyls
LA,0.0497,0.0353,Linoleic Acid
Glu-lactate,0.0458,0.0327,Glucose-lactate
S-LDL-CE%,0.0285,0.0280,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-BCAA,0.0180,0.0179,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Glu,0.0268,0.0157,Glucose
LA%,0.0338,0.0146,Linoleic Acid to Total-Fatty Acids percentage
Ile,0.0108,0.0074,Isoleucine
PUFA,0.0068,0.0067,Polyunsaturated Fatty Acids
Leu,0.0078,0.0065,Leucine
His,0.0107,0.0044,Histidine
IDL-TG%,0.0032,0.0041,Triglycerides to Total-Lipids in IDL percentage
XXL-VLDL-CE,0.0042,0.0034,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Citrate,0.0063,0.0032,Citrate
Cholines,0.0028,0.0032,Total-Cholines
DHA,0.0090,0.0030,Docosahexaenoic Acid
Total-PL,0.0027,0.0030,Total-Phospholipids in Lipoprotein Particles
L-HDL-PL%,0.0055,0.0028,Phospholipids to Total-Lipids in Large HDL percentage
Val,0.0023,0.0027,Valine
L-LDL-CE%,0.0052,0.0025,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,0.0037,0.0023,Phospholipids to Total-Lipids in Very Small VLDL percentage
Acetate,0.0047,0.0021,Acetate
S-LDL-PL%,0.0020,0.0016,Phospholipids to Total-Lipids in Small LDL percentage
IDL-FC%,0.0035,0.0015,Free Cholesterol to Total-Lipids in IDL percentage
Pyruvate,0.0030,0.0011,Pyruvate
Gln,0.0013,0.0010,Glutamine
Acetone,0.0028,0.0010,Acetone
ApoB/ApoA1,0.0017,0.0009,Apolipoprotein B to Apolipoprotein A1 ratio
SFA%,0.0032,0.0008,Saturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0012,0.0007,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Tyr,0.0013,0.0006,Tyrosine
S-HDL-CE,0.0007,0.0005,Cholesteryl Esters in Small HDL
Sc-ala,0.0010,0.0005,Spectrometer-corrected alanine
Omega-3,0.0010,0.0005,Omega-3 Fatty Acids
S-HDL-PL%,0.0005,0.0003,Phospholipids to Total-Lipids in Small HDL percentage
XS-VLDL-FC%,0.0007,0.0003,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Gly,0.0003,0.0003,Glycine
Phe,0.0002,8.3978e-05,Phenylalanine
L-HDL-CE%,0.0002,5.2319e-05,Cholesteryl Esters to Total-Lipids in Large HDL percentage
IDL-C,0.0002,4.1423e-05,Cholesterol in IDL
