Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.2440,0.1715,Albumin
L-LDL-TG%,0.0653,0.1620,Triglycerides to Total-Lipids in Large LDL percentage
LA%,0.0488,0.1195,Linoleic Acid to Total-Fatty Acids percentage
Glu,0.1172,0.1080,Glucose
IDL-P,0.0623,0.0563,Concentration of IDL Particles
Omega-6/Omega-3,0.0372,0.0534,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3,0.0453,0.0525,Omega-3 Fatty Acids
GlycA,0.0433,0.0464,Glycoprotein Acetyls
L-LDL-TG,0.0393,0.0369,Triglycerides in Large LDL
Citrate,0.0537,0.0309,Citrate
L-HDL-PL,0.0428,0.0257,Phospholipids in Large HDL
IDL-CE%,0.0172,0.0234,Cholesteryl Esters to Total-Lipids in IDL percentage
Glu-lactate,0.0307,0.0199,Glucose-lactate
ApoB/ApoA1,0.0235,0.0194,Apolipoprotein B to Apolipoprotein A1 ratio
XXL-VLDL-CE,0.0282,0.0157,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Tyr,0.0225,0.0101,Tyrosine
IDL-TG,0.0070,0.0079,Triglycerides in IDL
Omega-3%,0.0105,0.0073,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-CE%,0.0135,0.0072,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
3-Hydroxybutyrate,0.0143,0.0062,3-Hydroxybutyrate
IDL-FC,0.0052,0.0042,Free Cholesterol in IDL
LDL-TG,0.0057,0.0035,Triglycerides in LDL
Leu,0.0052,0.0022,Leucine
XXL-VLDL-PL%,0.0032,0.0021,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
DHA%,0.0028,0.0018,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-VLDL-C,0.0020,0.0014,Cholesterol in Medium VLDL
XS-VLDL-CE,0.0020,0.0012,Cholesteryl Esters in Very Small VLDL
Remnant-C,0.0007,0.0006,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
His,0.0013,0.0006,Histidine
S-LDL-CE%,0.0017,0.0006,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-HDL-TG,0.0008,0.0006,Triglycerides in Large HDL
Creatinine,0.0013,0.0005,Creatinine
XS-VLDL-TG%,0.0012,0.0005,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE,0.0002,0.0001,Cholesteryl Esters in Medium VLDL
L-LDL-P,0.0002,3.8378e-05,Concentration of Large LDL Particles
