Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-LDL-PL%,0.0612,0.0811,Phospholipids to Total-Lipids in Large LDL percentage
GlycA,0.1123,0.0794,Glycoprotein Acetyls
Tyr,0.0653,0.0687,Tyrosine
Glu,0.0618,0.0565,Glucose
Creatinine,0.0545,0.0498,Creatinine
3-Hydroxybutyrate,0.0500,0.0395,3-Hydroxybutyrate
Omega-6/Omega-3,0.0307,0.0393,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Acetone,0.0267,0.0369,Acetone
Pyruvate,0.0400,0.0369,Pyruvate
LDL-size,0.0345,0.0337,Average Diameter for LDL Particles
Albumin,0.0395,0.0298,Albumin
XXL-VLDL-FC%,0.0137,0.0281,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gln,0.0192,0.0250,Glutamine
Acetoacetate,0.0207,0.0248,Acetoacetate
Phe,0.0148,0.0246,Phenylalanine
His,0.0265,0.0223,Histidine
Lactate,0.0203,0.0221,Lactate
SFA%,0.0147,0.0195,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-CE%,0.0178,0.0191,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Citrate,0.0138,0.0168,Citrate
M-LDL-C%,0.0213,0.0163,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-CE%,0.0178,0.0161,Cholesteryl Esters to Total-Lipids in IDL percentage
Leu,0.0147,0.0157,Leucine
IDL-PL%,0.0192,0.0145,Phospholipids to Total-Lipids in IDL percentage
L-LDL-CE%,0.0185,0.0138,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Sc-ala,0.0127,0.0114,Spectrometer-corrected alanine
Acetate,0.0123,0.0110,Acetate
Omega-3%,0.0120,0.0107,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Gly,0.0087,0.0105,Glycine
IDL-P,0.0102,0.0099,Concentration of IDL Particles
M-LDL-PL%,0.0110,0.0099,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-FC%,0.0112,0.0098,Free Cholesterol to Total-Lipids in IDL percentage
XL-VLDL-PL%,0.0050,0.0089,Phospholipids to Total-Lipids in Very Large VLDL percentage
Omega-3,0.0070,0.0083,Omega-3 Fatty Acids
S-LDL-C%,0.0112,0.0081,Cholesterol to Total-Lipids in Small LDL percentage
Ile,0.0033,0.0075,Isoleucine
S-LDL-PL,0.0083,0.0069,Phospholipids in Small LDL
XL-VLDL-TG%,0.0075,0.0058,Triglycerides to Total-Lipids in Very Large VLDL percentage
LA%,0.0050,0.0053,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-CE%,0.0080,0.0052,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ala,0.0045,0.0049,Alanine
XS-VLDL-PL%,0.0045,0.0048,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-C%,0.0055,0.0041,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA%,0.0037,0.0040,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-PL%,0.0030,0.0034,Phospholipids to Total-Lipids in Large VLDL percentage
Glu-lactate,0.0025,0.0032,Glucose-lactate
XXL-VLDL-PL%,0.0020,0.0030,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-PL%,0.0018,0.0030,Phospholipids to Total-Lipids in Small HDL percentage
DHA%,0.0020,0.0029,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-HDL-PL%,0.0033,0.0021,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,0.0018,0.0017,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-HDL-FC%,0.0010,0.0013,Free Cholesterol to Total-Lipids in Small HDL percentage
Total-BCAA,0.0007,0.0010,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
DHA,0.0003,0.0007,Docosahexaenoic Acid
XS-VLDL-FC%,0.0003,0.0002,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Unsaturation,0.0002,0.0002,Degree of Unsaturation
