Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Pyruvate,0.0652,0.0720,Pyruvate
Citrate,0.0655,0.0617,Citrate
DHA%,0.0797,0.0585,Docosahexaenoic Acid to Total-Fatty Acids percentage
Lactate,0.0624,0.0503,Lactate
Unsaturation,0.0299,0.0440,Degree of Unsaturation
GlycA,0.0630,0.0424,Glycoprotein Acetyls
L-LDL-PL%,0.0375,0.0376,Phospholipids to Total-Lipids in Large LDL percentage
Gln,0.0243,0.0371,Glutamine
Glu-lactate,0.0409,0.0344,Glucose-lactate
Creatinine,0.0404,0.0339,Creatinine
L-LDL-CE%,0.0277,0.0339,Cholesteryl Esters to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0240,0.0305,3-Hydroxybutyrate
XXL-VLDL-PL%,0.0289,0.0263,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phe,0.0342,0.0252,Phenylalanine
L-VLDL-PL%,0.0255,0.0234,Phospholipids to Total-Lipids in Large VLDL percentage
L-HDL-PL%,0.0284,0.0229,Phospholipids to Total-Lipids in Large HDL percentage
Acetone,0.0260,0.0225,Acetone
Ala,0.0177,0.0204,Alanine
Val,0.0140,0.0190,Valine
M-LDL-CE%,0.0192,0.0190,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Gly,0.0158,0.0189,Glycine
L-LDL-FC%,0.0267,0.0166,Free Cholesterol to Total-Lipids in Large LDL percentage
Acetoacetate,0.0107,0.0165,Acetoacetate
Albumin,0.0118,0.0162,Albumin
LA%,0.0137,0.0158,Linoleic Acid to Total-Fatty Acids percentage
Tyr,0.0142,0.0158,Tyrosine
LDL-size,0.0137,0.0155,Average Diameter for LDL Particles
XL-HDL-TG,0.0130,0.0144,Triglycerides in Very Large HDL
M-LDL-PL%,0.0110,0.0140,Phospholipids to Total-Lipids in Medium LDL percentage
His,0.0083,0.0139,Histidine
Sc-ala,0.0095,0.0121,Spectrometer-corrected alanine
Acetate,0.0075,0.0096,Acetate
IDL-FC%,0.0053,0.0090,Free Cholesterol to Total-Lipids in IDL percentage
S-HDL-FC%,0.0107,0.0086,Free Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-FC,0.0045,0.0063,Free Cholesterol in Chylomicrons and Extremely Large VLDL
Leu,0.0058,0.0060,Leucine
Omega-3%,0.0015,0.0058,Omega-3 Fatty Acids to Total-Fatty Acids percentage
MUFA%,0.0065,0.0056,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-C%,0.0030,0.0052,Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-TG%,0.0052,0.0052,Triglycerides to Total-Lipids in Small HDL percentage
Ile,0.0013,0.0051,Isoleucine
Omega-6/Omega-3,0.0043,0.0046,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-CE%,0.0025,0.0044,Cholesteryl Esters to Total-Lipids in IDL percentage
Glu,0.0035,0.0041,Glucose
XL-HDL-C%,0.0040,0.0040,Cholesterol to Total-Lipids in Very Large HDL percentage
PUFA%,0.0060,0.0036,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-PL%,0.0030,0.0036,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-VLDL-FC%,0.0022,0.0032,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-TG%,0.0053,0.0030,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-C%,0.0035,0.0029,Cholesterol to Total-Lipids in IDL percentage
L-VLDL-C%,0.0013,0.0028,Cholesterol to Total-Lipids in Large VLDL percentage
XL-VLDL-FC%,0.0015,0.0027,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
SFA%,0.0012,0.0022,Saturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-FC%,0.0017,0.0018,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-CE%,0.0013,0.0017,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-PL%,0.0015,0.0016,Phospholipids to Total-Lipids in IDL percentage
Total-BCAA,0.0022,0.0014,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
PUFA,0.0010,0.0013,Polyunsaturated Fatty Acids
